trial_numbers,cue_time in s,M1_L_rewards,M1_L_beambreak_time in s,M1_L_reward time in s,M2_R_rewards,M2_R_beambreak_time in s,M2_R_reward time in s,M1_L_beambreak_time,M1_L_reward time,M2_R_beambreak_time,M2_R_reward time,cue_time
,20230718144045244210,0,,,0,,,1689716461.2669399,,1689716461.2690794,,1689716445.2442098
,20230718144116417848,0,,,1,20230718144117421461,202307181441174,1689716492.474088,,1689716477.4214606,1689716477.4558234,1689716476.4178479
,20230718144137551226,0,,,1,,202307181441174,1689716513.57441,,1689716513.5763025,1689716477.4558234,1689716497.5512257
,20230718144208714926,0,,,1,,202307181441174,1689716544.7353022,,1689716544.7372012,1689716477.4558234,1689716528.7149258
,20230718144239883059,0,,,1,,202307181441174,1689716575.905019,,1689716575.907114,1689716477.4558234,1689716559.883059
,20230718144311044758,1,20230718144316054962,202307181443160,1,,202307181441174,1689716596.054962,1689716596.098107,1689716607.1131017,1689716477.4558234,1689716591.0447576
,20230718144337245085,2,20230718144342252641,202307181443422,2,20230718144346295084,202307181443463,1689716622.252641,1689716622.290273,1689716626.295084,1689716626.3303282,1689716617.2450848
,20230718144351472195,2,,202307181443422,2,,202307181443463,1689716647.493954,1689716622.290273,1689716647.4958208,1689716626.3303282,1689716631.4721954
,20230718144422626661,2,,202307181443422,2,,202307181443463,1689716678.6494448,1689716622.290273,1689716678.6518798,1689716626.3303282,1689716662.626661
,20230718144453783158,2,,202307181443422,2,,202307181443463,1689716709.8057754,1689716622.290273,1689716709.8073127,1689716626.3303282,1689716693.783158
,20230718144524936632,2,,202307181443422,2,,202307181443463,1689716740.9590871,1689716622.290273,1689716740.9604802,1689716626.3303282,1689716724.936632
,20230718144556099827,2,,202307181443422,2,,202307181443463,1689716772.1229832,1689716622.290273,1689716772.1252265,1689716626.3303282,1689716756.0998266
,20230718144627256345,2,,202307181443422,2,,202307181443463,1689716803.2783458,1689716622.290273,1689716803.279661,1689716626.3303282,1689716787.2563453
,20230718144658540318,2,,202307181443422,3,20230718144704548318,202307181447045,1689716834.5959225,1689716622.290273,1689716824.5483181,1689716824.5824583,1689716818.5403178
,20230718144719710815,3,20230718144723718105,202307181447237,3,,202307181447045,1689716843.7181053,1689716843.7526827,1689716855.7683973,1689716824.5824583,1689716839.7108152
,20230718144745902200,3,,202307181447237,4,20230718144746905760,202307181447469,1689716881.9601395,1689716843.7526827,1689716866.9057598,1689716866.940601,1689716865.9022
,20230718144807085995,3,,202307181447237,5,20230718144817099686,202307181448171,1689716903.152081,1689716843.7526827,1689716897.099686,1689716897.1421962,1689716887.0859952
,20230718144828292392,3,,202307181447237,5,,202307181448171,1689716924.3143861,1689716843.7526827,1689716924.316023,1689716897.1421962,1689716908.2923915
,20230718144859452475,3,,202307181447237,5,,202307181448171,1689716955.4748633,1689716843.7526827,1689716955.476745,1689716897.1421962,1689716939.4524753
,20230718144930672928,3,,202307181447237,5,,202307181448171,1689716986.6959713,1689716843.7526827,1689716986.6982484,1689716897.1421962,1689716970.6729279
,20230718145001845459,3,,202307181447237,5,,202307181448171,1689717017.868137,1689716843.7526827,1689717017.870341,1689716897.1421962,1689717001.845459
,20230718145033005959,3,,202307181447237,5,,202307181448171,1689717049.0278678,1689716843.7526827,1689717049.0303931,1689716897.1421962,1689717033.0059586
,20230718145104157978,4,20230718145105160377,202307181451051,5,,202307181448171,1689717065.1603768,1689717065.1942751,1689717080.213213,1689716897.1421962,1689717064.1579778
,20230718145130341784,4,,202307181451051,5,,202307181448171,1689717106.3644724,1689717065.1942751,1689717106.3666945,1689716897.1421962,1689717090.3417842
,20230718145201522228,4,,202307181451051,6,20230718145204527838,202307181452045,1689717137.578004,1689717065.1942751,1689717124.5278382,1689717124.5612266,1689717121.5222285
,20230718145222685409,4,,202307181451051,6,,202307181452045,1689717158.7080948,1689717065.1942751,1689717158.7102125,1689717124.5612266,1689717142.6854093
,20230718145253855704,5,20230718145302867775,202307181453029,6,,202307181452045,1689717182.8677754,1689717182.9053102,1689717189.9152563,1689717124.5612266,1689717173.8557036
,20230718145320043266,5,,202307181453029,6,,202307181452045,1689717216.0657158,1689717182.9053102,1689717216.0677123,1689717124.5612266,1689717200.0432658
,20230718145351190214,5,,202307181453029,6,,202307181452045,1689717247.2124784,1689717182.9053102,1689717247.214608,1689717124.5612266,1689717231.1902137
,20230718145422346652,5,,202307181453029,6,,202307181452045,1689717278.3685858,1689717182.9053102,1689717278.37059,1689717124.5612266,1689717262.3466516
,20230718145453506976,5,,202307181453029,6,,202307181452045,1689717309.5278082,1689717182.9053102,1689717309.5299773,1689717124.5612266,1689717293.5069757
,20230718145524653114,5,,202307181453029,7,20230718145539671748,202307181455397,1689717340.7102132,1689717182.9053102,1689717339.6717484,1689717339.7064264,1689717324.6531138
,20230718145545837217,5,,202307181453029,8,20230718145546840827,202307181455468,1689717361.8948379,1689717182.9053102,1689717346.8408275,1689717346.8756034,1689717345.8372166
,20230718145607031893,5,,202307181453029,8,,202307181455468,1689717383.0556457,1689717182.9053102,1689717383.0579312,1689717346.8756034,1689717367.0318933
,20230718145638185790,5,,202307181453029,8,,202307181455468,1689717414.2082205,1689717182.9053102,1689717414.2113395,1689717346.8756034,1689717398.1857896
,20230718145709360441,5,,202307181453029,8,,202307181455468,1689717445.381971,1689717182.9053102,1689717445.384356,1689717346.8756034,1689717429.3604407
,20230718145740515689,5,,202307181453029,8,,202307181455468,1689717476.5372827,1689717182.9053102,1689717476.5388255,1689717346.8756034,1689717460.5156891
