trial_numbers,cue_time in s,M5_L_rewards,M5_L_beambreak_time in s,M5_L_reward time in s,M6_R_rewards,M6_R_beambreak_time in s,M6_R_reward time in s,M5_L_beambreak_time,M6_R_beambreak_time,cue_time
,202307141409226,0,,,0,,,1689368978.6684794,1689368978.670709,1689368962.6456137
,202307141409537,0,,,0,,,1689369009.8205795,1689369009.822662,1689368993.7980926
,202307141410249,0,,,0,,,1689369040.970457,1689369040.9725685,1689369024.947744
,202307141410560,1,202307141411061,202307141411061,0,,,1689369066.108939,1689369072.182599,1689369056.095399
,202307141411222,1,,202307141411061,1,202307141411323,202307141411323,1689369098.3851767,1689369092.312406,1689369082.296323
,202307141411434,2,202307141411464,202307141411465,2,202307141411565,202307141411566,1689369106.4972951,1689369116.572721,1689369103.4916048
,202307141412017,3,202307141412027,202307141412028,3,202307141412068,202307141412068,1689369122.7425234,1689369126.8104684,1689369121.7388048
,202307141412119,3,,202307141412028,3,,202307141412068,1689369148.0010347,1689369148.0029488,1689369131.978921
,202307141412431,4,202307141412542,202307141412542,4,202307141412441,202307141412441,1689369174.207554,1689369164.1320074,1689369163.1284008
,202307141412593,5,202307141413003,202307141413004,4,,202307141412441,1689369180.3691494,1689369195.4622202,1689369179.3655865
,202307141413255,5,,202307141413004,4,,202307141412441,1689369221.6068447,1689369221.608756,1689369205.584737
,202307141413567,5,,202307141413004,5,202307141414027,202307141414028,1689369252.8145766,1689369242.7367945,1689369236.7277431
,202307141414179,5,,202307141413004,5,,202307141414028,1689369273.948668,1689369273.9500194,1689369257.9265304
,202307141414490,5,,202307141413004,5,,202307141414028,1689369305.0841134,1689369305.085836,1689369289.0600855
,202307141415202,6,202307141415212,202307141415212,6,202307141415292,202307141415293,1689369321.210458,1689369329.2842255,1689369320.206653
,202307141415344,6,,202307141415212,7,202307141415484,202307141415485,1689369350.5340302,1689369348.4644144,1689369334.4464686
