trial_numbers,cue_time in s,M7_L_rewards,M7_L_beambreak_time in s,M7_L_reward time in s,M8_R_rewards,M8_R_beambreak_time in s,M8_R_reward time in s,M7_L_beambreak_time,M8_R_beambreak_time,cue_time
,202307121616387,1,202307121616488,202307121616489,1,202307121616437,202307121616438,1689203808.8689592,1689203803.7944496,1689203798.7863529
,202307121616590,2,202307121617190,202307121617191,1,,202307121616438,1689203839.0719993,1689203850.150449,1689203819.0448778
,202307121617502,2,,202307121617191,2,202307121618032,202307121618033,1689203901.373806,1689203883.2886336,1689203870.2720644
,202307121618314,2,,202307121617191,2,,202307121618033,1689203942.527055,1689203942.529506,1689203911.4891338
,202307121619326,3,202307121619437,202307121619438,3,202307121619356,202307121619357,1689203983.759244,1689203975.6852958,1689203972.6796713
,202307121619539,3,,202307121619438,3,,202307121619357,1689204024.965086,1689204024.9666207,1689203993.9283767
,202307121620550,4,202307121620561,202307121620561,4,202307121621071,202307121621072,1689204056.1037624,1689204067.185018,1689204055.0991666
,202307121621173,4,,202307121620561,5,202307121621433,202307121621434,1689204108.4732687,1689204103.3980548,1689204077.3680983
,202307121621585,4,,202307121620561,6,202307121621596,202307121621596,1689204149.700974,1689204119.6003606,1689204118.596697
,202307121622398,4,,202307121620561,6,,202307121621596,1689204190.874198,1689204190.8762956,1689204159.8347669
,202307121623410,4,,202307121620561,7,202307121624110,202307121624111,1689204252.1492753,1689204251.0808146,1689204221.0442092
,202307121624222,4,,202307121620561,8,202307121624252,202307121624253,1689204293.363515,1689204265.26614,1689204262.2602615
,202307121625034,4,,202307121620561,8,,202307121624253,1689204334.5214987,1689204334.5246027,1689204303.4810717
,202307121626046,5,202307121626056,202307121626057,9,202307121626097,202307121626098,1689204365.682402,1689204369.7549324,1689204364.678883
,202307121626199,5,,202307121626057,10,202307121626279,202307121626280,1689204411.039354,1689204387.9481187,1689204379.9357016
,202307121627011,6,202307121627061,202307121627062,10,,202307121626280,1689204426.1820133,1689204452.285801,1689204421.1735497
,202307121627524,6,,202307121627062,11,202307121628094,202307121628094,1689204503.513731,1689204489.4322474,1689204472.4110575
,202307121628336,6,,202307121627062,12,202307121628356,202307121628356,1689204544.732595,1689204515.6336849,1689204513.6291778
,202307121629148,6,,202307121627062,12,,202307121628356,1689204585.8945336,1689204585.8960829,1689204554.855693
,202307121630160,6,,202307121627062,12,,202307121628356,1689204647.0743477,1689204647.0758457,1689204616.036677
,202307121631172,6,,202307121627062,13,202307121631282,202307121631283,1689204708.3284223,1689204688.2374341,1689204677.223176
,202307121631584,6,,202307121627062,14,202307121632264,202307121632265,1689204749.548286,1689204746.4746685,1689204718.4435303
,202307121632396,6,,202307121627062,15,202307121633066,202307121633067,1689204790.7628589,1689204786.6926868,1689204759.6596954
,202307121633208,6,,202307121627062,15,,202307121633067,1689204831.9237885,1689204831.925364,1689204800.8859673
,202307121634220,6,,202307121627062,15,,202307121633067,1689204893.0990875,1689204893.1006222,1689204862.0582654
,202307121635232,6,,202307121627062,16,202307121635362,202307121635363,1689204954.344862,1689204936.258629,1689204923.2419486
,202307121636044,6,,202307121627062,16,,202307121635363,1689204995.4692166,1689204995.4709523,1689204964.431231
,202307121637056,6,,202307121627062,16,,202307121635363,1689205056.639109,1689205056.6405852,1689205025.6012647
,202307121638067,6,,202307121627062,16,,202307121635363,1689205117.8204367,1689205117.8224454,1689205086.7812688
,202307121639079,6,,202307121627062,16,,202307121635363,1689205179.004423,1689205179.0065024,1689205147.9655626
,202307121640091,6,,202307121627062,16,,202307121635363,1689205240.1890943,1689205240.1912267,1689205209.1499438
,202307121641103,6,,202307121627062,16,,202307121635363,1689205301.3785675,1689205301.380735,1689205270.3391387
,202307121642115,6,,202307121627062,16,,202307121635363,1689205362.5658526,1689205362.568054,1689205331.5267496
,202307121643127,6,,202307121627062,16,,202307121635363,1689205423.741772,1689205423.743799,1689205392.7028964
,202307121644138,7,202307121644329,202307121644329,17,202307121644379,202307121644380,1689205472.9086258,1689205477.9787877,1689205453.8852227
,202307121644481,8,202307121644571,202307121644572,17,,202307121644380,1689205497.1909432,1689205519.2868016,1689205488.176663
,202307121645394,8,,202307121644572,18,202307121645504,202307121645504,1689205570.5176263,1689205550.4293654,1689205539.414863
,202307121646206,8,,202307121644572,19,202307121646216,202307121646217,1689205611.7504725,1689205581.651717,1689205580.648442
,202307121647018,8,,202307121644572,19,,202307121646217,1689205652.9117723,1689205652.9130554,1689205621.8730288
,202307121648030,8,,202307121644572,19,,202307121646217,1689205714.0936315,1689205714.0984123,1689205683.0549781
,202307121649042,9,202307121649342,202307121649343,19,,202307121646217,1689205774.2420526,1689205775.3106003,1689205744.2066529
,202307121649554,9,,202307121649343,19,,202307121646217,1689205826.491469,1689205826.4929488,1689205795.4536371
,202307121650566,9,,202307121649343,19,,202307121646217,1689205887.660294,1689205887.6622846,1689205856.62191
,202307121651578,9,,202307121649343,20,202307121652148,202307121652148,1689205948.912515,1689205934.8311138,1689205917.810479
,202307121652390,9,,202307121649343,20,,202307121652148,1689205990.0685048,1689205990.0699928,1689205959.030036
,202307121653402,9,,202307121649343,20,,202307121652148,1689206051.2561166,1689206051.2578783,1689206020.216449
,202307121654414,9,,202307121649343,21,202307121654504,202307121654504,1689206112.5067976,1689206090.416946,1689206081.4039204
