trial_numbers,cue_time in s,M5_L_rewards,M5_L_beambreak_time in s,M5_L_reward time in s,M6_R_rewards,M6_R_beambreak_time in s,M6_R_reward time in s,M5_L_beambreak_time,M6_R_beambreak_time,cue_time
,202307141416585,1,202307141416595,202307141416596,0,,,1689369419.5680768,1689369434.6524754,1689369418.561732
,202307141417247,1,,202307141416596,0,,,1689369460.7797198,1689369460.781866,1689369444.7572997
,202307141417559,2,202307141417569,202307141417569,1,202307141418039,202307141418040,1689369476.9184606,1689369483.9898822,1689369475.9147778
,202307141418091,3,202307141418142,202307141418142,2,202307141418101,202307141418102,1689369494.2263527,1689369490.1573048,1689369489.1536353
,202307141418193,4,202307141418203,202307141418204,2,,202307141418102,1689369500.379303,1689369515.4632528,1689369499.3755658
,202307141418455,5,202307141418465,202307141418466,2,,202307141418102,1689369526.5909936,1689369541.6805613,1689369525.587762
,202307141419117,6,202307141419248,202307141419249,3,202307141419188,202307141419188,1689369564.8764226,1689369558.8045442,1689369551.7945943
,202307141419300,7,202307141419310,202307141419311,4,202307141419431,202307141419431,1689369571.044786,1689369583.1226127,1689369570.041043
,202307141419482,7,,202307141419311,4,,202307141419431,1689369604.300212,1689369604.3023484,1689369588.2785103
,202307141420194,8,202307141420304,202307141420304,4,,202307141419431,1689369630.4313564,1689369635.5063567,1689369619.4166465
,202307141420456,9,202307141420466,202307141420466,5,202307141420537,202307141420537,1689369646.6330607,1689369653.703851,1689369645.6297693
,202307141420588,10,202307141420598,202307141420599,6,202307141420599,202307141421000,1689369659.8802862,1689369659.9460578,1689369658.8765295
,202307141421050,11,202307141421101,202307141421102,7,202307141421081,202307141421081,1689369670.1718702,1689369668.1042697,1689369665.098462
,202307141421153,11,,202307141421102,8,202307141421163,202307141421164,1689369691.4217126,1689369676.3409038,1689369675.3368142
,202307141421364,12,202307141421445,202307141421445,9,202307141421445,202307141421446,1689369704.505975,1689369704.57014,1689369696.492062
,202307141421497,13,202307141421507,202307141421507,10,202307141421558,202307141421558,1689369710.7340086,1689369715.8030148,1689369709.730604
,202307141422009,14,202307141422019,202307141422020,11,202307141422160,202307141422161,1689369721.977976,1689369736.056535,1689369720.9742813
,202307141422212,15,202307141422222,202307141422222,12,202307141422222,202307141422223,1689369742.2193186,1689369742.2840793,1689369741.2156017
,202307141422274,15,,202307141422222,13,202307141422334,202307141422334,1689369763.5112355,1689369753.4348228,1689369747.4257758
,202307141422486,16,202307141423017,202307141423017,14,202307141422496,202307141422496,1689369781.7047994,1689369769.6281092,1689369768.624465
,202307141423068,17,202307141423078,202307141423079,14,,202307141422496,1689369787.8666024,1689369802.9501753,1689369786.8633578
,202307141423330,18,202307141423340,202307141423341,14,,202307141422496,1689369814.0685692,1689369829.1513228,1689369813.065178
,202307141423592,18,,202307141423341,15,202307141424082,202307141424083,1689369855.3633978,1689369848.2886498,1689369839.2761157
,202307141424204,19,202307141424344,202307141424345,15,,202307141424083,1689369874.4855096,1689369876.5547628,1689369860.4676847
,202307141424466,19,,202307141424345,15,,202307141424083,1689369902.680272,1689369902.6825,1689369886.657967
,202307141425178,20,202307141425228,202307141425228,15,,202307141424083,1689369922.8219302,1689369933.9061463,1689369917.8147354
,202307141425440,20,,202307141425228,15,,202307141424083,1689369960.0482895,1689369960.0505528,1689369944.0252912
,202307141426151,21,202307141426171,202307141426172,16,202307141426192,202307141426192,1689369977.1610196,1689369979.2280314,1689369975.1561818
,202307141426244,22,202307141426254,202307141426254,17,202307141426274,202307141426275,1689369985.4051828,1689369987.4745483,1689369984.4001505
,202307141426326,23,202307141426366,202307141426367,17,,202307141426275,1689369996.6491663,1689370008.7364497,1689369992.6424797
,202307141426588,24,202307141427048,202307141427049,17,,202307141426275,1689370024.8384404,1689370034.9204679,1689370018.8281126
,202307141427250,25,202307141427260,202307141427260,18,202307141427401,202307141427401,1689370046.0332541,1689370060.1118345,1689370045.0299435
,202307141427452,25,,202307141427260,19,202307141427462,202307141427463,1689370081.3418713,1689370066.2597435,1689370065.2562156
,202307141428064,25,,202307141427260,20,202307141428074,202307141428075,1689370102.5241935,1689370087.4425135,1689370086.4392715
,202307141428276,26,202307141428316,202307141428317,20,,202307141428075,1689370111.6473448,1689370123.7273433,1689370107.6401145
,202307141428538,26,,202307141428317,21,202307141429059,202307141429059,1689370149.984073,1689370145.9124088,1689370133.8969038
,202307141429150,26,,202307141428317,21,,202307141429059,1689370171.1108327,1689370171.1146379,1689370155.0868404
,202307141429462,26,,202307141428317,21,,202307141429059,1689370202.2579405,1689370202.2603421,1689370186.2358587
,202307141430173,26,,202307141428317,21,,202307141429059,1689370233.4089196,1689370233.4116287,1689370217.3868728
,202307141430485,26,,202307141428317,21,,202307141429059,1689370264.5480661,1689370264.5501566,1689370248.5253432
,202307141431196,27,202307141431206,202307141431207,21,,202307141429059,1689370280.6622126,1689370295.7506166,1689370279.6585815
,202307141431458,28,202307141431478,202307141431479,21,,202307141429059,1689370307.861584,1689370321.943591,1689370305.8570657
,202307141432120,28,,202307141431479,22,202307141432130,202307141432131,1689370348.144505,1689370333.0615344,1689370332.0581017
,202307141432332,29,202307141432342,202307141432343,22,,202307141432131,1689370354.267856,1689370369.3497746,1689370353.26429
,202307141432594,30,202307141433114,202307141433115,22,,202307141432131,1689370391.4653854,1689370395.5353327,1689370379.4498696
,202307141433256,31,202307141433266,202307141433267,22,,202307141432131,1689370406.6601496,1689370421.7439156,1689370405.6568208
,202307141433518,31,,202307141433267,22,,202307141432131,1689370447.8832123,1689370447.885435,1689370431.8611486
,202307141434230,32,202307141434250,202307141434250,23,202307141434320,202307141434321,1689370465.0068738,1689370472.0789435,1689370463.0024416
,202307141434372,33,202307141434382,202307141434383,24,202307141434403,202307141434403,1689370478.2447002,1689370480.3135483,1689370477.241273
,202307141434454,34,202307141434504,202307141434505,24,,202307141434403,1689370490.476182,1689370501.562065,1689370485.4678023
,202307141435116,35,202307141435126,202307141435127,24,,202307141434403,1689370512.6996686,1689370527.7823925,1689370511.696192
,202307141435379,35,,202307141435127,24,,202307141434403,1689370553.9278908,1689370553.9294658,1689370537.9033563
,202307141436090,35,,202307141435127,24,,202307141434403,1689370585.0705717,1689370585.0719156,1689370569.048747
,202307141436401,35,,202307141435127,24,,202307141434403,1689370616.2112951,1689370616.2128954,1689370600.1891625
,202307141437113,36,202307141437263,202307141437264,24,,202307141434403,1689370646.360339,1689370647.4286225,1689370631.3409176
,202307141437375,37,202307141437405,202307141437406,25,202307141437436,202307141437436,1689370660.551012,1689370663.61901,1689370657.5447423
,202307141437487,38,202307141437497,202307141437498,26,202307141437538,202307141437539,1689370669.7960827,1689370673.8685312,1689370668.7908108
,202307141437590,39,202307141438000,202307141438001,26,,202307141437539,1689370680.0466142,1689370695.1340604,1689370679.0415015
,202307141438252,39,,202307141438001,26,,202307141437539,1689370721.2916043,1689370721.2954385,1689370705.267463
,202307141438564,40,202307141439024,202307141439025,26,,202307141437539,1689370742.460223,1689370752.5393288,1689370736.4509509
,202307141439226,41,202307141439236,202307141439237,26,,202307141437539,1689370763.6640093,1689370778.7467415,1689370762.6606336
,202307141439488,42,202307141439498,202307141439499,26,,202307141437539,1689370789.8654485,1689370804.9485576,1689370788.862023
,202307141440150,43,202307141440160,202307141440161,26,,202307141437539,1689370816.0593493,1689370831.1401973,1689370815.055916
,202307141440412,43,,202307141440161,26,,202307141437539,1689370857.2683318,1689370857.269894,1689370841.2456365
,202307141441124,44,202307141441134,202307141441134,26,,202307141437539,1689370873.4057224,1689370888.4893186,1689370872.4004269
,202307141441386,44,,202307141441134,26,,202307141437539,1689370914.6488545,1689370914.6513498,1689370898.624247
,202307141442097,44,,202307141441134,26,,202307141437539,1689370945.8152297,1689370945.8178055,1689370929.7848814
,202307141442409,45,202307141442419,202307141442420,27,202307141442430,202307141442430,1689370961.9543927,1689370963.0213962,1689370960.950905
,202307141442481,46,202307141442491,202307141442492,27,,202307141442430,1689370969.1884449,1689370984.2700088,1689370968.1849854
,202307141443143,46,,202307141442492,27,,202307141442430,1689371010.3928046,1689371010.3952026,1689370994.3703654
,202307141443455,46,,202307141442492,28,202307141443505,202307141443506,1689371041.6149013,1689371030.533386,1689371025.525397
,202307141444067,46,,202307141442492,28,,202307141443506,1689371062.75189,1689371062.7541354,1689371046.7297552
