trial_numbers,cue_time in s,M5_L_rewards,M5_L_beambreak_time in s,M5_L_reward time in s,M6_R_rewards,M6_R_beambreak_time in s,M6_R_reward time in s,M5_L_beambreak_time,M6_R_beambreak_time,cue_time
,202307130935584,1,202307130936074,202307130936075,1,202307130936034,202307130936034,1689266167.478511,1689266163.4092042,1689266158.400192
,202307130936126,2,202307130936227,202307130936228,2,202307130936196,202307130936197,1689266182.7630048,1689266179.695241,1689266172.6844199
,202307130936279,3,202307130936330,202307130936330,3,202307130936299,202307130936300,1689266193.0055387,1689266189.936968,1689266187.9322135
