trial_numbers,cue_time in s,M5_L_rewards,M5_L_beambreak_time in s,M5_L_reward time in s,M6_R_rewards,M6_R_beambreak_time in s,M6_R_reward time in s,M5_L_beambreak_time,M6_R_beambreak_time,cue_time
,202307130938255,1,202307130938346,202307130938347,1,202307130938295,202307130938296,1689266314.6632893,1689266309.5926464,1689266305.5861156
,202307130938398,2,202307130938488,202307130938489,1,,202307130938296,1689266328.8861673,1689266335.961168,1689266319.873312
,202307130939060,2,,202307130938489,1,,202307130938296,1689266362.0847757,1689266362.0868268,1689266346.0621288
