trial_numbers,cue_time in s,M5_L_rewards,M5_L_beambreak_time in s,M5_L_reward time in s,M6_R_rewards,M6_R_beambreak_time in s,M6_R_reward time in s,M5_L_beambreak_time,M6_R_beambreak_time,cue_time
,202307130947342,1,202307130947433,202307130947434,1,202307130947392,202307130947393,1689266863.3574092,1689266859.2880871,1689266854.280709
,202307130947485,1,,202307130947434,1,,202307130947393,1689266884.5408337,1689266884.5430722,1689266868.5180984
,202307130948196,1,,202307130947434,1,,202307130947393,1689266915.6959693,1689266915.6983564,1689266899.6735466
,202307130948508,2,202307130948598,202307130948599,2,202307130948558,202307130948558,1689266939.8907351,1689266935.8211756,1689266930.8134258
,202307130949050,2,,202307130948599,2,,202307130948558,1689266961.0606663,1689266961.064449,1689266945.0344112
,202307130949361,3,202307130949412,202307130949413,3,202307130949401,202307130949402,1689266981.2645385,1689266980.1948514,1689266976.1880872
,202307130949464,3,,202307130949413,4,202307130949474,202307130949474,1689267002.509742,1689266987.4265223,1689266986.4231334
,202307130950076,3,,202307130949413,4,,202307130949474,1689267023.6538208,1689267023.6555483,1689267007.6296551
,202307130950388,3,,202307130949413,4,,202307130949474,1689267054.8375998,1689267054.8387883,1689267038.8159032
,202307130951099,3,,202307130949413,4,,202307130949474,1689267085.9870358,1689267085.989246,1689267069.966301
,202307130951411,3,,202307130949413,4,,202307130949474,1689267117.126332,1689267117.1286366,1689267101.103673
,202307130952122,3,,202307130949413,4,,202307130949474,1689267148.2556062,1689267148.2581604,1689267132.2331815
,202307130952433,4,202307130952564,202307130952565,5,202307130952493,202307130952494,1689267176.4617596,1689267169.386548,1689267163.3774898
,202307130953016,4,,202307130952565,5,,202307130952494,1689267197.6473153,1689267197.6496294,1689267181.6245916
,202307130953327,4,,202307130952565,6,202307130953347,202307130953348,1689267228.8623874,1689267214.780297,1689267212.7757018
,202307130953539,4,,202307130952565,6,,202307130953348,1689267249.9984758,1689267250.0009248,1689267233.9759498
,202307130954251,4,,202307130952565,7,202307130954331,202307130954331,1689267281.2087243,1689267273.133165,1689267265.1219943
,202307130954463,4,,202307130952565,8,202307130954473,202307130954473,1689267302.4099133,1689267287.3263588,1689267286.3229692
,202307130955075,4,,202307130952565,8,,202307130954473,1689267323.5291307,1689267323.530773,1689267307.5076928
,202307130955386,4,,202307130952565,9,202307130955396,202307130955397,1689267354.7483299,1689267339.665869,1689267338.6623292
,202307130955598,4,,202307130952565,10,202307130956038,202307130956039,1689267375.9457421,1689267363.8658593,1689267359.8589714
,202307130956210,4,,202307130952565,10,,202307130956039,1689267397.067978,1689267397.0701594,1689267381.045304
,202307130956521,5,202307130956562,202307130956562,10,,202307130956039,1689267416.2050767,1689267428.2887719,1689267412.197976
,202307130957184,6,202307130957325,202307130957325,11,202307130957264,202307130957264,1689267452.5007327,1689267446.429205,1689267438.4174888
,202307130957376,7,202307130957386,202307130957387,12,202307130957387,202307130957387,1689267458.6703424,1689267458.7351851,1689267457.6666942
,202307130957438,8,202307130957478,202307130957479,12,,202307130957387,1689267467.8743737,1689267479.956257,1689267463.867576
,202307130958100,9,202307130958210,202307130958211,13,202307130958231,202307130958232,1689267501.0867035,1689267503.1540306,1689267490.0722609
,202307130958283,10,202307130958293,202307130958293,14,202307130958293,202307130958294,1689267509.3159108,1689267509.3804715,1689267508.3123937
,202307130958345,10,,202307130958293,15,202307130958355,202307130958356,1689267530.6248467,1689267515.5433993,1689267514.5400252
,202307130958557,10,,202307130958293,15,,202307130958356,1689267551.768206,1689267551.770035,1689267535.7468252
,202307130959269,11,202307130959299,202307130959300,16,202307130959279,202307130959279,1689267569.9798024,1689267567.9139163,1689267566.9105353
