trial_numbers,cue_time in s,M5_L_rewards,M5_L_beambreak_time in s,M5_L_reward time in s,M6_R_rewards,M6_R_beambreak_time in s,M6_R_reward time in s,M5_L_beambreak_time,M6_R_beambreak_time,cue_time
,202307130959351,12,202307130959361,202307130959361,17,202307130959472,202307130959472,1689267576.1324694,1689267587.2109735,1689267575.1268241
,202307130959523,12,,202307130959361,18,202307130959533,202307130959534,1689267608.4709194,1689267593.3864875,1689267592.3831422
,202307131000135,13,202307131000256,202307131000257,19,202307131000145,202307131000146,1689267625.6699529,1689267614.5939984,1689267613.5904448
,202307131000308,13,,202307131000257,20,202307131000358,202307131000359,1689267646.9319599,1689267635.8503952,1689267630.8423266
,202307131000520,14,202307131000590,202307131000591,20,,202307131000359,1689267659.0513895,1689267668.128229,1689267652.0391424
,202307131001182,14,,202307131000591,20,,202307131000359,1689267694.2732098,1689267694.2752762,1689267678.251352
,202307131001493,14,,202307131000591,20,,202307131000359,1689267725.418934,1689267725.4205065,1689267709.39608
,202307131002205,14,,202307131000591,20,,202307131000359,1689267756.5544488,1689267756.556082,1689267740.5323653
,202307131002516,15,202307131002586,202307131002587,20,,202307131000359,1689267778.6824207,1689267787.7579527,1689267771.6731398
,202307131003178,15,,202307131002587,20,,202307131000359,1689267813.8930216,1689267813.8950417,1689267797.8709848
,202307131003491,15,,202307131002587,21,202307131003541,202307131003542,1689267845.2326655,1689267834.1534133,1689267829.145534
,202307131004103,15,,202307131002587,22,202307131004153,202307131004154,1689267866.4225175,1689267855.341272,1689267850.3334987
,202307131004315,15,,202307131002587,22,,202307131004154,1689267887.557745,1689267887.5606668,1689267871.5356185
,202307131005026,16,202307131005066,202307131005067,22,,202307131004154,1689267906.6825204,1689267918.7627456,1689267902.6754978
,202307131005288,16,,202307131005067,22,,202307131004154,1689267944.8930614,1689267944.895363,1689267928.8709269
,202307131005599,16,,202307131005067,23,202307131006009,202307131006010,1689267976.0660348,1689267960.9819143,1689267959.9783354
,202307131006211,16,,202307131005067,24,202307131006361,202307131006362,1689267997.258807,1689267996.190961,1689267981.1714346
,202307131006423,17,202307131006513,202307131006514,24,,202307131006362,1689268011.3800006,1689268018.4542615,1689268002.3677478
,202307131007085,18,202307131007095,202307131007096,25,202307131007096,202307131007096,1689268029.5688694,1689268029.6331522,1689268028.565323
,202307131007147,18,,202307131007096,26,202307131007157,202307131007158,1689268050.8513184,1689268035.7667484,1689268034.7634883
,202307131007359,18,,202307131007096,27,202307131007369,202307131007370,1689268072.0468485,1689268056.9598813,1689268055.954336
,202307131007571,18,,202307131007096,28,202307131007581,202307131007582,1689268093.2424586,1689268078.1572642,1689268077.1536217
,202307131008183,18,,202307131007096,29,202307131008293,202307131008294,1689268114.4333465,1689268109.3611546,1689268098.3473747
,202307131008395,18,,202307131007096,30,202307131008405,202307131008406,1689268135.6365225,1689268120.5527434,1689268119.549204
,202307131009007,18,,202307131007096,30,,202307131008406,1689268156.7605019,1689268156.762702,1689268140.7376173
,202307131009318,18,,202307131007096,31,202307131009328,202307131009329,1689268187.9700851,1689268172.8872325,1689268171.883375
,202307131009530,18,,202307131007096,31,,202307131009329,1689268209.0938463,1689268209.0959418,1689268193.0716872
,202307131010242,19,202307131010392,202307131010393,32,202307131010252,202307131010252,1689268239.294119,1689268225.2145889,1689268224.2112389
,202307131010444,20,202307131010474,202307131010475,32,,202307131010252,1689268247.4607995,1689268260.5417957,1689268244.4550233
,202307131011106,20,,202307131010475,32,,202307131010252,1689268286.6882036,1689268286.6904676,1689268270.665529
,202307131011418,20,,202307131010475,32,,202307131010252,1689268317.8248053,1689268317.8270922,1689268301.8036292
,202307131012129,20,,202307131010475,32,,202307131010252,1689268348.9660316,1689268348.9678915,1689268332.9435372
,202307131012440,21,202307131012480,202307131012481,32,,202307131010252,1689268368.0934618,1689268380.1758432,1689268364.0866263
,202307131013103,21,,202307131012481,33,202307131013163,202307131013163,1689268406.403823,1689268396.3222263,1689268390.3130178
,202307131013315,21,,202307131012481,33,,202307131013163,1689268427.550742,1689268427.5523643,1689268411.5295122
,202307131014026,21,,202307131012481,34,202307131014076,202307131014077,1689268458.764765,1689268447.6814046,1689268442.67337
,202307131014238,22,202307131014248,202307131014249,35,202307131014249,202307131014250,1689268464.8984854,1689268464.9635031,1689268463.8935754
,202307131014301,23,202307131014311,202307131014311,35,,202307131014250,1689268471.122912,1689268486.207289,1689268470.1201744
,202307131014563,23,,202307131014311,35,,202307131014250,1689268512.3590877,1689268512.3613598,1689268496.336754
,202307131015274,23,,202307131014311,35,,202307131014250,1689268543.5004685,1689268543.5025735,1689268527.478053
,202307131015586,23,,202307131014311,35,,202307131014250,1689268574.671714,1689268574.6737013,1689268558.6498127
,202307131016297,23,,202307131014311,36,202307131016308,202307131016308,1689268605.882254,1689268590.8002143,1689268589.7967
,202307131016509,23,,202307131014311,36,,202307131016308,1689268627.018622,1689268627.0212712,1689268610.988071
,202307131017222,23,,202307131014311,36,,202307131016308,1689268658.2770827,1689268658.2791286,1689268642.2546806
,202307131017534,23,,202307131014311,37,202307131017544,202307131017544,1689268689.4978337,1689268674.415017,1689268673.4116411
,202307131018146,23,,202307131014311,37,,202307131017544,1689268710.6345367,1689268710.6370485,1689268694.6120996
,202307131018457,23,,202307131014311,37,,202307131017544,1689268741.7890859,1689268741.7907288,1689268725.76724
,202307131019169,23,,202307131014311,37,,202307131017544,1689268772.9495149,1689268772.951199,1689268756.9279106
,202307131019480,23,,202307131014311,38,202307131019490,202307131019491,1689268804.1801145,1689268789.0970018,1689268788.0935578
,202307131020093,24,202307131020153,202307131020153,38,,202307131019491,1689268815.3233871,1689268825.404812,1689268809.314065
,202307131020355,24,,202307131020153,39,202307131020405,202307131020406,1689268851.6263952,1689268840.5435717,1689268835.5362928
,202307131020567,24,,202307131020153,39,,202307131020406,1689268872.753104,1689268872.7552521,1689268856.7307003
,202307131021278,24,,202307131020153,39,,202307131020406,1689268903.9095032,1689268903.9116478,1689268887.8868656
,202307131021590,25,202307131022020,202307131022021,40,202307131022081,202307131022081,1689268922.0523732,1689268928.1266859,1689268919.0466416
,202307131022133,26,202307131022153,202307131022153,40,,202307131022081,1689268935.3069804,1689268949.3890584,1689268933.3030806
,202307131022395,27,202307131022405,202307131022405,40,,202307131022081,1689268960.5113685,1689268975.5937424,1689268959.507866
,202307131023057,27,,202307131022405,40,,202307131022081,1689269001.741039,1689269001.7433445,1689268985.7184603
,202307131023368,27,,202307131022405,40,,202307131022081,1689269032.9073749,1689269032.9094155,1689269016.882854
,202307131024080,27,,202307131022405,41,202307131024230,202307131024231,1689269064.1415286,1689269063.0714405,1689269048.0520294
,202307131024292,27,,202307131022405,41,,202307131024231,1689269085.2751157,1689269085.2766452,1689269069.2532794
,202307131025003,27,,202307131022405,41,,202307131024231,1689269116.3908932,1689269116.3922246,1689269100.3696556
,202307131025315,27,,202307131022405,41,,202307131024231,1689269147.5289178,1689269147.5304472,1689269131.5071778
,202307131026026,28,202307131026066,202307131026067,42,202307131026177,202307131026178,1689269166.6898315,1689269177.7664099,1689269162.6833954
,202307131026229,28,,202307131026067,43,202307131026279,202307131026280,1689269199.030775,1689269187.9450326,1689269182.9372163
,202307131026441,28,,202307131026067,43,,202307131026280,1689269220.1581695,1689269220.1603332,1689269204.135884
,202307131027152,28,,202307131026067,43,,202307131026280,1689269251.2945182,1689269251.296572,1689269235.2730384
,202307131027464,28,,202307131026067,43,,202307131026280,1689269282.4316359,1689269282.4337797,1689269266.4096768
,202307131028175,29,202307131028185,202307131028186,43,,202307131026280,1689269298.5556343,1689269313.6393266,1689269297.5525672
,202307131028437,30,202307131028557,202307131028558,43,,202307131026280,1689269335.7842777,1689269339.8550806,1689269323.7672083
,202307131029099,31,202307131029109,202307131029110,43,,202307131026280,1689269350.9746504,1689269366.05861,1689269349.9714034
,202307131029361,31,,202307131029110,43,,202307131026280,1689269392.203341,1689269392.2048883,1689269376.181205
,202307131030073,32,202307131030214,202307131030214,44,202307131030083,202307131030084,1689269421.4301672,1689269408.3508298,1689269407.345854
,202307131030265,32,,202307131030214,45,202307131030356,202307131030356,1689269442.678652,1689269435.602915,1689269426.5904624
,202307131030477,33,202307131030578,202307131030579,46,202307131030487,202307131030488,1689269457.8728857,1689269448.796801,1689269447.7938576
,202307131031030,34,202307131031040,202307131031041,46,,202307131030488,1689269464.0418844,1689269479.1279087,1689269463.0370483
,202307131031292,34,,202307131031041,46,,202307131030488,1689269505.2640405,1689269505.2663143,1689269489.2420037
,202307131032003,35,202307131032033,202307131032034,46,,202307131030488,1689269523.3629212,1689269536.4457877,1689269520.3573003
,202307131032265,35,,202307131032034,46,,202307131030488,1689269562.6050363,1689269562.6066556,1689269546.581574
,202307131032577,36,202307131032587,202307131032587,46,,202307131030488,1689269578.7318935,1689269593.8152122,1689269577.7283573
,202307131033239,36,,202307131032587,46,,202307131030488,1689269619.9566042,1689269619.9588633,1689269603.933819
,202307131033550,36,,202307131032587,46,,202307131030488,1689269651.110534,1689269651.1127636,1689269635.0878296
,202307131034262,36,,202307131032587,46,,202307131030488,1689269682.2591832,1689269682.2615478,1689269666.2366254
,202307131034573,36,,202307131032587,46,,202307131030488,1689269713.4179294,1689269713.4212253,1689269697.3948648
,202307131035285,36,,202307131032587,46,,202307131030488,1689269744.566946,1689269744.5694475,1689269728.544051
,202307131035597,36,,202307131032587,47,202307131036137,202307131036138,1689269775.873901,1689269773.7976325,1689269759.779707
,202307131036210,36,,202307131032587,47,,202307131036138,1689269797.0229475,1689269797.024662,1689269781.0004628
,202307131036521,37,202307131036531,202307131036532,48,202307131037002,202307131037003,1689269813.1820884,1689269820.2533545,1689269812.1786504
,202307131037054,38,202307131037134,202307131037135,49,202307131037135,202307131037135,1689269833.4435844,1689269833.5079803,1689269825.4324756
,202307131037187,38,,202307131037135,49,,202307131037135,1689269854.7498236,1689269854.7514632,1689269838.7278128
,202307131037498,39,202307131037579,202307131037580,50,202307131037548,202307131037549,1689269877.9481049,1689269874.8756711,1689269869.8676372
,202307131038031,40,202307131038131,202307131038132,51,202307131038041,202307131038041,1689269893.1871107,1689269884.1125526,1689269883.1089842
,202307131038183,41,202307131038193,202307131038194,51,,202307131038041,1689269899.3975558,1689269914.481492,1689269898.3939126
,202307131038446,41,,202307131038194,52,202307131038476,202307131038476,1689269940.706419,1689269927.624559,1689269924.618783
,202307131039058,41,,202307131038194,52,,202307131038476,1689269961.8558986,1689269961.859109,1689269945.83339
,202307131039369,41,,202307131038194,52,,202307131038476,1689269993.0024014,1689269993.0045674,1689269976.9792163
,202307131040081,41,,202307131038194,53,202307131040151,202307131040152,1689270024.2267094,1689270015.1496565,1689270008.13946
,202307131040293,41,,202307131038194,53,,202307131040152,1689270045.3635597,1689270045.3656368,1689270029.341007
,202307131041004,42,202307131041065,202307131041066,54,202307131041014,202307131041015,1689270066.5513227,1689270061.4795613,1689270060.4732842
,202307131041117,42,,202307131041066,54,,202307131041015,1689270087.7530963,1689270087.7547035,1689270071.7310798
,202307131041429,42,,202307131041066,55,202307131041519,202307131041519,1689270118.9981933,1689270111.9178386,1689270102.9053538
,202307131042041,42,,202307131041066,55,,202307131041519,1689270140.1387384,1689270140.1407485,1689270124.1163692
,202307131042352,42,,202307131041066,55,,202307131041519,1689270171.2943246,1689270171.296288,1689270155.27246
,202307131043064,43,202307131043194,202307131043195,55,,202307131041519,1689270199.4357173,1689270202.5056105,1689270186.4190257
,202307131043326,43,,202307131043195,55,,202307131041519,1689270228.64103,1689270228.6432173,1689270212.6189256
,202307131044037,43,,202307131043195,55,,202307131041519,1689270259.797593,1689270259.7999623,1689270243.7744658
,202307131044349,43,,202307131043195,55,,202307131041519,1689270290.9593482,1689270290.9609108,1689270274.9375234
,202307131045061,43,,202307131043195,55,,202307131041519,1689270322.1364322,1689270322.1395402,1689270306.1117084
,202307131045372,44,202307131045423,202307131045424,56,202307131045412,202307131045413,1689270342.3398335,1689270341.2744913,1689270337.2679646
,202307131045475,45,202307131045515,202307131045516,57,202307131045485,202307131045485,1689270351.5791826,1689270348.5124745,1689270347.5090773
,202307131045567,45,,202307131045516,57,,202307131045485,1689270372.786704,1689270372.7888093,1689270356.7650144
,202307131046279,46,202307131046289,202307131046289,58,202307131046329,202307131046330,1689270388.9240308,1689270392.9919913,1689270387.9207375
,202307131046381,46,,202307131046289,58,,202307131046330,1689270414.1915085,1689270414.1948283,1689270398.1656945
,202307131047093,47,202307131047103,202307131047104,59,202307131047104,202307131047104,1689270430.3446522,1689270430.4088817,1689270429.3412101
,202307131047155,48,202307131047165,202307131047166,59,,202307131047104,1689270436.566001,1689270451.6487672,1689270435.5627775
,202307131047417,48,,202307131047166,59,,202307131047104,1689270477.8036401,1689270477.8057797,1689270461.7812045
,202307131048129,48,,202307131047166,59,,202307131047104,1689270508.9632797,1689270508.9655414,1689270492.9413466
,202307131048440,49,202307131048450,202307131048451,59,,202307131047104,1689270525.0969381,1689270540.187376,1689270524.0932562
,202307131049103,49,,202307131048451,59,,202307131047104,1689270566.3431392,1689270566.345141,1689270550.3203945
,202307131049414,49,,202307131048451,60,202307131049424,202307131049425,1689270597.5613706,1689270582.4786425,1689270581.4749877
,202307131050026,49,,202307131048451,60,,202307131049425,1689270618.7183146,1689270618.7199607,1689270602.694163
,202307131050338,49,,202307131048451,61,202307131050378,202307131050379,1689270649.9609332,1689270637.8814876,1689270633.8743346
,202307131050550,50,202307131050560,202307131050561,61,,202307131050379,1689270656.0936952,1689270671.1768546,1689270655.0904868
,202307131051213,50,,202307131050561,62,202307131051363,202307131051364,1689270697.4059746,1689270696.336021,1689270681.3151581
,202307131051425,50,,202307131050561,63,202307131051505,202307131051506,1689270718.6137896,1689270710.539164,1689270702.5279715
,202307131052037,50,,202307131050561,63,,202307131051506,1689270739.7780302,1689270739.7803583,1689270723.7529306
,202307131052349,50,,202307131050561,63,,202307131051506,1689270770.9376774,1689270770.9398503,1689270754.9148948
,202307131053060,50,,202307131050561,63,,202307131051506,1689270802.0956345,1689270802.09843,1689270786.072594
,202307131053372,50,,202307131050561,63,,202307131051506,1689270833.2544832,1689270833.2572064,1689270817.2318602
,202307131054083,50,,202307131050561,64,202307131054134,202307131054134,1689270864.4913497,1689270853.4064026,1689270848.398332
,202307131054296,50,,202307131050561,64,,202307131054134,1689270885.6488504,1689270885.6508646,1689270869.6266594
,202307131055007,50,,202307131050561,64,,202307131054134,1689270916.820557,1689270916.822626,1689270900.7981863
,202307131055319,50,,202307131050561,64,,202307131054134,1689270947.9864845,1689270947.9886696,1689270931.9638152
,202307131056031,50,,202307131050561,64,,202307131054134,1689270979.150208,1689270979.1524973,1689270963.1272023
,202307131056342,51,202307131056412,202307131056413,64,,202307131054134,1689271001.2901328,1689271010.368167,1689270994.280056
,202307131057004,51,,202307131056413,65,202307131057114,202307131057115,1689271036.5488358,1689271031.4769506,1689271020.462352
,202307131057216,52,202307131057286,202307131057287,65,,202307131057115,1689271048.691827,1689271057.767833,1689271041.6795735
,202307131057478,52,,202307131057287,65,,202307131057115,1689271083.9171216,1689271083.9193876,1689271067.89367
,202307131058190,53,202307131058280,202307131058281,65,,202307131057115,1689271108.0717294,1689271115.146636,1689271099.0580478
,202307131058452,53,,202307131058281,65,,202307131057115,1689271141.2858138,1689271141.287883,1689271125.2643542
,202307131059164,53,,202307131058281,65,,202307131057115,1689271172.4237225,1689271172.4252896,1689271156.4020023
,202307131059475,54,202307131059485,202307131059486,65,,202307131057115,1689271188.5583072,1689271203.6402488,1689271187.554914
,202307131100137,54,,202307131059486,65,,202307131057115,1689271229.7900543,1689271229.7916226,1689271213.7666519
,202307131100449,54,,202307131059486,65,,202307131057115,1689271260.9499865,1689271260.9515476,1689271244.928183
,202307131101160,54,,202307131059486,66,202307131101191,202307131101191,1689271292.1901433,1689271279.1064045,1689271276.099289
,202307131101373,55,202307131101433,202307131101433,66,,202307131101191,1689271303.3204226,1689271313.397964,1689271297.311591
