trial_numbers,cue_time in s,M5_L_rewards,M5_L_beambreak_time in s,M5_L_reward time in s,M6_R_rewards,M6_R_beambreak_time in s,M6_R_reward time in s,M5_L_beambreak_time,M6_R_beambreak_time,cue_time
,202307121532219,1,202307121532450,202307121532450,1,202307121532359,202307121532359,1689201165.0085537,1689201155.932128,1689201141.9142027
,202307121532551,1,,202307121532450,1,,202307121532359,1689201206.2176282,1689201206.219925,1689201175.180262
,202307121533563,1,,202307121532450,1,,202307121532359,1689201267.417843,1689201267.4200246,1689201236.378791
,202307121534575,2,202307121535066,202307121535067,2,202307121535025,202307121535026,1689201306.6388474,1689201302.569563,1689201297.5498483
,202307121535168,2,,202307121535067,2,,202307121535026,1689201347.874658,1689201347.8768396,1689201316.8356752
,202307121536180,3,202307121536280,202307121536280,3,202307121536410,202307121536411,1689201388.0186896,1689201401.097482,1689201378.0050967
,202307121536512,4,202307121536562,202307121536563,4,202307121537013,202307121537014,1689201416.2798214,1689201421.361504,1689201411.2716753
,202307121537115,5,202307121537205,202307121537206,5,202307121537246,202307121537246,1689201440.5511236,1689201444.6195977,1689201431.5385873
,202307121537347,6,202307121537528,202307121537529,6,202307121537468,202307121537468,1689201472.8819175,1689201466.81135,1689201454.7941666
,202307121538030,6,,202307121537529,7,202307121538040,202307121538041,1689201514.1736512,1689201484.0747597,1689201483.0714025
,202307121538442,7,202307121539043,202307121539043,7,,202307121538041,1689201544.3124688,1689201555.3924046,1689201524.2880614
,202307121539355,8,202307121539586,202307121539586,8,202307121539395,202307121539395,1689201598.6121163,1689201579.527176,1689201575.5205019
,202307121540087,9,202307121540218,202307121540218,8,,202307121539395,1689201621.8154683,1689201639.9036083,1689201608.7989473
,202307121541000,10,202307121541291,202307121541292,9,202307121541050,202307121541051,1689201689.1411693,1689201665.0403185,1689201660.032319
,202307121541393,10,,202307121541292,10,202307121542043,202307121542044,1689201730.4236872,1689201724.3506415,1689201699.3206275
,202307121542205,10,,202307121541292,11,202307121542345,202307121542346,1689201771.6525197,1689201754.5677888,1689201740.5499594
,202307121543017,11,202307121543147,202307121543148,11,,202307121542346,1689201794.7854521,1689201812.8712764,1689201781.769353
,202307121543530,11,,202307121543148,11,,202307121542346,1689201864.044102,1689201864.0460496,1689201833.0055096
,202307121544541,11,,202307121543148,11,,202307121542346,1689201925.216379,1689201925.2185888,1689201894.1782207
,202307121545553,11,,202307121543148,11,,202307121542346,1689201986.3945765,1689201986.3960617,1689201955.356654
,202307121546565,12,202307121547185,202307121547186,11,,202307121542346,1689202038.5685797,1689202047.644469,1689202016.5409207
,202307121547477,13,202307121548138,202307121548138,11,,202307121542346,1689202093.8113225,1689202098.8835857,1689202067.780188
,202307121548390,14,202307121549010,202307121549011,12,202307121549081,202307121549081,1689202141.0422654,1689202148.1184108,1689202119.0159612
,202307121549183,14,,202307121549011,12,,202307121549081,1689202189.349775,1689202189.351888,1689202158.311527
,202307121550194,15,202307121550335,202307121550335,12,,202307121549081,1689202233.512575,1689202250.5985749,1689202219.4944558
,202307121551107,15,,202307121550335,12,,202307121549081,1689202301.7648509,1689202301.7673676,1689202270.725683
,202307121552119,15,,202307121550335,12,,202307121549081,1689202362.9478636,1689202362.9504032,1689202331.909747
,202307121553130,15,,202307121550335,12,,202307121549081,1689202424.1214733,1689202424.1236708,1689202393.083011
,202307121554142,16,202307121554363,202307121554364,13,202307121554303,202307121554303,1689202476.373297,1689202470.300349,1689202454.280092
,202307121554465,17,202307121555136,202307121555137,14,202307121554535,202307121554536,1689202513.6456096,1689202493.557679,1689202486.5482385
,202307121555238,17,,202307121555137,14,,202307121554536,1689202554.8731382,1689202554.874655,1689202523.8337858
,202307121556250,17,,202307121555137,14,,202307121554536,1689202616.069946,1689202616.0714371,1689202585.0314
,202307121557262,18,202307121557522,202307121557523,14,,202307121554536,1689202672.256929,1689202677.3321297,1689202646.2262812
,202307121558174,18,,202307121557523,15,202307121558224,202307121558225,1689202728.5583556,1689202702.4599094,1689202697.4523692
,202307121558586,19,202307121559046,202307121559047,15,,202307121558225,1689202744.6984603,1689202769.7931988,1689202738.6890545
,202307121559499,19,,202307121559047,16,202307121559509,202307121559510,1689202821.0382464,1689202790.9360664,1689202789.9311304
,202307121600311,19,,202307121559047,16,,202307121559510,1689202862.1909156,1689202862.1927211,1689202831.142085
,202307121601323,19,,202307121559047,17,202307121601363,202307121601364,1689202923.4401631,1689202896.346747,1689202892.3400273
,202307121602135,19,,202307121559047,18,202307121602235,202307121602236,1689202964.6738384,1689202943.5832446,1689202933.5682192
,202307121602547,19,,202307121559047,19,202307121603047,202307121603048,1689203005.885474,1689202984.7964585,1689202974.7828393
,202307121603359,19,,202307121559047,20,202307121603520,202307121603520,1689203047.101776,1689203032.019308,1689203015.9980593
,202307121604172,19,,202307121559047,21,202307121604182,202307121604183,1689203088.335828,1689203058.2372146,1689203057.233894
,202307121604584,19,,202307121559047,22,202307121605044,202307121605045,1689203129.5682845,1689203104.4742448,1689203098.4653883
,202307121605396,19,,202307121559047,23,202307121605537,202307121605537,1689203170.7897513,1689203153.703916,1689203139.6862285
