trial_numbers,cue_time in s,M5_L_rewards,M5_L_beambreak_time in s,M5_L_reward time in s,M6_R_rewards,M6_R_beambreak_time in s,M6_R_reward time in s,M5_L_beambreak_time,M6_R_beambreak_time,cue_time
,202307141615454,0,,,0,,,1689376561.462243,1689376561.4643874,1689376545.440073
,202307141616168,1,202307141616218,202307141616219,0,,,1689376581.8967524,1689376592.9763587,1689376576.8877726
,202307141616430,2,202307141616440,202307141616441,0,,,1689376604.0997667,1689376619.183553,1689376603.096136
,202307141617092,3,202307141617172,202307141617173,0,,,1689376637.2918937,1689376645.3688748,1689376629.280704
,202307141617354,4,202307141617364,202307141617365,0,,,1689376656.4926403,1689376671.577589,1689376655.4890718
,202307141618016,5,202307141618046,202307141618047,1,202307141618137,202307141618138,1689376684.6870356,1689376693.7613628,1689376681.6812553
,202307141618189,5,,202307141618047,2,202307141618249,202307141618249,1689376715.0130997,1689376704.9347444,1689376698.9253151
,202307141618401,6,202307141618451,202307141618451,2,,202307141618249,1689376725.1217747,1689376736.2030835,1689376720.1135497
,202307141619063,7,202307141619203,202307141619204,2,,202307141618249,1689376760.3481226,1689376762.4179327,1689376746.3301213
,202307141619325,8,202307141619335,202307141619336,3,202307141619476,202307141619476,1689376773.537989,1689376787.6168594,1689376772.534308
,202307141619527,9,202307141619567,202307141619568,4,202307141620028,202307141620029,1689376796.789612,1689376802.8603985,1689376792.7827904
,202307141620080,9,,202307141619568,5,202307141620090,202307141620090,1689376824.1054184,1689376809.0217032,1689376808.0180938
,202307141620292,10,202307141620302,202307141620302,5,,202307141620090,1689376830.2168102,1689376845.3015394,1689376829.213043
,202307141620554,11,202307141620564,202307141620564,5,,202307141620090,1689376856.415652,1689376871.4997938,1689376855.4120932
,202307141621216,11,,202307141620564,5,,202307141620090,1689376897.6414583,1689376897.643675,1689376881.6192818
,202307141621527,12,202307141621537,202307141621538,5,,202307141620090,1689376913.760806,1689376928.8430943,1689376912.7575574
,202307141622189,13,202307141622299,202307141622300,5,,202307141620090,1689376949.9667675,1689376955.1380599,1689376938.9521806
,202307141622452,14,202307141622462,202307141622463,6,202307141622463,202307141622463,1689376966.2684348,1689376966.33181,1689376965.2647452
,202307141622514,15,202307141622525,202307141622525,6,,202307141622463,1689376972.5015929,1689376987.5858796,1689376971.4980295
,202307141623176,16,202307141623227,202307141623227,6,,202307141622463,1689377002.7078109,1689377013.7867448,1689376997.6996908
,202307141623439,17,202307141623449,202307141623449,6,,202307141622463,1689377024.903736,1689377039.985673,1689377023.9004993
,202307141624100,17,,202307141623449,6,,202307141622463,1689377066.1164505,1689377066.1185775,1689377050.0936167
,202307141624412,18,202307141624422,202307141624423,6,,202307141622463,1689377082.2436028,1689377097.3256586,1689377081.2402658
,202307141625074,19,202307141625124,202307141625125,6,,202307141622463,1689377112.4487588,1689377123.5282865,1689377107.440934
,202307141625336,19,,202307141625125,7,202307141625346,202307141625347,1689377149.7223923,1689377134.6399758,1689377133.636322
,202307141625548,19,,202307141625125,7,,202307141625347,1689377170.8676026,1689377170.8697786,1689377154.844696
,202307141626259,20,202307141626269,202307141626270,7,,202307141625347,1689377186.9812868,1689377202.0634093,1689377185.978711
,202307141626521,20,,202307141626270,7,,202307141625347,1689377228.2038054,1689377228.205387,1689377212.180878
,202307141627233,21,202307141627323,202307141627324,8,202307141627324,202307141627324,1689377252.3527782,1689377252.4176862,1689377243.340316
,202307141627375,22,202307141627395,202307141627396,9,202307141627406,202307141627407,1689377259.5680368,1689377260.6410432,1689377257.561732
,202307141627458,23,202307141627468,202307141627468,9,,202307141627407,1689377266.8067553,1689377281.890676,1689377265.8028944
,202307141628120,24,202307141628130,202307141628130,9,,202307141627407,1689377293.0081685,1689377308.092907,1689377292.0044968
,202307141628382,24,,202307141628130,9,,202307141627407,1689377334.2265725,1689377334.2287595,1689377318.2043257
,202307141629093,25,202307141629193,202307141629194,9,,202307141627407,1689377359.3646655,1689377365.4385624,1689377349.351293
,202307141629355,25,,202307141629194,9,,202307141627407,1689377391.597995,1689377391.5995898,1689377375.5757217
,202307141630067,26,202307141630077,202307141630077,9,,202307141627407,1689377407.7269354,1689377422.8106103,1689377406.7231607
,202307141630329,27,202307141630439,202307141630439,9,,202307141627407,1689377443.935963,1689377449.0111458,1689377432.9215708
,202307141630591,28,202307141631001,202307141631002,10,202307141631002,202307141631002,1689377460.136474,1689377460.2046041,1689377459.132083
,202307141631053,29,202307141631063,202307141631064,11,202307141631094,202307141631094,1689377466.361102,1689377469.432023,1689377465.3558276
,202307141631145,30,202307141631156,202307141631156,12,202307141631156,202307141631157,1689377475.600728,1689377475.665641,1689377474.5973725
,202307141631208,31,202307141631238,202307141631238,12,,202307141631157,1689377483.8284116,1689377496.9116986,1689377480.822732
,202307141631470,32,202307141631480,202307141631480,12,,202307141631157,1689377508.026258,1689377523.1117399,1689377507.0227742
,202307141632132,33,202307141632222,202307141632222,12,,202307141631157,1689377542.234523,1689377549.3108008,1689377533.2219613
,202307141632394,34,202307141632404,202307141632404,12,,202307141631157,1689377560.4331374,1689377575.5157251,1689377559.4295883
,202307141633056,35,202307141633176,202307141633177,12,,202307141631157,1689377597.6458206,1689377601.7234159,1689377585.6300147
,202307141633318,36,202307141633328,202307141633329,12,,202307141631157,1689377612.8529186,1689377627.9363735,1689377611.8495674
,202307141633580,36,,202307141633329,12,,202307141631157,1689377654.0894496,1689377654.0911095,1689377638.0675838
,202307141634292,37,202307141634302,202307141634302,13,202307141634302,202307141634303,1689377670.2345936,1689377670.2986796,1689377669.2310476
,202307141634354,38,202307141634364,202307141634365,13,,202307141634303,1689377676.4621797,1689377691.5443594,1689377675.4588556
,202307141635016,39,202307141635026,202307141635027,13,,202307141634303,1689377702.6760504,1689377717.7638257,1689377701.6709943
,202307141635278,40,202307141635288,202307141635289,13,,202307141634303,1689377728.8956482,1689377743.9783688,1689377727.8922513
,202307141635541,40,,202307141635289,13,,202307141634303,1689377770.131512,1689377770.1331074,1689377754.1090348
,202307141636252,40,,202307141635289,13,,202307141634303,1689377801.2899587,1689377801.2913728,1689377785.2676268
,202307141636564,40,,202307141635289,13,,202307141634303,1689377832.4381607,1689377832.4393892,1689377816.4160092
,202307141637276,40,,202307141635289,13,,202307141634303,1689377863.628666,1689377863.6311574,1689377847.6054282
,202307141637587,40,,202307141635289,13,,202307141634303,1689377894.781593,1689377894.7835946,1689377878.7591677
,202307141638299,40,,202307141635289,13,,202307141634303,1689377925.9431777,1689377925.9443552,1689377909.9203267
,202307141639010,40,,202307141635289,13,,202307141634303,1689377957.1067805,1689377957.1087263,1689377941.0840285
,202307141639322,40,,202307141635289,13,,202307141634303,1689377988.264338,1689377988.2660077,1689377972.2426698
,202307141640035,41,202307141640175,202307141640176,13,,202307141634303,1689378017.554427,1689378019.6239834,1689378003.537257
,202307141640297,42,202307141640307,202307141640308,13,,202307141634303,1689378030.7406826,1689378045.8291352,1689378029.7365384
,202307141640559,43,202307141640569,202307141640570,13,,202307141634303,1689378056.9553497,1689378072.038427,1689378055.9517891
,202307141641221,43,,202307141640570,13,,202307141634303,1689378098.1709611,1689378098.1730976,1689378082.1486113
,202307141641532,43,,202307141640570,13,,202307141634303,1689378129.3153067,1689378129.316986,1689378113.293067
,202307141642244,43,,202307141640570,13,,202307141634303,1689378160.4581842,1689378160.4597425,1689378144.4360442
