trial_numbers,cue_time in s,M5_L_rewards,M5_L_beambreak_time in s,M5_L_reward time in s,M6_R_rewards,M6_R_beambreak_time in s,M6_R_reward time in s,M5_L_beambreak_time,M5_L_reward time,M6_R_beambreak_time,M6_R_reward time,cue_time
,20230718161229515240,1,20230718161236526787,202307181612365,0,,,1689721956.5267868,1689721956.5723624,1689721965.5842714,,1689721949.5152402
,20230718161255700789,2,20230718161307751955,202307181613077,1,20230718161256704576,202307181612567,1689721987.751955,1689721987.796258,1689721976.7045763,1689721976.738951,1689721975.700789
,20230718161312882380,3,20230718161324933024,202307181613249,2,20230718161314887243,202307181613149,1689722004.9330244,1689722004.9787877,1689721994.8872428,1689721994.9217727,1689721992.8823798
,20230718161330100068,4,20230718161331103769,202307181613311,2,,202307181613149,1689722011.1037693,1689722011.148458,1689722026.16723,1689721994.9217727,1689722010.1000679
,20230718161356288022,4,,202307181613311,3,20230718161402296847,202307181614023,1689722052.3453338,1689722011.148458,1689722042.2968473,1689722042.3306506,1689722036.2880223
,20230718161417467488,5,20230718161425479104,202307181614255,3,,202307181614023,1689722065.4791043,1689722065.5271268,1689722073.5383458,1689722042.3306506,1689722057.4674883
,20230718161443668951,6,20230718161444672472,202307181614447,4,20230718161454727910,202307181614547,1689722084.6724715,1689722084.7172878,1689722094.7279098,1689722094.7618427,1689722083.6689513
,20230718161459881425,7,20230718161507892862,202307181615079,5,20230718161514943461,202307181615149,1689722107.8928618,1689722107.9357898,1689722114.9434607,1689722114.9809673,1689722099.8814251
,20230718161520104631,8,20230718161525114821,202307181615251,5,,202307181615149,1689722125.1148214,1689722125.1629074,1689722136.1778631,1689722114.9809673,1689722120.1046312
,20230718161546301893,8,,202307181615251,5,,202307181615149,1689722162.323288,1689722125.1629074,1689722162.3256176,1689722114.9809673,1689722146.3018932
,20230718161617462635,8,,202307181615251,5,,202307181615149,1689722193.483791,1689722125.1629074,1689722193.4859636,1689722114.9809673,1689722177.462635
