trial_numbers,cue_time in s,M5_L_rewards,M5_L_beambreak_time in s,M5_L_reward time in s,M6_R_rewards,M6_R_beambreak_time in s,M6_R_reward time in s,M5_L_beambreak_time,M5_L_reward time,M6_R_beambreak_time,M6_R_reward time,cue_time
,20230718161648620450,9,20230718161649626008,202307181616496,5,,202307181615149,1689722209.6260083,1689722209.6739914,1689722224.692685,1689722114.9809673,1689722208.6204503
,20230718161714830342,9,,202307181616496,6,20230718161729847657,202307181617298,1689722250.8852422,1689722209.6739914,1689722249.8476572,1689722249.8814666,1689722234.8303416
,20230718161736007029,9,,202307181616496,7,20230718161737012166,202307181617370,1689722272.068951,1689722209.6739914,1689722257.0121663,1689722257.0501688,1689722256.0070288
,20230718161757191810,10,20230718161758195560,202307181617582,8,20230718161758239138,202307181617582,1689722278.1955595,1689722278.2388036,1689722278.2391384,1689722278.2773497,1689722277.1918104
,20230718161803390685,11,20230718161807397775,202307181618074,9,20230718161810449216,202307181618104,1689722287.3977754,1689722287.4448051,1689722290.4492164,1689722290.4849355,1689722283.3906848
,20230718161815596014,12,20230718161830647871,202307181618306,10,20230718161816599286,202307181618166,1689722310.6478713,1689722310.6925411,1689722296.5992858,1689722296.6330485,1689722295.596014
,20230718161835854594,13,20230718161836858240,202307181618369,11,20230718161847914537,202307181618479,1689722316.85824,1689722316.9028053,1689722327.914537,1689722327.953939,1689722315.8545945
,20230718161853072792,13,,202307181618369,11,,202307181618479,1689722349.0987892,1689722316.9028053,1689722349.1030724,1689722327.953939,1689722333.0727916
,20230718161924258574,13,,202307181618369,11,,202307181618479,1689722380.2806566,1689722316.9028053,1689722380.2822692,1689722327.953939,1689722364.2585742
,20230718161955406209,13,,202307181618369,12,20230718162009424588,202307181620094,1689722411.4644275,1689722316.9028053,1689722409.4245877,1689722409.4594302,1689722395.4062095
,20230718162016589694,14,20230718162029648283,202307181620296,13,20230718162021597137,202307181620216,1689722429.6482832,1689722429.6920366,1689722421.5971367,1689722421.638992,1689722416.5896943
,20230718162034806244,15,20230718162035810080,202307181620358,13,,202307181620216,1689722435.81008,1689722435.853211,1689722450.8717878,1689722421.638992,1689722434.8062441
,20230718162100985351,16,20230718162101989032,202307181621020,13,,202307181620216,1689722461.9890318,1689722462.0328658,1689722477.054585,1689722421.638992,1689722460.9853513
,20230718162127176038,16,,202307181621020,14,20230718162131182955,202307181621312,1689722503.232024,1689722462.0328658,1689722491.1829553,1689722491.2177382,1689722487.1760378
,20230718162148311232,17,20230718162155321707,202307181621553,14,,202307181621312,1689722515.3217065,1689722515.3667808,1689722524.379906,1689722491.2177382,1689722508.3112323
,20230718162214514469,17,,202307181621553,14,,202307181621312,1689722550.5369005,1689722515.3667808,1689722550.5388525,1689722491.2177382,1689722534.5144694
,20230718162245669526,18,20230718162246673215,202307181622467,15,20230718162246719816,202307181622467,1689722566.673215,1689722566.7195008,1689722566.7198164,1689722566.75766,1689722565.669526
,20230718162251864280,19,20230718162252868039,202307181622529,16,20230718162257918121,202307181622579,1689722572.8680394,1689722572.9124722,1689722577.9181209,1689722577.9527543,1689722571.8642805
,20230718162303065137,20,20230718162305104307,202307181623051,17,20230718162304068626,202307181623041,1689722585.1043072,1689722585.148893,1689722584.068626,1689722584.1028903,1689722583.0651367
,20230718162310258095,20,,202307181623051,17,,202307181623041,1689722606.2804964,1689722585.148893,1689722606.2826805,1689722584.1028903,1689722590.2580948
,20230718162341410170,21,20230718162350422551,202307181623504,17,,202307181623041,1689722630.4225512,1689722630.4673717,1689722637.4778957,1689722584.1028903,1689722621.4101698
,20230718162407616295,21,,202307181623504,17,,202307181623041,1689722663.6384208,1689722630.4673717,1689722663.6403086,1689722584.1028903,1689722647.616295
,20230718162438779200,21,,202307181623504,18,20230718162441784658,202307181624418,1689722694.838937,1689722630.4673717,1689722681.784658,1689722681.8219922,1689722678.7791996
,20230718162459961933,22,20230718162512012154,202307181625120,19,20230718162509975262,202307181625100,1689722712.0121536,1689722712.0561006,1689722709.9752624,1689722710.0093033,1689722699.9619327
,20230718162517186982,23,20230718162518193002,202307181625182,19,,202307181625100,1689722718.1930025,1689722718.240373,1689722733.2596357,1689722710.0093033,1689722717.1869817
,20230718162543396800,23,,202307181625182,20,20230718162544400639,202307181625444,1689722759.4546196,1689722718.240373,1689722744.4006386,1689722744.4355843,1689722743.3967996
,20230718162604564595,24,20230718162609572361,202307181626096,21,20230718162612621094,202307181626126,1689722769.572361,1689722769.6174948,1689722772.6210942,1689722772.6556816,1689722764.5645952
,20230718162617776859,24,,202307181626096,21,,202307181626126,1689722793.7995718,1689722769.6174948,1689722793.8017595,1689722772.6556816,1689722777.776859
,20230718162648937395,25,20230718162649940859,202307181626499,21,,202307181626126,1689722809.9408588,1689722809.9859128,1689722825.005142,1689722772.6556816,1689722808.937395
,20230718162715144016,25,,202307181626499,21,,202307181626126,1689722851.1654181,1689722809.9859128,1689722851.1670163,1689722772.6556816,1689722835.1440156
,20230718162746300899,26,20230718162748305607,202307181627483,21,,202307181626126,1689722868.3056066,1689722868.3494406,1689722882.3672328,1689722772.6556816,1689722866.3008986
,20230718162812484978,27,20230718162826505264,202307181628265,21,,202307181626126,1689722906.5052638,1689722906.5491052,1689722908.5536978,1689722772.6556816,1689722892.4849777
,20230718162838675264,28,20230718162842681870,202307181628427,22,20230718162850741338,202307181628507,1689722922.6818697,1689722922.7320724,1689722930.7413383,1689722930.7774305,1689722918.675264
,20230718162855887057,29,20230718162856890374,202307181628569,23,20230718162856933835,202307181628569,1689722936.8903744,1689722936.9335563,1689722936.9338348,1689722936.967586,1689722935.887057
,20230718162902070139,30,20230718162903074214,202307181629031,24,20230718162910126208,202307181629101,1689722943.074214,1689722943.1182754,1689722950.1262078,1689722950.1607044,1689722942.070139
,20230718162915300764,31,20230718162917339033,202307181629173,25,20230718162916304348,202307181629163,1689722957.3390334,1689722957.3827183,1689722956.3043478,1689722956.337648,1689722955.3007636
,20230718162922489454,32,20230718162923492271,202307181629235,25,,202307181629163,1689722963.4922712,1689722963.5349007,1689722978.5557234,1689722956.337648,1689722962.4894536
,20230718162948676970,32,,202307181629235,25,,202307181629163,1689723004.6987247,1689722963.5349007,1689723004.7002556,1689722956.337648,1689722988.6769705
,20230718163019839200,32,,202307181629235,26,20230718163020842634,202307181630208,1689723035.895558,1689722963.5349007,1689723020.8426337,1689723020.8768425,1689723019.8392
,20230718163041002079,33,20230718163053053538,202307181630531,27,20230718163048011891,202307181630480,1689723053.053538,1689723053.100254,1689723048.0118911,1689723048.0472348,1689723041.002079
,20230718163058212614,34,20230718163059215984,202307181630592,28,20230718163059260136,202307181630592,1689723059.2159836,1689723059.2598917,1689723059.260136,1689723059.295088,1689723058.2126136
,20230718163104381208,34,,202307181630592,29,20230718163108387989,202307181631084,1689723080.4377267,1689723059.2598917,1689723068.3879886,1689723068.4220722,1689723064.3812082
,20230718163125557830,34,,202307181630592,30,20230718163138576479,202307181631386,1689723101.6154804,1689723059.2598917,1689723098.5764794,1689723098.6100242,1689723085.5578303
,20230718163146740724,34,,202307181630592,30,,202307181631386,1689723122.7629557,1689723059.2598917,1689723122.7651432,1689723098.6100242,1689723106.7407243
,20230718163217899915,34,,202307181630592,31,20230718163220906142,202307181632209,1689723153.9559727,1689723059.2598917,1689723140.9061425,1689723140.9406111,1689723137.8999155
,20230718163239083152,34,,202307181630592,31,,202307181632209,1689723175.1053088,1689723059.2598917,1689723175.1073623,1689723140.9406111,1689723159.083152
,20230718163310257015,35,20230718163314263561,202307181633143,32,20230718163324318565,202307181633243,1689723194.2635615,1689723194.3072805,1689723204.3185654,1689723204.352173,1689723190.2570152
,20230718163329455035,36,20230718163330458303,202307181633305,32,,202307181633243,1689723210.4583027,1689723210.5040717,1689723225.5228956,1689723204.352173,1689723209.4550347
,20230718163355658570,36,,202307181633305,32,,202307181633243,1689723251.6797204,1689723210.5040717,1689723251.681727,1689723204.352173,1689723235.6585696
,20230718163426816470,37,20230718163431824318,202307181634318,32,,202307181633243,1689723271.824318,1689723271.8715463,1689723282.8855042,1689723204.352173,1689723266.81647
,20230718163453013170,37,,202307181634318,32,,202307181633243,1689723309.0350046,1689723271.8715463,1689723309.0365665,1689723204.352173,1689723293.01317
,20230718163524170492,37,,202307181634318,32,,202307181633243,1689723340.1917598,1689723271.8715463,1689723340.1932354,1689723204.352173,1689723324.170492
,20230718163555335672,38,20230718163602345637,202307181636023,32,,202307181633243,1689723362.3456373,1689723362.390337,1689723371.4024465,1689723204.352173,1689723355.3356721
,20230718163621551039,38,,202307181636023,32,,202307181633243,1689723397.5731812,1689723362.390337,1689723397.575316,1689723204.352173,1689723381.5510392
,20230718163652716489,39,20230718163653719914,202307181636537,32,,202307181633243,1689723413.7199144,1689723413.7649517,1689723428.7830148,1689723204.352173,1689723412.7164893
,20230718163718904886,40,20230718163719908376,202307181637199,32,,202307181633243,1689723439.9083762,1689723439.9536676,1689723454.9726355,1689723204.352173,1689723438.9048862
,20230718163745072363,40,,202307181637199,32,,202307181633243,1689723481.0951276,1689723439.9536676,1689723481.0972905,1689723204.352173,1689723465.0723627
,20230718163816249534,40,,202307181637199,32,,202307181633243,1689723512.2722838,1689723439.9536676,1689723512.2746248,1689723204.352173,1689723496.249534
,20230718163847464748,41,20230718163852474332,202307181638525,32,,202307181633243,1689723532.4743323,1689723532.520964,1689723543.5355408,1689723204.352173,1689723527.4647481
,20230718163913657112,42,20230718163928676359,202307181639287,32,,202307181633243,1689723568.6763587,1689723568.7210703,1689723569.7246237,1689723204.352173,1689723553.6571124
,20230718163939855475,42,,202307181639287,33,20230718163943862564,202307181639438,1689723595.913271,1689723568.7210703,1689723583.8625636,1689723583.897653,1689723579.8554754
,20230718164001069981,43,20230718164003109801,202307181640031,34,20230718164002073504,202307181640021,1689723603.1098008,1689723603.1548145,1689723602.073504,1689723602.1080546,1689723601.069981
,20230718164008282403,44,20230718164011289893,202307181640113,34,,202307181640021,1689723611.289893,1689723611.3380659,1689723624.3564367,1689723602.1080546,1689723608.2824032
,20230718164034488591,45,20230718164040497434,202307181640405,34,,202307181640021,1689723640.4974344,1689723640.5413678,1689723650.55485,1689723602.1080546,1689723634.488591
,20230718164100693522,46,20230718164101696887,202307181641017,34,,202307181640021,1689723661.6968865,1689723661.7400548,1689723676.7588735,1689723602.1080546,1689723660.6935222
,20230718164126888081,46,,202307181641017,34,,202307181640021,1689723702.9099722,1689723661.7400548,1689723702.9110074,1689723602.1080546,1689723686.8880806
,20230718164158063693,46,,202307181641017,34,,202307181640021,1689723734.0856326,1689723661.7400548,1689723734.087262,1689723602.1080546,1689723718.063693
,20230718164229226810,46,,202307181641017,34,,202307181640021,1689723765.249281,1689723661.7400548,1689723765.2530022,1689723602.1080546,1689723749.2268102
,20230718164300464666,46,,202307181641017,34,,202307181640021,1689723796.4853683,1689723661.7400548,1689723796.487303,1689723602.1080546,1689723780.4646657
,20230718164331628028,47,20230718164332631551,202307181643326,34,,202307181640021,1689723812.6315508,1689723812.675327,1689723827.6948478,1689723602.1080546,1689723811.6280284
,20230718164357826472,47,,202307181643326,35,20230718164359831814,202307181643598,1689723853.8845236,1689723812.675327,1689723839.831814,1689723839.8664918,1689723837.8264723
,20230718164419010859,48,20230718164420014474,202307181644200,36,20230718164421060384,202307181644210,1689723860.0144737,1689723860.059026,1689723861.0603843,1689723861.095426,1689723859.0108588
,20230718164426205806,48,,202307181644200,36,,202307181644210,1689723882.228074,1689723860.059026,1689723882.230214,1689723861.095426,1689723866.205806
,20230718164457380219,48,,202307181644200,36,,202307181644210,1689723913.402454,1689723860.059026,1689723913.4049637,1689723861.095426,1689723897.380219
,20230718164528554244,48,,202307181644200,36,,202307181644210,1689723944.5773995,1689723860.059026,1689723944.5781558,1689723861.095426,1689723928.5542436
,20230718164559719780,49,20230718164600725264,202307181646007,37,20230718164608781469,202307181646088,1689723960.725264,1689723960.7724466,1689723968.781469,1689723968.8172143,1689723959.7197802
,20230718164613948088,50,20230718164615952657,202307181646159,38,20230718164621002323,202307181646210,1689723975.952657,1689723975.9965026,1689723981.0023234,1689723981.0361042,1689723973.9480884
,20230718164626174977,51,20230718164627178434,202307181646272,39,20230718164634229593,202307181646342,1689723987.1784344,1689723987.2215521,1689723994.2295933,1689723994.2634525,1689723986.1749773
,20230718164639395068,51,,202307181646272,39,,202307181646342,1689724015.4171095,1689723987.2215521,1689724015.4191625,1689723994.2634525,1689723999.3950682
,20230718164710565730,51,,202307181646272,39,,202307181646342,1689724046.5889082,1689723987.2215521,1689724046.5916762,1689723994.2634525,1689724030.5657299
,20230718164741745433,51,,202307181646272,39,,202307181646342,1689724077.7670574,1689723987.2215521,1689724077.7690446,1689723994.2634525,1689724061.745433
,20230718164812915007,51,,202307181646272,39,,202307181646342,1689724108.9384468,1689723987.2215521,1689724108.9399357,1689723994.2634525,1689724092.9150066
,20230718164844064041,51,,202307181646272,39,,202307181646342,1689724140.0856276,1689723987.2215521,1689724140.087136,1689723994.2634525,1689724124.0640411
,20230718164915234076,51,,202307181646272,39,,202307181646342,1689724171.2567391,1689723987.2215521,1689724171.2582495,1689723994.2634525,1689724155.234076
,20230718164946392253,51,,202307181646272,39,,202307181646342,1689724202.4144351,1689723987.2215521,1689724202.4164941,1689723994.2634525,1689724186.392253
,20230718165017571935,52,20230718165030588420,202307181650306,39,,202307181646342,1689724230.58842,1689724230.6320453,1689724233.6375055,1689723994.2634525,1689724217.571935
,20230718165043755129,52,,202307181650306,39,,202307181646342,1689724259.776465,1689724230.6320453,1689724259.7779455,1689723994.2634525,1689724243.7551286
,20230718165114923400,53,20230718165128941084,202307181651289,39,,202307181646342,1689724288.9410844,1689724288.9853954,1689724290.990755,1689723994.2634525,1689724274.9234004
,20230718165141123113,54,20230718165151136408,202307181651511,39,,202307181646342,1689724311.136408,1689724311.1806343,1689724317.1895819,1689723994.2634525,1689724301.123113
,20230718165207329281,54,,202307181651511,39,,202307181646342,1689724343.3515863,1689724311.1806343,1689724343.3537068,1689723994.2634525,1689724327.3292813
,20230718165238514295,54,,202307181651511,39,,202307181646342,1689724374.5354576,1689724311.1806343,1689724374.5369656,1689723994.2634525,1689724358.514295
,20230718165309680977,55,20230718165323699238,202307181653237,39,,202307181646342,1689724403.6992383,1689724403.7429833,1689724405.7474568,1689723994.2634525,1689724389.6809773
,20230718165335878540,55,,202307181653237,39,,202307181646342,1689724431.9005005,1689724403.7429833,1689724431.9023912,1689723994.2634525,1689724415.8785398
,20230718165407064440,56,20230718165412071858,202307181654121,39,,202307181646342,1689724452.0718584,1689724452.1196072,1689724463.135264,1689723994.2634525,1689724447.0644403
,20230718165433266882,57,20230718165434270197,202307181654343,39,,202307181646342,1689724474.270197,1689724474.3154829,1689724489.3351555,1689723994.2634525,1689724473.2668824
,20230718165459464873,58,20230718165511479704,202307181655115,39,,202307181646342,1689724511.4797041,1689724511.523575,1689724515.5321956,1689723994.2634525,1689724499.4648726
,20230718165525654773,58,,202307181655115,40,20230718165539672077,202307181655397,1689724541.710467,1689724511.523575,1689724539.6720774,1689724539.7059565,1689724525.6547732
,20230718165546847072,59,20230718165547852503,202307181655478,41,20230718165558912098,202307181655589,1689724547.8525033,1689724547.8996289,1689724558.9120977,1689724558.9509134,1689724546.8470724
,20230718165604086113,59,,202307181655478,42,20230718165605089388,202307181656051,1689724580.1416137,1689724547.8996289,1689724565.0893881,1689724565.1225915,1689724564.0861132
,20230718165625280860,59,,202307181655478,43,20230718165628286599,202307181656283,1689724601.33747,1689724547.8996289,1689724588.2865992,1689724588.32031,1689724585.2808597
,20230718165646466047,59,,202307181655478,43,,202307181656283,1689724622.4927232,1689724547.8996289,1689724622.4950264,1689724588.32031,1689724606.466047
,20230718165717648374,59,,202307181655478,43,,202307181656283,1689724653.67062,1689724547.8996289,1689724653.6723986,1689724588.32031,1689724637.6483743
,20230718165748817131,59,,202307181655478,43,,202307181656283,1689724684.839354,1689724547.8996289,1689724684.84158,1689724588.32031,1689724668.8171313
,20230718165820097490,59,,202307181655478,43,,202307181656283,1689724716.120595,1689724547.8996289,1689724716.1227646,1689724588.32031,1689724700.0974898
,20230718165851276196,60,20230718165852279355,202307181658523,43,,202307181656283,1689724732.2793546,1689724732.322018,1689724747.3408108,1689724588.32031,1689724731.2761955
,20230718165917469333,60,,202307181658523,43,,202307181656283,1689724773.4915228,1689724732.322018,1689724773.4937735,1689724588.32031,1689724757.4693327
,20230718165948639426,61,20230718165949642822,202307181659496,43,,202307181656283,1689724789.642822,1689724789.686882,1689724804.7059536,1689724588.32031,1689724788.6394255
,20230718170014859551,61,,202307181659496,43,,202307181656283,1689724830.882015,1689724789.686882,1689724830.8844075,1689724588.32031,1689724814.8595514
,20230718170046048460,62,20230718170101067327,202307181701011,43,,202307181656283,1689724861.0673275,1689724861.1106758,1689724862.1143334,1689724588.32031,1689724846.0484598
,20230718170112247561,62,,202307181701011,43,,202307181656283,1689724888.2698915,1689724861.1106758,1689724888.2714355,1689724588.32031,1689724872.2475615
,20230718170143419323,62,,202307181701011,43,,202307181656283,1689724919.4411924,1689724861.1106758,1689724919.442734,1689724588.32031,1689724903.419323
,20230718170214605647,62,,202307181701011,43,,202307181656283,1689724950.6280284,1689724861.1106758,1689724950.6295571,1689724588.32031,1689724934.6056473
,20230718170245796519,62,,202307181701011,44,20230718170254811431,202307181702548,1689724981.856161,1689724861.1106758,1689724974.8114312,1689724974.8459826,1689724965.7965188
,20230718170307004974,63,20230718170321058198,202307181703211,45,20230718170315016334,202307181703150,1689725001.058198,1689725001.101606,1689724995.0163338,1689724995.0512912,1689724987.004974
,20230718170326232232,63,,202307181703211,46,20230718170341251261,202307181703412,1689725022.2883549,1689725001.101606,1689725021.2512612,1689725021.2849562,1689725006.2322323
,20230718170347437918,64,20230718170348441296,202307181703484,47,20230718170352490474,202307181703525,1689725028.441296,1689725028.485752,1689725032.4904745,1689725032.533436,1689725027.4379184
,20230718170357650781,65,20230718170402660995,202307181704027,47,,202307181703525,1689725042.6609945,1689725042.7136536,1689725053.7279913,1689725032.533436,1689725037.6507814
,20230718170423885039,65,,202307181704027,47,,202307181703525,1689725079.9071443,1689725042.7136536,1689725079.9095664,1689725032.533436,1689725063.8850389
,20230718170455047578,65,,202307181704027,48,20230718170456051089,202307181704560,1689725111.1043203,1689725042.7136536,1689725096.0510888,1689725096.0855267,1689725095.0475783
,20230718170516254012,65,,202307181704027,48,,202307181704560,1689725132.2761314,1689725042.7136536,1689725132.2778354,1689725096.0855267,1689725116.2540116
,20230718170547481842,65,,202307181704027,49,20230718170548485540,202307181705485,1689725163.5395405,1689725042.7136536,1689725148.48554,1689725148.520355,1689725147.4818423
,20230718170608683053,65,,202307181704027,50,20230718170618696564,202307181706187,1689725184.7430062,1689725042.7136536,1689725178.6965644,1689725178.7314494,1689725168.6830525
,20230718170629890250,66,20230718170630894042,202307181706309,51,20230718170635944311,202307181706359,1689725190.8940415,1689725190.9383895,1689725195.9443114,1689725195.980077,1689725189.8902497
,20230718170641108998,67,20230718170642112542,202307181706421,51,,202307181706359,1689725202.1125417,1689725202.156922,1689725217.1758783,1689725195.980077,1689725201.1089976
,20230718170707304250,67,,202307181706421,52,20230718170711310490,202307181707113,1689725243.3595726,1689725202.156922,1689725231.3104897,1689725231.3439488,1689725227.3042495
,20230718170728496400,67,,202307181706421,52,,202307181707113,1689725264.5182827,1689725202.156922,1689725264.5198326,1689725231.3439488,1689725248.4963999
,20230718170759674677,68,20230718170800678029,202307181708007,52,,202307181707113,1689725280.6780293,1689725280.7211587,1689725295.740239,1689725231.3439488,1689725279.674677
,20230718170825905825,68,,202307181708007,52,,202307181707113,1689725321.9278524,1689725280.7211587,1689725321.9293613,1689725231.3439488,1689725305.9058251
,20230718170857069687,68,,202307181708007,52,,202307181707113,1689725353.0915601,1689725280.7211587,1689725353.093094,1689725231.3439488,1689725337.069687
,20230718170928243605,68,,202307181708007,53,20230718170939258613,202307181709392,1689725384.4251983,1689725280.7211587,1689725379.2586133,1689725379.2932134,1689725368.2436051
,20230718170949539361,68,,202307181708007,54,20230718170952545182,202307181709525,1689725405.5965242,1689725280.7211587,1689725392.5451815,1689725392.5795336,1689725389.5393612
,20230718171010725702,68,,202307181708007,54,,202307181709525,1689725426.748128,1689725280.7211587,1689725426.7502148,1689725392.5795336,1689725410.725702
,20230718171041910289,68,,202307181708007,54,,202307181709525,1689725457.934229,1689725280.7211587,1689725457.9365182,1689725392.5795336,1689725441.910289
,20230718171113100638,68,,202307181708007,55,20230718171118108847,202307181711181,1689725489.1602762,1689725280.7211587,1689725478.1088471,1689725478.1457143,1689725473.1006382
,20230718171134297169,68,,202307181708007,55,,202307181711181,1689725510.3176942,1689725280.7211587,1689725510.3197901,1689725478.1457143,1689725494.2971694
,20230718171205482478,68,,202307181708007,55,,202307181711181,1689725541.50429,1689725280.7211587,1689725541.5059588,1689725478.1457143,1689725525.4824777
,20230718171236657496,69,20230718171251676043,202307181712517,55,,202307181711181,1689725571.6760433,1689725571.721404,1689725572.7266867,1689725478.1457143,1689725556.657496
,20230718171302868022,69,,202307181712517,55,,202307181711181,1689725598.8900878,1689725571.721404,1689725598.8921034,1689725478.1457143,1689725582.8680222
,20230718171334044803,69,,202307181712517,55,,202307181711181,1689725630.066323,1689725571.721404,1689725630.067868,1689725478.1457143,1689725614.044803
,20230718171405220150,69,,202307181712517,55,,202307181711181,1689725661.2421966,1689725571.721404,1689725661.244119,1689725478.1457143,1689725645.22015
,20230718171436393227,69,,202307181712517,55,,202307181711181,1689725692.4155962,1689725571.721404,1689725692.417991,1689725478.1457143,1689725676.3932273
,20230718171507582350,69,,202307181712517,55,,202307181711181,1689725723.6048594,1689725571.721404,1689725723.606443,1689725478.1457143,1689725707.58235
,20230718171538764510,69,,202307181712517,55,,202307181711181,1689725754.7879605,1689725571.721404,1689725754.7894568,1689725478.1457143,1689725738.7645102
,20230718171609956802,69,,202307181712517,55,,202307181711181,1689725785.9785879,1689725571.721404,1689725785.980093,1689725478.1457143,1689725769.9568024
,20230718171641118904,69,,202307181712517,55,,202307181711181,1689725817.1410453,1689725571.721404,1689725817.1425793,1689725478.1457143,1689725801.1189044
,20230718171712310555,69,,202307181712517,55,,202307181711181,1689725848.3326237,1689725571.721404,1689725848.3349488,1689725478.1457143,1689725832.3105555
,20230718171743477971,69,,202307181712517,55,,202307181711181,1689725879.5005546,1689725571.721404,1689725879.502096,1689725478.1457143,1689725863.4779706
,20230718171814706274,69,,202307181712517,56,20230718171819713961,202307181718197,1689725910.7630749,1689725571.721404,1689725899.7139611,1689725899.7484872,1689725894.706274
,20230718171835915377,69,,202307181712517,56,,202307181718197,1689725931.9365647,1689725571.721404,1689725931.93812,1689725899.7484872,1689725915.9153771
,20230718171907106784,70,20230718171908113019,202307181719081,57,20230718171908160175,202307181719081,1689725948.1130185,1689725948.1598752,1689725948.160175,1689725948.194575,1689725947.1067836
,20230718171913314784,70,,202307181719081,57,,202307181719081,1689725969.3398347,1689725948.1598752,1689725969.3413832,1689725948.194575,1689725953.3147836
,20230718171944504390,70,,202307181719081,58,20230718171945507816,202307181719455,1689726000.5599122,1689725948.1598752,1689725985.5078156,1689725985.540909,1689725984.5043905
,20230718172005721447,70,,202307181719081,59,20230718172006724950,202307181720067,1689726021.7791586,1689725948.1598752,1689726006.7249496,1689726006.7580254,1689726005.7214472
,20230718172026929461,70,,202307181719081,60,20230718172027932920,202307181720279,1689726042.9883082,1689725948.1598752,1689726027.9329197,1689726027.9700992,1689726026.9294608
,20230718172048096559,71,20230718172049100101,202307181720491,61,20230718172049147582,202307181720491,1689726049.1001008,1689726049.1472707,1689726049.1475816,1689726049.1857994,1689726048.0965588
,20230718172054293209,72,20230718172055298467,202307181720553,62,20230718172102353237,202307181721023,1689726055.298467,1689726055.345193,1689726062.3532374,1689726062.387895,1689726054.293209
,20230718172107539274,72,,202307181720553,63,20230718172108544791,202307181721085,1689726083.602238,1689726055.345193,1689726068.5447907,1689726068.5833812,1689726067.539274
,20230718172128747808,72,,202307181720553,64,20230718172130752349,202307181721307,1689726104.8049624,1689726055.345193,1689726090.752349,1689726090.7870789,1689726088.747808
,20230718172149943601,73,20230718172159990626,202307181722000,65,20230718172150947035,202307181721509,1689726119.9906259,1689726120.0349247,1689726110.9470348,1689726110.9800737,1689726109.9436011
,20230718172205178866,74,20230718172206182301,202307181722062,65,,202307181721509,1689726126.1823006,1689726126.2284954,1689726141.2481756,1689726110.9800737,1689726125.1788657
,20230718172231386953,75,20230718172232390360,202307181722324,66,20230718172232433840,202307181722324,1689726152.3903604,1689726152.433558,1689726152.4338396,1689726152.4711363,1689726151.3869529
,20230718172237585648,76,20230718172238589092,202307181722386,67,20230718172249644481,202307181722496,1689726158.589092,1689726158.6323013,1689726169.6444812,1689726169.6782823,1689726157.5856476
,20230718172254810257,76,,202307181722386,68,20230718172255813872,202307181722558,1689726190.8666964,1689726158.6323013,1689726175.8138716,1689726175.847716,1689726174.8102572
,20230718172316001628,76,,202307181722386,68,,202307181722558,1689726212.0237727,1689726158.6323013,1689726212.0259283,1689726175.847716,1689726196.0016282
,20230718172347169102,77,20230718172358184174,202307181723582,69,20230718172359228798,202307181723592,1689726238.1841738,1689726238.2280033,1689726239.2287982,1689726239.2628984,1689726227.1691017
,20230718172404389759,78,20230718172405393023,202307181724054,70,20230718172417450784,202307181724174,1689726245.393023,1689726245.4371016,1689726257.4507844,1689726257.48487,1689726244.3897588
,20230718172422632341,78,,202307181724054,71,20230718172428641509,202307181724286,1689726278.6912282,1689726245.4371016,1689726268.641509,1689726268.6777666,1689726262.6323407
,20230718172443833982,78,,202307181724054,71,,202307181724286,1689726299.8560731,1689726245.4371016,1689726299.858873,1689726268.6777666,1689726283.8339815
