trial_numbers,cue_time in s,M5_L_rewards,M5_L_beambreak_time in s,M5_L_reward time in s,M6_R_rewards,M6_R_beambreak_time in s,M6_R_reward time in s,M5_L_beambreak_time,M6_R_beambreak_time,cue_time
,202307141403064,1,202307141403185,202307141403186,1,202307141403134,202307141403135,1689368598.5565321,1689368593.4859698,1689368586.4757786
,202307141403237,2,202307141403368,202307141403368,2,202307141403317,202307141403317,1689368616.8051744,1689368611.7328525,1689368603.721523
,202307141403419,3,202307141403490,202307141403491,3,202307141403459,202307141403460,1689368629.0396814,1689368625.9722571,1689368621.9655614
