trial_numbers,cue_time in s,M5_L_rewards,M5_L_beambreak_time in s,M5_L_reward time in s,M6_R_rewards,M6_R_beambreak_time in s,M6_R_reward time in s,M5_L_beambreak_time,M6_R_beambreak_time,cue_time
,202307141148273,1,202307141148424,202307141148425,1,202307141148303,202307141148304,1689360522.4353914,1689360510.356011,1689360507.3502007
,202307141148476,2,202307141148486,202307141148486,2,202307141148486,202307141148487,1689360528.6061006,1689360528.6704967,1689360527.6027358
,202307141148538,3,202307141148578,202307141148578,2,,202307141148487,1689360537.8269527,1689360549.9083126,1689360533.8199239
,202307141149200,4,202307141149280,202307141149281,3,202307141149220,202307141149220,1689360568.0901234,1689360562.0184731,1689360560.013506
,202307141149332,5,202307141149342,202307141149343,4,202307141149343,202307141149343,1689360574.2665703,1689360574.3323216,1689360573.263182
,202307141149394,6,202307141149505,202307141149505,5,202307141149525,202307141149526,1689360590.5091245,1689360592.5772119,1689360579.4946308
,202307141149577,7,202307141150017,202307141150018,5,,202307141149526,1689360601.7447176,1689360613.827662,1689360597.737866
,202307141150239,8,202307141150320,202307141150320,6,202307141150269,202307141150270,1689360632.0127919,1689360626.9419324,1689360623.9362364
,202307141150371,8,,202307141150320,7,202307141150381,202307141150382,1689360653.259886,1689360638.173716,1689360637.1683345
,202307141150583,9,202307141151013,202307141151014,8,202307141151084,202307141151085,1689360661.3631213,1689360668.4357011,1689360658.3573267
,202307141151136,9,,202307141151014,9,202307141151286,202307141151286,1689360689.6928582,1689360688.6227171,1689360673.6033013
,202307141151347,10,202307141151357,202307141151358,10,202307141151488,202307141151489,1689360695.797994,1689360708.8774073,1689360694.793508
,202307141151540,11,202307141151550,202307141151551,10,,202307141151489,1689360715.0414743,1689360730.1245487,1689360714.0379097
,202307141152202,12,202307141152212,202307141152213,10,,202307141151489,1689360741.241061,1689360756.3246229,1689360740.2376497
,202307141152464,13,202307141152484,202307141152484,11,202307141152515,202307141152515,1689360768.4342752,1689360771.5024989,1689360766.4296067
,202307141152566,14,202307141152576,202307141152577,12,202307141153057,202307141153058,1689360777.665646,1689360785.7391095,1689360776.6621747
,202307141153108,14,,202307141152577,13,202307141153138,202307141153139,1689360806.9738286,1689360793.891336,1689360790.885543
,202307141153321,15,202307141153372,202307141153373,14,202307141153331,202307141153332,1689360817.2265868,1689360813.1580722,1689360812.1545854
,202307141153424,16,202307141153465,202307141153465,15,202307141153444,202307141153445,1689360826.5031416,1689360824.436886,1689360822.4323785
,202307141153516,17,202307141153557,202307141153558,16,202307141153526,202307141153527,1689360835.7508087,1689360832.6827545,1689360831.678773
,202307141154008,18,202307141154018,202307141154019,16,,202307141153527,1689360841.8888288,1689360856.9718566,1689360840.8851752
,202307141154271,19,202307141154292,202307141154292,17,202307141154281,202307141154282,1689360869.207274,1689360868.1406589,1689360867.1368244
,202307141154343,20,202307141154364,202307141154365,18,202307141154353,202307141154354,1689360876.4376528,1689360875.3724017,1689360874.369133
,202307141154416,21,202307141154426,202307141154426,19,202307141154496,202307141154497,1689360882.604101,1689360889.6768186,1689360881.6004875
,202307141154548,21,,202307141154426,20,202307141154578,202307141154578,1689360910.9163187,1689360897.833213,1689360894.8274844
,202307141155160,21,,202307141154426,21,202307141155220,202307141155220,1689360932.1131766,1689360922.0350401,1689360916.026046
,202307141155372,22,202307141155382,202307141155382,22,202307141155463,202307141155463,1689360938.2303827,1689360946.306947,1689360937.2253063
