trial_numbers,cue_time in s,M7_L_rewards,M7_L_beambreak_time in s,M7_L_reward time in s,M8_R_rewards,M8_R_beambreak_time in s,M8_R_reward time in s,M7_L_beambreak_time,M8_R_beambreak_time,cue_time
,202307131130352,13,,202307131128352,8,202307131130502,202307131130503,1689273051.321749,1689273050.2539327,1689273035.2348678
,202307131130564,13,,202307131128352,9,202307131131064,202307131131065,1689273072.5274003,1689273066.45406,1689273056.4408815
,202307131131176,13,,202307131128352,9,,202307131131065,1689273093.6601038,1689273093.6622963,1689273077.6379268
,202307131131488,14,202307131131578,202307131131579,10,202307131131568,202307131131568,1689273117.881242,1689273116.8159325,1689273108.8054368
,202307131132030,14,,202307131131579,10,,202307131131568,1689273139.0636547,1689273139.0655334,1689273123.0386455
,202307131132341,14,,202307131131579,10,,202307131131568,1689273170.21374,1689273170.21692,1689273154.1911619
,202307131133053,15,202307131133163,202307131133164,11,202307131133164,202307131133164,1689273196.3549843,1689273196.4200108,1689273185.3396752
,202307131133215,16,202307131133286,202307131133287,12,202307131133225,202307131133226,1689273208.642519,1689273202.571109,1689273201.5684922
,202307131133338,16,,202307131133287,12,,202307131133226,1689273229.8425708,1689273229.844136,1689273213.8202515
,202307131134050,16,,202307131133287,13,202307131134080,202307131134080,1689273261.0969398,1689273248.0153298,1689273245.0095458
,202307131134262,16,,202307131133287,13,,202307131134080,1689273282.223923,1689273282.2259436,1689273266.201477
,202307131134573,16,,202307131133287,14,202307131135003,202307131135004,1689273313.4618206,1689273300.377416,1689273297.3700597
,202307131135185,16,,202307131133287,15,202307131135235,202307131135236,1689273334.661088,1689273323.5778313,1689273318.5702336
,202307131135397,17,202307131135418,202307131135418,16,202307131135407,202307131135408,1689273341.8305657,1689273340.7651255,1689273339.7617586
,202307131135469,17,,202307131135418,16,,202307131135408,1689273363.0098836,1689273363.0126464,1689273346.9902194
,202307131136181,18,202307131136221,202307131136222,17,202307131136332,202307131136332,1689273382.1448655,1689273393.2219691,1689273378.13834
,202307131136383,19,202307131136393,202307131136394,18,202307131136404,202307131136405,1689273399.3800135,1689273400.4450927,1689273398.3768504
