trial_numbers,cue_time in s,M5_L_rewards,M5_L_beambreak_time in s,M5_L_reward time in s,M6_R_rewards,M6_R_beambreak_time in s,M6_R_reward time in s,M5_L_beambreak_time,M6_R_beambreak_time,cue_time
,202307121512373,1,202307121512434,202307121512435,1,202307121512393,202307121512394,1689199963.438775,1689199959.3698926,1689199957.365407
,202307121513036,2,202307121513316,202307121513317,1,,202307121512394,1689200011.6563556,1689200014.7268293,1689199983.6237798
,202307121514148,2,,202307121513317,2,202307121514238,202307121514239,1689200085.9811378,1689200063.8910475,1689200054.8796437
,202307121515061,3,202307121515101,202307121515102,3,202307121515071,202307121515071,1689200110.1873178,1689200107.1197932,1689200106.1162777
,202307121515303,3,,202307121515102,3,,202307121515071,1689200161.4183536,1689200161.420757,1689200130.3787208
,202307121517015,4,202307121517035,202307121517036,3,,202307121515071,1689200223.5923173,1689200252.691831,1689200221.5877795
,202307121518128,5,202307121518188,202307121518189,4,202307121518189,202307121518189,1689200298.864682,1689200298.9305403,1689200292.8559237
,202307121518391,6,202307121518421,202307121518421,4,,202307121518189,1689200322.1266687,1689200350.2268603,1689200319.1208224
,202307121519503,7,202307121519524,202307121519525,5,202307121519513,202307121519514,1689200392.4416988,1689200391.3761976,1689200390.3727684
,202307121520126,7,,202307121519525,6,202307121520196,202307121520196,1689200443.719855,1689200419.625003,1689200412.6148264
,202307121521038,8,202307121521109,202307121521109,7,202307121521048,202307121521049,1689200470.9206645,1689200464.8485053,1689200463.8447862
,202307121521310,9,202307121521411,202307121521411,7,,202307121521049,1689200501.1063778,1689200522.1971102,1689200491.0928192
,202307121522423,9,,202307121521411,8,202307121522563,202307121522564,1689200593.430418,1689200576.3443577,1689200562.3264909
,202307121523335,10,202307121523345,202307121523346,8,,202307121522564,1689200614.561514,1689200644.659947,1689200613.5580475
,202307121524448,10,,202307121523346,8,,202307121522564,1689200715.8504965,1689200715.8524864,1689200684.8101118
,202307121526160,11,202307121526280,202307121526281,9,202307121526351,202307121526351,1689200788.0438247,1689200795.1162367,1689200776.0286567
,202307121526552,12,202307121526562,202307121526563,10,202307121527023,202307121527024,1689200816.2983983,1689200822.3695686,1689200815.2947445
,202307121527225,12,,202307121526563,11,202307121527355,202307121527356,1689200873.6574237,1689200855.5669982,1689200842.549348
,202307121528137,13,202307121528178,202307121528178,11,,202307121527356,1689200897.80261,1689200924.899089,1689200893.7957065
