trial_numbers,cue_time in s,M1_L_rewards,M1_L_beambreak_time in s,M1_L_reward time in s,M2_R_rewards,M2_R_beambreak_time in s,M2_R_reward time in s,M1_L_beambreak_time,M1_L_reward time,M2_R_beambreak_time,M2_R_reward time,cue_time
,20230718154037222749,1,20230718154039227640,202307181540392,0,,,1689720039.2276404,1689720039.2536817,1689720053.2721238,,1689720037.2227485
,20230718154103392552,1,,202307181540392,0,,,1689720079.4150155,1689720039.2536817,1689720079.4171255,,1689720063.3925524
,20230718154134547046,1,,202307181540392,0,,,1689720110.5693061,1689720039.2536817,1689720110.571521,,1689720094.5470457
,20230718154205698793,1,,202307181540392,0,,,1689720141.7212636,1689720039.2536817,1689720141.723485,,1689720125.698793
,20230718154236859143,1,,202307181540392,0,,,1689720172.8814795,1689720039.2536817,1689720172.8837838,,1689720156.859143
,20230718154308044790,1,,202307181540392,0,,,1689720204.067457,1689720039.2536817,1689720204.0690112,,1689720188.0447896
,20230718154339202959,1,,202307181540392,0,,,1689720235.2242663,1689720039.2536817,1689720235.2276537,,1689720219.202959
,20230718154410390274,1,,202307181540392,0,,,1689720266.416725,1689720039.2536817,1689720266.4205508,,1689720250.3902743
,20230718154441688719,2,20230718154442692126,202307181544427,0,,,1689720282.6921263,1689720282.7162094,1689720297.7354028,,1689720281.6887186
,20230718154507861511,2,,202307181544427,0,,,1689720323.8827705,1689720282.7162094,1689720323.8847628,,1689720307.8615112
,20230718154539043507,2,,202307181544427,0,,,1689720355.0646038,1689720282.7162094,1689720355.0662336,,1689720339.0435073
,20230718154610199597,2,,202307181544427,0,,,1689720386.2211788,1689720282.7162094,1689720386.2227108,,1689720370.1995974
,20230718154641364063,2,,202307181544427,0,,,1689720417.3857658,1689720282.7162094,1689720417.3871663,,1689720401.364063
,20230718154712517925,2,,202307181544427,0,,,1689720448.541118,1689720282.7162094,1689720448.5426865,,1689720432.5179245
,20230718154743677080,2,,202307181544427,1,20230718154748684577,202307181547487,1689720479.7253122,1689720282.7162094,1689720468.6845772,1689720468.710805,1689720463.6770802
,20230718154804846134,2,,202307181544427,1,,202307181547487,1689720500.868549,1689720282.7162094,1689720500.8704512,1689720468.710805,1689720484.8461342
,20230718154836003287,2,,202307181544427,1,,202307181547487,1689720532.029397,1689720282.7162094,1689720532.0332153,1689720468.710805,1689720516.0032866
,20230718154907159333,3,20230718154917172955,202307181549171,1,,202307181547487,1689720557.1729553,1689720557.1969044,1689720563.2059355,1689720468.710805,1689720547.1593325
,20230718154933338427,3,,202307181549171,1,,202307181547487,1689720589.3620558,1689720557.1969044,1689720589.3638482,1689720468.710805,1689720573.3384268
,20230718155004497081,3,,202307181549171,1,,202307181547487,1689720620.519189,1689720557.1969044,1689720620.5207944,1689720468.710805,1689720604.4970806
,20230718155035653610,3,,202307181549171,1,,202307181547487,1689720651.675777,1689720557.1969044,1689720651.6782234,1689720468.710805,1689720635.6536102
,20230718155106815712,3,,202307181549171,1,,202307181547487,1689720682.8378265,1689720557.1969044,1689720682.8394692,1689720468.710805,1689720666.815712
,20230718155137965437,3,,202307181549171,1,,202307181547487,1689720713.986827,1689720557.1969044,1689720713.988606,1689720468.710805,1689720697.9654374
,20230718155209129594,4,20230718155213136535,202307181552131,1,,202307181547487,1689720733.136535,1689720733.1618426,1689720745.1778872,1689720468.710805,1689720729.129594
,20230718155235295539,4,,202307181552131,1,,202307181547487,1689720771.317837,1689720733.1618426,1689720771.3200417,1689720468.710805,1689720755.2955394
,20230718155306447420,4,,202307181552131,1,,202307181547487,1689720802.4715736,1689720733.1618426,1689720802.4729624,1689720468.710805,1689720786.4474196
,20230718155337608501,4,,202307181552131,1,,202307181547487,1689720833.6305408,1689720733.1618426,1689720833.6321738,1689720468.710805,1689720817.6085007
,20230718155408772769,4,,202307181552131,1,,202307181547487,1689720864.794969,1689720733.1618426,1689720864.7966268,1689720468.710805,1689720848.7727692
