trial_numbers,cue_time in s,M1_L_rewards,M1_L_beambreak_time in s,M1_L_reward time in s,M2_R_rewards,M2_R_beambreak_time in s,M2_R_reward time in s,M1_L_beambreak_time,M1_L_reward time,M2_R_beambreak_time,M2_R_reward time,cue_time
,20230719133329375401,1,20230719133330380234,202307191333304,0,,,1689798810.380234,1689798810.4251783,1689798820.4385393,,1689798809.3754008
,20230719133350576220,1,,202307191333304,1,20230719133359588281,202307191333596,1689798841.6278853,1689798810.4251783,1689798839.5882812,1689798839.622903,1689798830.5762198
,20230719133406742454,2,20230719133413752375,202307191334137,1,,202307191333596,1689798853.752375,1689798853.797891,1689798857.8047905,1689798839.622903,1689798846.7424543
,20230719133427923920,3,20230719133428927595,202307191334289,1,,202307191333596,1689798868.927595,1689798868.9718025,1689798878.9829576,1689798839.622903,1689798867.9239202
,20230719133449088782,3,,202307191334289,2,20230719133456098636,202307191334561,1689798900.1413894,1689798868.9718025,1689798896.0986362,1689798896.134668,1689798889.0887823
,20230719133505258282,4,20230719133510265687,202307191335103,2,,202307191334561,1689798910.2656868,1689798910.3127284,1689798916.3207881,1689798896.134668,1689798905.258282
,20230719133526445000,4,,202307191335103,2,,202307191334561,1689798937.4614542,1689798910.3127284,1689798937.4637089,1689798896.134668,1689798926.4450004
,20230719133552588044,4,,202307191335103,2,,202307191334561,1689798963.603111,1689798910.3127284,1689798963.6050642,1689798896.134668,1689798952.5880437
,20230719133618735097,5,20230719133625745002,202307191336257,2,,202307191334561,1689798985.7450023,1689798985.788887,1689798989.7973616,1689798896.134668,1689798978.7350972
,20230719133639930850,6,20230719133642936583,202307191336429,2,,202307191334561,1689799002.9365833,1689799002.980414,1689799010.9912088,1689798896.134668,1689798999.9308503
,20230719133701118596,7,20230719133702122054,202307191337021,3,20230719133702166806,202307191337022,1689799022.1220539,1689799022.166491,1689799022.1668065,1689799022.2026272,1689799021.1185963
,20230719133707304709,8,20230719133708309330,202307191337083,4,20230719133716362882,202307191337163,1689799028.30933,1689799028.354105,1689799036.3628824,1689799036.3978243,1689799027.3047094
,20230719133721515308,9,20230719133726523719,202307191337265,4,,202307191337163,1689799046.5237188,1689799046.572528,1689799052.579573,1689799036.3978243,1689799041.5153084
,20230719133742701118,10,20230719133749744614,202307191337497,5,20230719133743705787,202307191337437,1689799069.7446136,1689799069.7883894,1689799063.7057874,1689799063.739821,1689799062.7011175
,20230719133754887347,11,20230719133755890737,202307191337559,6,20230719133755937284,202307191337559,1689799075.8907366,1689799075.9368918,1689799075.9372835,1689799075.9771018,1689799074.887347
,20230719133801054750,12,20230719133802058369,202307191338021,7,20230719133802103124,202307191338021,1689799082.0583687,1689799082.1028073,1689799082.1031244,1689799082.1391196,1689799081.0547502
,20230719133807217965,13,20230719133810258694,202307191338103,8,20230719133808221764,202307191338082,1689799090.2586944,1689799090.3033912,1689799088.221764,1689799088.2563186,1689799087.217965
