trial_numbers,cue_time in s,M5_L_rewards,M5_L_beambreak_time in s,M5_L_reward time in s,M6_R_rewards,M6_R_beambreak_time in s,M6_R_reward time in s,M5_L_beambreak_time,M5_L_reward time,M6_R_beambreak_time,M6_R_reward time,cue_time
,20230719100754163560,1,20230719100757169753,202307191007572,1,20230719100806224714,202307191008062,1689786477.1697528,1689786477.2145402,1689786486.2247138,1689786486.259792,1689786474.1635602
,20230719100811366245,2,20230719100818376721,202307191008184,2,20230719100819422342,202307191008194,1689786498.3767207,1689786498.4210029,1689786499.4223416,1689786499.45706,1689786491.3662453
,20230719100824560030,3,20230719100826565041,202307191008266,3,20230719100838622304,202307191008386,1689786506.5650413,1689786506.6096087,1689786518.6223044,1689786518.6570675,1689786504.5600305
,20230719100843763934,3,,202307191008266,3,,202307191008386,1689786539.7861214,1689786506.6096087,1689786539.7881954,1689786518.6570675,1689786523.7639337
,20230719100914925364,3,,202307191008266,4,20230719100923937838,202307191009239,1689786570.9837239,1689786506.6096087,1689786563.9378383,1689786563.9724865,1689786554.9253643
,20230719100936085140,3,,202307191008266,5,20230719100938089819,202307191009381,1689786592.1416173,1689786506.6096087,1689786578.0898194,1689786578.124529,1689786576.0851405
,20230719100957218846,4,20230719101011236352,202307191010112,5,,202307191009381,1689786611.2363522,1689786611.2833636,1689786613.2895105,1689786578.124529,1689786597.2188458
,20230719101023402731,5,20230719101024405920,202307191010244,5,,202307191009381,1689786624.4059203,1689786624.448656,1689786639.4670641,1689786578.124529,1689786623.402731
,20230719101049566386,6,20230719101056611954,202307191010566,6,20230719101055575747,202307191010556,1689786656.6119545,1689786656.6592252,1689786655.5757473,1689786655.6105742,1689786649.5663855
,20230719101101759054,7,20230719101102764624,202307191011028,7,20230719101115825855,202307191011158,1689786662.764624,1689786662.81252,1689786675.8258553,1689786675.8615572,1689786661.7590544
,20230719101120969449,8,20230719101123975123,202307191011240,8,20230719101125024768,202307191011250,1689786683.9751234,1689786684.0232873,1689786685.0247684,1689786685.0585756,1689786680.9694488
,20230719101130162754,9,20230719101131165983,202307191011312,9,20230719101131210492,202307191011312,1689786691.165983,1689786691.2099793,1689786691.2104917,1689786691.2510476,1689786690.1627543
,20230719101136351298,10,20230719101137354891,202307191011373,10,20230719101142405083,202307191011424,1689786697.3548913,1689786697.3992336,1689786702.405083,1689786702.439766,1689786696.3512979
,20230719101147527188,11,20230719101148530717,202307191011485,11,20230719101150576983,202307191011506,1689786708.5307167,1689786708.5740867,1689786710.5769832,1689786710.6124299,1689786707.5271878
,20230719101155700809,11,,202307191011485,11,,202307191011506,1689786731.7250206,1689786708.5740867,1689786731.7266374,1689786710.6124299,1689786715.7008085
,20230719101226872091,11,,202307191011485,11,,202307191011506,1689786762.8938015,1689786708.5740867,1689786762.8959897,1689786710.6124299,1689786746.8720906
,20230719101258026993,12,20230719101259030531,202307191012590,12,20230719101310086436,202307191013101,1689786779.030531,1689786779.073983,1689786790.0864363,1689786790.1204488,1689786778.026993
,20230719101315230271,12,,202307191012590,13,20230719101320238457,202307191013202,1689786811.2876153,1689786779.073983,1689786800.2384574,1689786800.273514,1689786795.2302713
,20230719101336384384,12,,202307191012590,14,20230719101337388116,202307191013374,1689786832.4407127,1689786779.073983,1689786817.388116,1689786817.4226708,1689786816.3843844
