,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times,mouse_L_reward_time,mouse_R_reward_time
0,M8M6,,1.000004,False,,0 days 00:00:00.000305,2023-08-14 15:39:47.000305,,0.999995
1,M8M6,1.000004,1.000059,True,5.500000000013827e-05,0 days 00:00:31.000494,2023-08-14 15:40:18.000494,1.000006,1.000106
2,M8M6,,1.000004,False,,0 days 00:01:02.000725,2023-08-14 15:40:49.000725,,0.999975
3,M8M6,,,False,,0 days 00:01:33.000918,2023-08-14 15:41:20.000918,,
4,M8M6,,3.000064,False,,0 days 00:02:35.000875,2023-08-14 15:42:22.000875,,3.000125
5,M8M6,,3.000006,False,,0 days 00:03:06.000275,2023-08-14 15:42:53.000275,,3.000025
6,M8M6,1.000004,,False,,0 days 00:03:37.000463,2023-08-14 15:43:24.000463,1.000037,
7,M8M6,,,False,,0 days 00:04:23.000672,2023-08-14 15:44:10.000672,,
8,M8M6,10.000069,2.000005,True,8.000064,0 days 00:05:24.000818,2023-08-14 15:45:11.000818,10.000082,1.999982
9,M8M6,1.000038,0.999509,True,0.0005290000000000017,0 days 00:05:56.000610,2023-08-14 15:45:43.000610,1.00039,1.00039
10,M8M6,6.000009,9.000068,True,3.0000590000000003,0 days 00:06:27.000301,2023-08-14 15:46:14.000301,5.999999,9.000099
11,M8M6,,1.000004,False,,0 days 00:06:58.000550,2023-08-14 15:46:45.000550,,1.00005
12,M8M6,3.000065,1.000006,True,2.0000590000000003,0 days 00:07:29.000735,2023-08-14 15:47:16.000735,3.000065,0.999965
13,M8M6,14.999559,1.000004,True,13.999554999999999,0 days 00:08:00.000982,2023-08-14 15:47:47.000982,15.000018,1.999018
14,M8M6,1.000004,1.000061,True,5.700000000019578e-05,0 days 00:08:32.000213,2023-08-14 15:48:19.000213,0.999987,1.000087
15,M8M6,,1.000005,False,,0 days 00:09:03.000465,2023-08-14 15:48:50.000465,,1.000035
16,M8M6,,1.000005,False,,0 days 00:09:34.000669,2023-08-14 15:49:21.000669,,1.000031
17,M8M6,5.000066,2.000007,True,3.0000590000000003,0 days 00:10:05.000860,2023-08-14 15:49:52.000860,5.00004,2.00004
18,M8M6,15.000074,1.000004,True,14.00007,0 days 00:10:37.000115,2023-08-14 15:50:24.000115,15.000085,1.000885
19,M8M6,1.000004,1.000058,True,5.3999999999998494e-05,0 days 00:11:08.000362,2023-08-14 15:50:55.000362,1.000038,1.000038
20,M8M6,12.00007,9.000012,True,3.0000579999999992,0 days 00:11:39.000625,2023-08-14 15:51:26.000625,12.000075,8.999975
21,M8M6,,1.000004,False,,0 days 00:12:10.000881,2023-08-14 15:51:57.000881,,1.000019
22,M8M6,,1.000036,False,,0 days 00:12:42.000502,2023-08-14 15:52:29.000502,,1.000498
23,M8M6,,1.000005,False,,0 days 00:13:13.000230,2023-08-14 15:53:00.000230,,0.99997
24,M8M6,,1.000003,False,,0 days 00:13:44.000433,2023-08-14 15:53:31.000433,,0.999967
25,M8M6,,1.000004,False,,0 days 00:14:15.000624,2023-08-14 15:54:02.000624,,0.999976
26,M8M6,,1.000004,False,,0 days 00:14:46.000800,2023-08-14 15:54:33.000800,,1.0
27,M8M6,,0.999207,False,,0 days 00:15:18.000922,2023-08-14 15:55:05.000922,,0.999078
28,M8M6,,1.000004,False,,0 days 00:15:49.000200,2023-08-14 15:55:36.000200,,1.0
29,M8M6,,1.000004,False,,0 days 00:16:20.000390,2023-08-14 15:56:07.000390,,1.00001
30,M8M6,,1.000004,False,,0 days 00:16:51.000591,2023-08-14 15:56:38.000591,,1.000009
31,M8M6,,1.000006,False,,0 days 00:17:22.000785,2023-08-14 15:57:09.000785,,1.000015
32,M8M6,,0.999919,False,,0 days 00:17:54.000487,2023-08-14 15:57:41.000487,,0.999513
33,M8M6,,1.000003,False,,0 days 00:18:25.000183,2023-08-14 15:58:12.000183,,1.000017
34,M8M6,,1.000004,False,,0 days 00:18:56.000389,2023-08-14 15:58:43.000389,,1.000011
35,M8M6,2.000059,1.000003,True,1.0000559999999998,0 days 00:19:27.000590,2023-08-14 15:59:14.000590,2.00011,1.00001
36,M8M6,,1.000004,False,,0 days 00:19:58.000819,2023-08-14 15:59:45.000819,,0.999981
37,M8M6,,1.000356,False,,0 days 00:20:30.000309,2023-08-14 16:00:17.000309,,0.999691
38,M8M6,5.000068,1.000004,True,4.000064,0 days 00:21:01.000192,2023-08-14 16:00:48.000192,5.000108,1.000008
39,M8M6,,1.000004,False,,0 days 00:21:32.000442,2023-08-14 16:01:19.000442,,1.000058
40,M8M6,,1.000006,False,,0 days 00:22:03.000634,2023-08-14 16:01:50.000634,,0.999966
41,M8M6,,1.000004,False,,0 days 00:22:34.000830,2023-08-14 16:02:21.000830,,0.99997
