,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times,mouse_L_reward_time,mouse_R_reward_time
0,M5M6,1.000004,4.000044,True,3.0000400000000003,0 days 00:00:00.000118,2023-07-21 14:51:14.000118,1.000882,4.000882
1,M5M6,,8.000012,False,,0 days 00:00:09.000304,2023-07-21 14:51:23.000304,,7.999996
2,M5M6,,,False,,0 days 00:00:25.000461,2023-07-21 14:51:39.000461,,
3,M5M6,,1.000003,False,,0 days 00:00:51.000600,2023-07-21 14:52:05.000600,,1.0
4,M5M6,,,False,,0 days 00:01:07.000769,2023-07-21 14:52:21.000769,,
5,M5M6,10.000013,,False,,0 days 00:01:33.000907,2023-07-21 14:52:47.000907,9.999993,
6,M5M6,,,False,,0 days 00:01:55.000803,2023-07-21 14:53:09.000803,,
7,M5M6,8.000047,4.000007,True,4.00004,0 days 00:02:21.000233,2023-07-21 14:53:35.000233,8.000067,3.999967
8,M5M6,5.00001,6.000057,True,1.0000470000000004,0 days 00:02:34.000422,2023-07-21 14:53:48.000422,4.999978,6.000078
9,M5M6,4.000043,3.000006,True,1.0000369999999998,0 days 00:02:45.000620,2023-07-21 14:53:59.000620,3.99998,2.99998
10,M5M6,1.000004,2.000039,True,1.0000350000000002,0 days 00:02:54.000807,2023-07-21 14:54:08.000807,0.999993,1.999993
11,M5M6,1.000004,1.999247,True,0.9992430000000001,0 days 00:03:01.000984,2023-07-21 14:54:15.000984,1.999016,1.999016
12,M5M6,1.000004,,False,,0 days 00:03:08.000151,2023-07-21 14:54:22.000151,1.000849,
13,M5M6,10.000047,9.000012,True,1.0000350000000005,0 days 00:03:29.000317,2023-07-21 14:54:43.000317,10.000083,8.999983
14,M5M6,,1.000004,False,,0 days 00:03:44.000504,2023-07-21 14:54:58.000504,,0.999996
15,M5M6,,7.00001,False,,0 days 00:04:00.000664,2023-07-21 14:55:14.000664,,7.000036
16,M5M6,4.000006,6.000043,True,2.000037,0 days 00:04:16.000824,2023-07-21 14:55:30.000824,3.999976,6.000076
17,M5M6,,2.000005,False,,0 days 00:04:28.000305,2023-07-21 14:55:42.000305,,1.999995
