,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times,mouse_L_reward_time,mouse_R_reward_time
0,M5M6,,,False,,0 days 00:00:00.000671,2023-08-15 16:30:10.000671,,
1,M5M6,,,False,,0 days 00:01:16.000979,2023-08-15 16:31:26.000979,,
2,M5M6,,,False,,0 days 00:02:33.000267,2023-08-15 16:32:43.000267,,
3,M5M6,,,False,,0 days 00:03:49.000426,2023-08-15 16:33:59.000426,,
4,M5M6,,,False,,0 days 00:05:05.000618,2023-08-15 16:35:15.000618,,
5,M5M6,,1.000003,False,,0 days 00:06:21.000890,2023-08-15 16:36:31.000890,,1.00001
6,M5M6,,,False,,0 days 00:07:08.000497,2023-08-15 16:37:18.000497,,
7,M5M6,,,False,,0 days 00:08:24.000404,2023-08-15 16:38:34.000404,,
8,M5M6,,,False,,0 days 00:09:40.000549,2023-08-15 16:39:50.000549,,
9,M5M6,,,False,,0 days 00:10:56.000749,2023-08-15 16:41:06.000749,,
10,M5M6,,2.000005,False,,0 days 00:12:12.000989,2023-08-15 16:42:22.000989,,2.999011
11,M5M6,13.000069,1.000002,True,12.000067,0 days 00:12:59.000212,2023-08-15 16:43:09.000212,13.000088,0.999988
12,M5M6,,1.000003,False,,0 days 00:13:45.000458,2023-08-15 16:43:55.000458,,1.000042
13,M5M6,,1.000004,False,,0 days 00:14:31.000729,2023-08-15 16:44:41.000729,,0.999971
14,M5M6,,0.99917,False,,0 days 00:15:18.000964,2023-08-15 16:45:28.000964,,0.999036
15,M5M6,,,False,,0 days 00:16:04.000168,2023-08-15 16:46:14.000168,,
16,M5M6,,,False,,0 days 00:17:20.000298,2023-08-15 16:47:30.000298,,
17,M5M6,,,False,,0 days 00:18:36.000424,2023-08-15 16:48:46.000424,,
18,M5M6,,11.000014,False,,0 days 00:19:52.000742,2023-08-15 16:50:02.000742,,11.000058
19,M5M6,,1.000003,False,,0 days 00:20:38.000916,2023-08-15 16:50:48.000916,,0.999984
20,M5M6,,1.000047,False,,0 days 00:21:25.000798,2023-08-15 16:51:35.000798,,1.000202
21,M5M6,,10.000012,False,,0 days 00:22:11.000306,2023-08-15 16:52:21.000306,,9.999994
22,M5M6,,,False,,0 days 00:22:57.000518,2023-08-15 16:53:07.000518,,
23,M5M6,,1.000002,False,,0 days 00:24:13.000714,2023-08-15 16:54:23.000714,,0.999986
24,M5M6,5.000008,,False,,0 days 00:24:59.000903,2023-08-15 16:55:09.000903,4.999997,
25,M5M6,,2.000005,False,,0 days 00:26:01.000118,2023-08-15 16:56:11.000118,,2.000882
26,M5M6,,1.000003,False,,0 days 00:26:47.000398,2023-08-15 16:56:57.000398,,1.000002
27,M5M6,,1.000034,False,,0 days 00:27:33.000559,2023-08-15 16:57:43.000559,,1.000041
28,M5M6,,1.000002,False,,0 days 00:28:19.000751,2023-08-15 16:58:29.000751,,1.000049
29,M5M6,,12.000016,False,,0 days 00:29:05.000901,2023-08-15 16:59:15.000901,,11.999999
30,M5M6,,1.000036,False,,0 days 00:29:52.000944,2023-08-15 17:00:02.000944,,1.000056
31,M5M6,,1.000004,False,,0 days 00:30:38.000354,2023-08-15 17:00:48.000354,,1.000046
32,M5M6,,1.000003,False,,0 days 00:31:24.000709,2023-08-15 17:01:34.000709,,0.999991
33,M5M6,,1.000003,False,,0 days 00:32:10.000876,2023-08-15 17:02:20.000876,,1.000024
34,M5M6,,1.000002,False,,0 days 00:32:57.000236,2023-08-15 17:03:07.000236,,0.999964
35,M5M6,,1.000002,False,,0 days 00:33:43.000431,2023-08-15 17:03:53.000431,,0.999969
36,M5M6,,1.000002,False,,0 days 00:34:29.000579,2023-08-15 17:04:39.000579,,1.000021
37,M5M6,,2.000004,False,,0 days 00:35:15.000728,2023-08-15 17:05:25.000728,,1.999972
38,M5M6,,1.000002,False,,0 days 00:36:01.000902,2023-08-15 17:06:11.000902,,0.999998
39,M5M6,,0.999111,False,,0 days 00:36:48.000990,2023-08-15 17:06:58.000990,,1.00001
40,M5M6,,,False,,0 days 00:37:34.000268,2023-08-15 17:07:44.000268,,
41,M5M6,,,False,,0 days 00:38:50.000407,2023-08-15 17:09:00.000407,,
42,M5M6,,,False,,0 days 00:40:06.000576,2023-08-15 17:10:16.000576,,
43,M5M6,,1.000002,False,,0 days 00:41:22.000808,2023-08-15 17:11:32.000808,,0.999992
44,M5M6,,,False,,0 days 00:42:09.000143,2023-08-15 17:12:19.000143,,
45,M5M6,,1.000007,False,,0 days 00:43:25.000282,2023-08-15 17:13:35.000282,,1.000018
46,M5M6,,,False,,0 days 00:44:11.000639,2023-08-15 17:14:21.000639,,
47,M5M6,,,False,,0 days 00:45:27.000857,2023-08-15 17:15:37.000857,,
48,M5M6,,,False,,0 days 00:46:44.000106,2023-08-15 17:16:54.000106,,
49,M5M6,,,False,,0 days 00:48:00.000204,2023-08-15 17:18:10.000204,,
50,M5M6,,,False,,0 days 00:49:16.000407,2023-08-15 17:19:26.000407,,
51,M5M6,,,False,,0 days 00:50:32.000612,2023-08-15 17:20:42.000612,,
52,M5M6,,,False,,0 days 00:51:48.000809,2023-08-15 17:21:58.000809,,
53,M5M6,,,False,,0 days 00:53:04.000950,2023-08-15 17:23:14.000950,,
54,M5M6,,,False,,0 days 00:54:21.000267,2023-08-15 17:24:31.000267,,
55,M5M6,,,False,,0 days 00:55:37.000404,2023-08-15 17:25:47.000404,,
56,M5M6,,,False,,0 days 00:56:53.000730,2023-08-15 17:27:03.000730,,
57,M5M6,,,False,,0 days 00:58:09.000862,2023-08-15 17:28:19.000862,,
58,M5M6,,,False,,0 days 00:59:26.000153,2023-08-15 17:29:36.000153,,
59,M5M6,,,False,,0 days 01:00:42.000469,2023-08-15 17:30:52.000469,,
60,M5M6,,,False,,0 days 01:01:58.000728,2023-08-15 17:32:08.000728,,
61,M5M6,,,False,,0 days 01:03:14.000918,2023-08-15 17:33:24.000918,,
