,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times,mouse_L_reward_time,mouse_R_reward_time
0,M5M6,3.000006,12.000061,True,9.000055,0 days 00:00:00.000163,2023-07-19 10:07:54.000163,3.000037,12.000037
1,M5M6,7.00001,8.000056,True,1.000046000000001,0 days 00:00:17.000366,2023-07-19 10:08:11.000366,7.000034,8.000034
2,M5M6,2.000005,14.000062,True,12.000057,0 days 00:00:30.000560,2023-07-19 10:08:24.000560,2.00004,14.00004
3,M5M6,,,False,,0 days 00:00:49.000763,2023-07-19 10:08:43.000763,,
4,M5M6,,9.000012,False,,0 days 00:01:20.000925,2023-07-19 10:09:14.000925,,8.999975
5,M5M6,,2.000047,False,,0 days 00:01:42.000851,2023-07-19 10:09:36.000851,,2.000149
6,M5M6,14.000018,,False,,0 days 00:02:03.000218,2023-07-19 10:09:57.000218,13.999982,
7,M5M6,1.000003,,False,,0 days 00:02:29.000402,2023-07-19 10:10:23.000402,0.999998,
8,M5M6,7.000045,6.000009,True,1.0000359999999997,0 days 00:02:55.000566,2023-07-19 10:10:49.000566,7.000034,6.000034
9,M5M6,1.000005,14.000066,True,13.000061,0 days 00:03:07.000759,2023-07-19 10:11:01.000759,1.000041,14.000041
10,M5M6,3.000006,4.999278,True,1.9992720000000004,0 days 00:03:26.000969,2023-07-19 10:11:20.000969,3.999031,4.999031
11,M5M6,1.000003,1.000048,True,4.500000000007276e-05,0 days 00:03:36.000162,2023-07-19 10:11:30.000162,1.000038,1.000038
12,M5M6,1.000003,6.000054,True,5.000051000000001,0 days 00:03:42.000351,2023-07-19 10:11:36.000351,0.999949,6.000049
13,M5M6,1.000003,3.000049,True,2.000046,0 days 00:03:53.000527,2023-07-19 10:11:47.000527,0.999973,3.000073
14,M5M6,,,False,,0 days 00:04:01.000700,2023-07-19 10:11:55.000700,,
15,M5M6,,,False,,0 days 00:04:32.000872,2023-07-19 10:12:26.000872,,
16,M5M6,1.000036,12.000595,True,11.000559,0 days 00:05:04.000269,2023-07-19 10:12:58.000269,0.999731,12.000731
17,M5M6,,5.000008,False,,0 days 00:05:21.000230,2023-07-19 10:13:15.000230,,4.99997
18,M5M6,,1.000004,False,,0 days 00:05:42.000384,2023-07-19 10:13:36.000384,,1.000016
19,M5M6,,,False,,0 days 00:06:03.000560,2023-07-19 10:13:57.000560,,
20,M5M6,5.000008,5.000056,True,4.7999999999603915e-05,0 days 00:06:34.000707,2023-07-19 10:14:28.000707,4.999993,4.999993
21,M5M6,3.000005,,False,,0 days 00:06:44.000892,2023-07-19 10:14:38.000892,3.000008,
22,M5M6,,,False,,0 days 00:07:11.000795,2023-07-19 10:15:05.000795,,
23,M5M6,6.000009,,False,,0 days 00:07:42.000231,2023-07-19 10:15:36.000231,5.999969,
24,M5M6,1.000004,15.000065,True,14.000060999999999,0 days 00:08:08.000426,2023-07-19 10:16:02.000426,0.999974,15.000074
25,M5M6,,2.000005,False,,0 days 00:08:28.000640,2023-07-19 10:16:22.000640,,1.99996
26,M5M6,,,False,,0 days 00:08:49.000808,2023-07-19 10:16:43.000808,,
27,M5M6,,15.000019,False,,0 days 00:09:20.000949,2023-07-19 10:17:14.000949,,15.999051
28,M5M6,,,False,,0 days 00:09:42.000114,2023-07-19 10:17:36.000114,,
29,M5M6,1.000003,,False,,0 days 00:10:13.000256,2023-07-19 10:18:07.000256,1.000044,
30,M5M6,,,False,,0 days 00:10:39.000435,2023-07-19 10:18:33.000435,,
31,M5M6,12.000016,,False,,0 days 00:11:10.000621,2023-07-19 10:19:04.000621,11.999979,
32,M5M6,1.000004,,False,,0 days 00:11:36.000828,2023-07-19 10:19:30.000828,0.999972,
33,M5M6,,,False,,0 days 00:12:03.000315,2023-07-19 10:19:57.000315,,
34,M5M6,1.000004,,False,,0 days 00:12:34.000187,2023-07-19 10:20:28.000187,1.000013,
35,M5M6,1.000004,,False,,0 days 00:13:00.000377,2023-07-19 10:20:54.000377,1.000023,
36,M5M6,1.000004,2.000051,True,1.0000470000000001,0 days 00:13:26.000558,2023-07-19 10:21:20.000558,1.000042,2.000042
37,M5M6,,2.000005,False,,0 days 00:13:33.000751,2023-07-19 10:21:27.000751,,1.999949
38,M5M6,1.000003,2.000048,True,1.000045,0 days 00:13:54.000888,2023-07-19 10:21:48.000888,1.000012,2.000012
39,M5M6,1.000053,0.999227,True,0.0008260000000001044,0 days 00:14:02.000917,2023-07-19 10:21:56.000917,1.000083,1.000083
40,M5M6,1.000004,6.000056,True,5.000052,0 days 00:14:08.000276,2023-07-19 10:22:02.000276,1.000024,6.000024
