,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times,mouse_L_reward_time,mouse_R_reward_time
0,M5M6,23.9991,14.0,True,9.999099999999999,0 days 00:00:00.000900,2023-07-12 15:32:21.000900,23.9991,14.0
1,M5M6,,,False,,0 days 00:00:34.000100,2023-07-12 15:32:55.000100,,
2,M5M6,,,False,,0 days 00:01:35.000300,2023-07-12 15:33:56.000300,,
3,M5M6,9.0001,5.0,True,4.0001,0 days 00:02:36.000500,2023-07-12 15:34:57.000500,9.0002,5.0001
4,M5M6,,,False,,0 days 00:02:55.000800,2023-07-12 15:35:16.000800,,
5,M5M6,10.0,23.0,True,13.0,0 days 00:03:57,2023-07-12 15:36:18.000000,10.0,23.001
6,M5M6,5.0,10.0001,True,5.0001,0 days 00:04:30.000200,2023-07-12 15:36:51.000200,5.0001,10.0002
7,M5M6,9.0,13.0001,True,4.0001,0 days 00:04:50.000500,2023-07-12 15:37:11.000500,9.0001,13.0001
8,M5M6,18.0001,12.0001,True,6.0,0 days 00:05:13.000700,2023-07-12 15:37:34.000700,18.0002,12.0001
9,M5M6,,1.0,False,,0 days 00:05:42,2023-07-12 15:38:03.000000,,1.001
10,M5M6,20.0001,,False,,0 days 00:06:23.000200,2023-07-12 15:38:44.000200,20.0001,
11,M5M6,23.0001,4.0,True,19.0001,0 days 00:07:14.000500,2023-07-12 15:39:35.000500,23.0001,4.0
12,M5M6,13.0001,,False,,0 days 00:07:47.000700,2023-07-12 15:40:08.000700,13.0001,
13,M5M6,29.001,5.0,True,24.001,0 days 00:08:39,2023-07-12 15:41:00.000000,29.0002,5.001
14,M5M6,,25.0,False,,0 days 00:09:18.000300,2023-07-12 15:41:39.000300,,25.0001
15,M5M6,,14.0,False,,0 days 00:09:59.000500,2023-07-12 15:42:20.000500,,14.0001
16,M5M6,13.0,,False,,0 days 00:10:40.000700,2023-07-12 15:43:01.000700,13.0001,
17,M5M6,,,False,,0 days 00:11:32,2023-07-12 15:43:53.000000,,
18,M5M6,,,False,,0 days 00:12:33.000100,2023-07-12 15:44:54.000100,,
19,M5M6,,,False,,0 days 00:13:34.000300,2023-07-12 15:45:55.000300,,
20,M5M6,22.0,,False,,0 days 00:14:35.000500,2023-07-12 15:46:56.000500,22.0001,
21,M5M6,26.0001,,False,,0 days 00:15:26.000700,2023-07-12 15:47:47.000700,26.0001,
22,M5M6,22.0,29.001,True,7.001000000000001,0 days 00:16:18,2023-07-12 15:48:39.000000,22.001,29.001
23,M5M6,,,False,,0 days 00:16:57.000300,2023-07-12 15:49:18.000300,,
24,M5M6,14.0001,,False,,0 days 00:17:58.000400,2023-07-12 15:50:19.000400,14.0001,
25,M5M6,,,False,,0 days 00:18:49.000700,2023-07-12 15:51:10.000700,,
26,M5M6,,,False,,0 days 00:19:50.000900,2023-07-12 15:52:11.000900,,
27,M5M6,,,False,,0 days 00:20:52,2023-07-12 15:53:13.000000,,
28,M5M6,22.0001,16.0001,True,6.0,0 days 00:21:53.000200,2023-07-12 15:54:14.000200,22.0002,16.0001
29,M5M6,27.0001,7.0,True,20.0001,0 days 00:22:25.000500,2023-07-12 15:54:46.000500,27.0002,7.0001
30,M5M6,,,False,,0 days 00:23:02.000800,2023-07-12 15:55:23.000800,,
31,M5M6,,,False,,0 days 00:24:04,2023-07-12 15:56:25.000000,,
32,M5M6,26.0,,False,,0 days 00:25:05.000200,2023-07-12 15:57:26.000200,26.0001,
33,M5M6,,5.0,False,,0 days 00:25:56.000400,2023-07-12 15:58:17.000400,,5.0001
34,M5M6,6.0,,False,,0 days 00:26:37.000600,2023-07-12 15:58:58.000600,6.0001,
35,M5M6,,1.0,False,,0 days 00:27:28.000900,2023-07-12 15:59:49.000900,,1.9991
36,M5M6,,,False,,0 days 00:28:10.000100,2023-07-12 16:00:31.000100,,
37,M5M6,,4.0,False,,0 days 00:29:11.000300,2023-07-12 16:01:32.000300,,4.0001
38,M5M6,,10.0,False,,0 days 00:29:52.000500,2023-07-12 16:02:13.000500,,10.0001
39,M5M6,,10.0,False,,0 days 00:30:33.000700,2023-07-12 16:02:54.000700,,10.0001
40,M5M6,,16.9991,False,,0 days 00:31:14.000900,2023-07-12 16:03:35.000900,,16.9991
41,M5M6,,1.0,False,,0 days 00:31:56.000200,2023-07-12 16:04:17.000200,,1.0001
42,M5M6,,6.0,False,,0 days 00:32:37.000400,2023-07-12 16:04:58.000400,,6.0001
43,M5M6,,14.0001,False,,0 days 00:33:18.000600,2023-07-12 16:05:39.000600,,14.0001
