,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times,mouse_L_reward_time,mouse_R_reward_time
0,M7M8,1.000036,,False,,0 days 00:00:00.000421,2023-07-19 16:18:41.000421,0.999579,
1,M7M8,1.000004,1.000049,True,4.500000000007276e-05,0 days 00:00:21.000225,2023-07-19 16:19:02.000225,0.999975,1.000075
2,M7M8,1.000004,8.000058,True,7.0000539999999996,0 days 00:00:27.000405,2023-07-19 16:19:08.000405,0.999995,7.999995
3,M7M8,,,False,,0 days 00:00:40.000598,2023-07-19 16:19:21.000598,,
4,M7M8,,,False,,0 days 00:01:06.000736,2023-07-19 16:19:47.000736,,
5,M7M8,,,False,,0 days 00:01:32.000891,2023-07-19 16:20:13.000891,,
6,M7M8,,,False,,0 days 00:01:59.000452,2023-07-19 16:20:40.000452,,
7,M7M8,,,False,,0 days 00:02:25.000192,2023-07-19 16:21:06.000192,,
8,M7M8,,1.000004,False,,0 days 00:02:51.000339,2023-07-19 16:21:32.000339,,0.999961
9,M7M8,,,False,,0 days 00:03:07.000503,2023-07-19 16:21:48.000503,,
10,M7M8,1.000005,,False,,0 days 00:03:33.000654,2023-07-19 16:22:14.000654,1.000046,
11,M7M8,,1.000003,False,,0 days 00:03:54.000857,2023-07-19 16:22:35.000857,,0.999943
12,M7M8,,,False,,0 days 00:04:11.000293,2023-07-19 16:22:52.000293,,
13,M7M8,2.000004,,False,,0 days 00:04:37.000182,2023-07-19 16:23:18.000182,2.000018,
14,M7M8,2.000004,,False,,0 days 00:04:58.000378,2023-07-19 16:23:39.000378,2.000022,
15,M7M8,1.000004,,False,,0 days 00:05:19.000569,2023-07-19 16:24:00.000569,1.000031,
16,M7M8,,,False,,0 days 00:05:40.000772,2023-07-19 16:24:21.000772,,
17,M7M8,,8.00001,False,,0 days 00:06:06.000925,2023-07-19 16:24:47.000925,,7.999975
18,M7M8,,,False,,0 days 00:06:23.000956,2023-07-19 16:25:04.000956,,
19,M7M8,1.000003,3.000049,True,2.000046,0 days 00:06:49.000254,2023-07-19 16:25:30.000254,1.000046,3.000046
20,M7M8,1.000004,1.000048,True,4.4000000000155026e-05,0 days 00:06:57.000456,2023-07-19 16:25:38.000456,1.000044,1.000044
21,M7M8,2.000005,3.000051,True,1.0000460000000002,0 days 00:07:03.000649,2023-07-19 16:25:44.000649,1.999951,3.000051
22,M7M8,1.000004,,False,,0 days 00:07:11.000834,2023-07-19 16:25:52.000834,0.999966,
23,M7M8,,,False,,0 days 00:07:33.000398,2023-07-19 16:26:14.000398,,
24,M7M8,,,False,,0 days 00:07:59.000190,2023-07-19 16:26:40.000190,,
25,M7M8,1.000004,,False,,0 days 00:08:25.000345,2023-07-19 16:27:06.000345,0.999955,
26,M7M8,10.000013,,False,,0 days 00:08:46.000544,2023-07-19 16:27:27.000544,10.000056,
27,M7M8,1.000005,,False,,0 days 00:09:07.000752,2023-07-19 16:27:48.000752,1.000048,
28,M7M8,6.000011,,False,,0 days 00:09:28.000950,2023-07-19 16:28:09.000950,6.99905,
29,M7M8,,,False,,0 days 00:09:50.000151,2023-07-19 16:28:31.000151,,
30,M7M8,,,False,,0 days 00:10:16.000323,2023-07-19 16:28:57.000323,,
