,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times,mouse_L_reward_time,mouse_R_reward_time
0,M5M6,,,False,,0 days 00:00:00.000613,2023-08-29 11:33:52.000613,,
1,M5M6,,,False,,0 days 00:00:46.000785,2023-08-29 11:34:38.000785,,
2,M5M6,1.000003,1.000058,True,5.499999999991623e-05,0 days 00:01:32.000936,2023-08-29 11:35:24.000936,0.999964,1.999064
3,M5M6,5.000008,6.000108,True,1.0000999999999998,0 days 00:02:19.000206,2023-08-29 11:36:11.000206,5.000094,6.000094
4,M5M6,,1.000004,False,,0 days 00:03:05.000521,2023-08-29 11:36:57.000521,,0.999979
5,M5M6,,5.000007,False,,0 days 00:03:51.000728,2023-08-29 11:37:43.000728,,4.999972
6,M5M6,,9.000013,False,,0 days 00:04:37.000932,2023-08-29 11:38:29.000932,,8.999968
7,M5M6,1.000003,4.000062,True,3.000059,0 days 00:05:24.000131,2023-08-29 11:39:16.000131,1.000869,4.000069
8,M5M6,1.000004,,False,,0 days 00:06:10.000398,2023-08-29 11:40:02.000398,1.000002,
9,M5M6,14.000019,,False,,0 days 00:06:56.000592,2023-08-29 11:40:48.000592,14.000008,
10,M5M6,,,False,,0 days 00:07:42.000806,2023-08-29 11:41:34.000806,,
11,M5M6,,,False,,0 days 00:08:28.000960,2023-08-29 11:42:20.000960,,
12,M5M6,1.000005,,False,,0 days 00:09:15.000112,2023-08-29 11:43:07.000112,1.000888,
13,M5M6,6.000009,,False,,0 days 00:10:01.000333,2023-08-29 11:43:53.000333,6.000067,
14,M5M6,,,False,,0 days 00:10:47.000554,2023-08-29 11:44:39.000554,,
15,M5M6,13.000017,,False,,0 days 00:11:33.000708,2023-08-29 11:45:25.000708,12.999992,
16,M5M6,,,False,,0 days 00:12:19.000919,2023-08-29 11:46:11.000919,,
17,M5M6,,1.000036,False,,0 days 00:13:06.000781,2023-08-29 11:46:58.000781,,1.000219
18,M5M6,,1.000004,False,,0 days 00:13:52.000286,2023-08-29 11:47:44.000286,,1.000014
19,M5M6,12.000016,,False,,0 days 00:14:38.000494,2023-08-29 11:48:30.000494,12.000006,
20,M5M6,,,False,,0 days 00:15:24.000685,2023-08-29 11:49:16.000685,,
21,M5M6,,1.000004,False,,0 days 00:16:10.000840,2023-08-29 11:50:02.000840,,0.99996
22,M5M6,,,False,,0 days 00:16:57.000531,2023-08-29 11:50:49.000531,,
23,M5M6,15.000019,,False,,0 days 00:17:43.000166,2023-08-29 11:51:35.000166,15.000034,
24,M5M6,,,False,,0 days 00:18:29.000368,2023-08-29 11:52:21.000368,,
25,M5M6,,,False,,0 days 00:19:15.000531,2023-08-29 11:53:07.000531,,
26,M5M6,,,False,,0 days 00:20:01.000664,2023-08-29 11:53:53.000664,,
27,M5M6,,7.00001,False,,0 days 00:20:47.000825,2023-08-29 11:54:39.000825,,6.999975
28,M5M6,,2.000049,False,,0 days 00:21:34.000448,2023-08-29 11:55:26.000448,,2.000552
29,M5M6,5.000007,,False,,0 days 00:22:20.000249,2023-08-29 11:56:12.000249,5.000051,
30,M5M6,4.000067,1.000006,True,3.0000609999999996,0 days 00:23:06.000467,2023-08-29 11:56:58.000467,4.000033,1.000033
31,M5M6,,1.000004,False,,0 days 00:23:52.000724,2023-08-29 11:57:44.000724,,0.999976
32,M5M6,5.000008,,False,,0 days 00:24:38.000927,2023-08-29 11:58:30.000927,4.999973,
33,M5M6,,,False,,0 days 00:25:25.000154,2023-08-29 11:59:17.000154,,
34,M5M6,,,False,,0 days 00:26:11.000311,2023-08-29 12:00:03.000311,,
35,M5M6,10.000069,6.00001,True,4.000059,0 days 00:26:57.000458,2023-08-29 12:00:49.000458,10.000042,6.000042
36,M5M6,,,False,,0 days 00:27:43.000734,2023-08-29 12:01:35.000734,,
37,M5M6,,,False,,0 days 00:28:29.000873,2023-08-29 12:02:21.000873,,
38,M5M6,,4.000071,False,,0 days 00:29:16.000293,2023-08-29 12:03:08.000293,,3.999707
39,M5M6,,,False,,0 days 00:30:02.000242,2023-08-29 12:03:54.000242,,
40,M5M6,,7.00001,False,,0 days 00:30:48.000407,2023-08-29 12:04:40.000407,,6.999993
41,M5M6,5.000009,,False,,0 days 00:31:34.000622,2023-08-29 12:05:26.000622,4.999978,
42,M5M6,1.000004,,False,,0 days 00:32:20.000823,2023-08-29 12:06:12.000823,0.999977,
43,M5M6,,,False,,0 days 00:33:07.000332,2023-08-29 12:06:59.000332,,
44,M5M6,,,False,,0 days 00:33:53.000194,2023-08-29 12:07:45.000194,,
45,M5M6,,,False,,0 days 00:34:39.000344,2023-08-29 12:08:31.000344,,
46,M5M6,,13.000018,False,,0 days 00:35:25.000480,2023-08-29 12:09:17.000480,,13.00002
47,M5M6,8.000011,,False,,0 days 00:36:11.000694,2023-08-29 12:10:03.000694,8.000006,
48,M5M6,,,False,,0 days 00:36:57.000910,2023-08-29 12:10:49.000910,,
49,M5M6,,,False,,0 days 00:37:44.000596,2023-08-29 12:11:36.000596,,
50,M5M6,,,False,,0 days 00:38:30.000224,2023-08-29 12:12:22.000224,,
51,M5M6,13.000015,,False,,0 days 00:39:16.000394,2023-08-29 12:13:08.000394,13.000006,
52,M5M6,15.000019,,False,,0 days 00:40:02.000596,2023-08-29 12:13:54.000596,15.000004,
53,M5M6,,15.00002,False,,0 days 00:40:48.000812,2023-08-29 12:14:40.000812,,14.999988
54,M5M6,,,False,,0 days 00:41:35.000357,2023-08-29 12:15:27.000357,,
55,M5M6,,2.000007,False,,0 days 00:42:21.000184,2023-08-29 12:16:13.000184,,2.000016
56,M5M6,1.000003,1.000058,True,5.499999999991623e-05,0 days 00:43:07.000384,2023-08-29 12:16:59.000384,1.000016,1.000016
57,M5M6,,10.000012,False,,0 days 00:43:53.000627,2023-08-29 12:17:45.000627,,9.999973
58,M5M6,,,False,,0 days 00:44:39.000838,2023-08-29 12:18:31.000838,,
59,M5M6,13.000018,,False,,0 days 00:45:25.000971,2023-08-29 12:19:17.000971,13.999029,
60,M5M6,,,False,,0 days 00:46:12.000176,2023-08-29 12:20:04.000176,,
61,M5M6,,,False,,0 days 00:46:58.000335,2023-08-29 12:20:50.000335,,
62,M5M6,15.00008,5.000008,True,10.000072,0 days 00:47:44.000485,2023-08-29 12:21:36.000485,15.000115,5.000015
63,M5M6,,,False,,0 days 00:48:30.000768,2023-08-29 12:22:22.000768,,
64,M5M6,4.000007,,False,,0 days 00:49:16.000915,2023-08-29 12:23:08.000915,3.999985,
65,M5M6,,,False,,0 days 00:50:03.000144,2023-08-29 12:23:55.000144,,
66,M5M6,,,False,,0 days 00:50:49.000305,2023-08-29 12:24:41.000305,,
67,M5M6,,,False,,0 days 00:51:35.000464,2023-08-29 12:25:27.000464,,
68,M5M6,,1.000004,False,,0 days 00:52:21.000607,2023-08-29 12:26:13.000607,,0.999993
69,M5M6,1.000003,,False,,0 days 00:53:07.000813,2023-08-29 12:26:59.000813,0.999987,
70,M5M6,,10.000139,False,,0 days 00:53:54.000161,2023-08-29 12:27:46.000161,,9.999839
71,M5M6,,,False,,0 days 00:54:40.000226,2023-08-29 12:28:32.000226,,
72,M5M6,,1.000004,False,,0 days 00:55:26.000376,2023-08-29 12:29:18.000376,,1.000024
73,M5M6,,,False,,0 days 00:56:12.000602,2023-08-29 12:30:04.000602,,
74,M5M6,,1.000004,False,,0 days 00:56:58.000765,2023-08-29 12:30:50.000765,,1.000035
75,M5M6,,,False,,0 days 00:57:44.000981,2023-08-29 12:31:36.000981,,
76,M5M6,,,False,,0 days 00:58:31.000136,2023-08-29 12:32:23.000136,,
77,M5M6,,,False,,0 days 00:59:17.000296,2023-08-29 12:33:09.000296,,
78,M5M6,,,False,,0 days 01:00:03.000455,2023-08-29 12:33:55.000455,,
79,M5M6,,,False,,0 days 01:00:49.000613,2023-08-29 12:34:41.000613,,
80,M5M6,,,False,,0 days 01:01:35.000738,2023-08-29 12:35:27.000738,,
81,M5M6,,,False,,0 days 01:02:21.000876,2023-08-29 12:36:13.000876,,
82,M5M6,,,False,,0 days 01:03:08.000156,2023-08-29 12:37:00.000156,,
83,M5M6,,3.000006,False,,0 days 01:03:54.000183,2023-08-29 12:37:46.000183,,3.000017
84,M5M6,,,False,,0 days 01:04:40.000391,2023-08-29 12:38:32.000391,,
85,M5M6,11.000016,,False,,0 days 01:05:26.000561,2023-08-29 12:39:18.000561,11.000039,
86,M5M6,,1.000004,False,,0 days 01:06:12.000780,2023-08-29 12:40:04.000780,,1.00002
87,M5M6,,1.000004,False,,0 days 01:06:58.000995,2023-08-29 12:40:50.000995,,1.999005
88,M5M6,,,False,,0 days 01:07:45.000200,2023-08-29 12:41:37.000200,,
89,M5M6,,,False,,0 days 01:08:31.000348,2023-08-29 12:42:23.000348,,
90,M5M6,,,False,,0 days 01:09:17.000488,2023-08-29 12:43:09.000488,,
91,M5M6,,,False,,0 days 01:10:03.000636,2023-08-29 12:43:55.000636,,
92,M5M6,,,False,,0 days 01:10:49.000789,2023-08-29 12:44:41.000789,,
93,M5M6,,,False,,0 days 01:11:35.000954,2023-08-29 12:45:27.000954,,
94,M5M6,,,False,,0 days 01:12:22.000125,2023-08-29 12:46:14.000125,,
95,M5M6,,,False,,0 days 01:13:08.000302,2023-08-29 12:47:00.000302,,
96,M5M6,,,False,,0 days 01:13:54.000456,2023-08-29 12:47:46.000456,,
97,M5M6,,1.000004,False,,0 days 01:14:40.000616,2023-08-29 12:48:32.000616,,0.999984
98,M5M6,,,False,,0 days 01:15:26.000842,2023-08-29 12:49:18.000842,,
99,M5M6,,,False,,0 days 01:16:13.000129,2023-08-29 12:50:05.000129,,
