,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times
0,M1M2,13.020018999999998,3.005504000000002,True,10.014514999999996,0 days 00:00:00.000536,2023-07-18 15:08:32.000536
1,M1M2,,4.007102999999994,False,,0 days 00:00:23.000674,2023-07-18 15:08:55.000674
2,M1M2,9.017374999999998,2.0047029999999992,True,7.0126719999999985,0 days 00:00:44.000807,2023-07-18 15:09:16.000807
3,M1M2,11.018781000000004,2.0046960000000027,True,9.014085000000001,0 days 00:01:03.000937,2023-07-18 15:09:35.000937
4,M1M2,10.217389999999995,3.0597299999999947,True,7.15766,0 days 00:01:25.000721,2023-07-18 15:09:57.000721
5,M1M2,13.021760999999998,4.007168,True,9.014592999999998,0 days 00:01:45.000211,2023-07-18 15:10:17.000211
