,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times
0,M1M2,7.0,1.0,True,6.0,0 days 00:00:00.000900,2023-07-12 10:45:41.000900
1,M1M2,7.199999999999999,32.9,True,25.7,0 days 00:00:28.001000,2023-07-12 10:46:09.001000
2,M1M2,1.0,1.0,True,0.0,0 days 00:00:59.000400,2023-07-12 10:46:40.000400
3,M1M2,3.9999999999999996,6.1,True,2.1,0 days 00:01:20.000600,2023-07-12 10:47:01.000600
4,M1M2,3.0,7.100000000000001,True,4.100000000000001,0 days 00:01:46.000900,2023-07-12 10:47:27.000900
5,M1M2,-24.6,-20.5,True,4.100000000000001,0 days 00:02:14.000500,2023-07-12 10:47:55.000500
6,M1M2,2.0,5.100000000000001,True,3.1000000000000014,0 days 00:03:05.000600,2023-07-12 10:48:46.000600
7,M1M2,5.999999999999998,4.0,True,1.9999999999999982,0 days 00:03:30.000900,2023-07-12 10:49:11.000900
8,M1M2,1.0,0.20000000000000284,True,0.7999999999999972,0 days 00:03:57.001000,2023-07-12 10:49:38.001000
9,M1M2,8.100000000000001,1.0,True,7.100000000000001,0 days 00:04:18.000400,2023-07-12 10:49:59.000400
10,M1M2,2.0,-27.200000000000003,True,29.200000000000003,0 days 00:04:46.000600,2023-07-12 10:50:27.000600
11,M1M2,1.0,1.1000000000000014,True,0.10000000000000142,0 days 00:05:17.000800,2023-07-12 10:50:58.000800
12,M1M2,1.0,6.199999999999999,True,5.199999999999999,0 days 00:05:39.001000,2023-07-12 10:51:20.001000
13,M1M2,1.1000000000000014,1.1000000000000014,True,0.0,0 days 00:06:06.000300,2023-07-12 10:51:47.000300
14,M1M2,3.0,7.1,True,4.1,0 days 00:06:27.000600,2023-07-12 10:52:08.000600
15,M1M2,5.0,1.0,True,4.0,0 days 00:06:54.000900,2023-07-12 10:52:35.000900
16,M1M2,1.2000000000000002,1.0,True,0.20000000000000018,0 days 00:07:20.001000,2023-07-12 10:53:01.001000
17,M1M2,-20.2,2.0,True,22.2,0 days 00:07:42.000400,2023-07-12 10:53:23.000400
18,M1M2,5.100000000000001,1.0,True,4.100000000000001,0 days 00:08:13.000600,2023-07-12 10:53:54.000600
19,M1M2,1.0,5.100000000000001,True,4.100000000000001,0 days 00:08:38.000900,2023-07-12 10:54:19.000900
20,M1M2,6.0,1.0,True,5.0,0 days 00:09:04.000200,2023-07-12 10:54:45.000200
21,M1M2,1.0,5.1,True,4.1,0 days 00:09:30.000400,2023-07-12 10:55:11.000400
22,M1M2,1.0,2.0999999999999943,True,1.0999999999999943,0 days 00:09:55.000700,2023-07-12 10:55:36.000700
23,M1M2,5.0,1.0,True,4.0,0 days 00:10:18,2023-07-12 10:55:59.000000
24,M1M2,6.0,3.0,True,3.0,0 days 00:10:42.000300,2023-07-12 10:56:23.000300
25,M1M2,1.0,7.100000000000001,True,6.100000000000001,0 days 00:11:08.000500,2023-07-12 10:56:49.000500
26,M1M2,3.1000000000000014,1.0,True,2.1000000000000014,0 days 00:11:35.000700,2023-07-12 10:57:16.000700
27,M1M2,4.0,9.0,True,5.0,0 days 00:11:59,2023-07-12 10:57:40.000000
28,M1M2,35.7,3.0,True,32.7,0 days 00:12:27.000300,2023-07-12 10:58:08.000300
29,M1M2,3.0,-28.2,True,31.2,0 days 00:12:58.000500,2023-07-12 10:58:39.000500
30,M1M2,9.0,0.6000000000000014,True,8.399999999999999,0 days 00:13:29.000700,2023-07-12 10:59:10.000700
31,M1M2,9.100000000000001,3.0,True,6.100000000000001,0 days 00:14:00.000900,2023-07-12 10:59:41.000900
32,M1M2,3.1000000000000014,1.0,True,2.1000000000000014,0 days 00:14:30.000200,2023-07-12 11:00:11.000200
33,M1M2,4.0,7.100000000000001,True,3.1000000000000014,0 days 00:14:53.000400,2023-07-12 11:00:34.000400
34,M1M2,1.0000000000000002,4.1,True,3.0999999999999996,0 days 00:15:20.000700,2023-07-12 11:01:01.000700
35,M1M2,4.100000000000001,1.0,True,3.1000000000000014,0 days 00:15:44.000900,2023-07-12 11:01:25.000900
36,M1M2,5.0,-23.300000000000004,True,28.300000000000004,0 days 00:16:09.000200,2023-07-12 11:01:50.000200
37,M1M2,6.0,5.5,True,0.5,0 days 00:16:40.000400,2023-07-12 11:02:21.000400
38,M1M2,1.0,34.3,True,33.3,0 days 00:17:11.000600,2023-07-12 11:02:52.000600
39,M1M2,3.0,5.099999999999998,True,2.099999999999998,0 days 00:17:42.000800,2023-07-12 11:03:23.000800
40,M1M2,1.0,6.0,True,5.0,0 days 00:18:08.001000,2023-07-12 11:03:49.001000
