,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times,mouse_L_reward_time,mouse_R_reward_time
0,M5M6,,10.000014,False,,0 days 00:00:00.000959,2023-08-23 10:23:33.000959,,10.999041
1,M5M6,2.00006,1.000004,True,1.000056,0 days 00:00:47.000183,2023-08-23 10:24:20.000183,2.000017,1.000017
2,M5M6,13.000073,8.000012,True,5.0000610000000005,0 days 00:01:33.000436,2023-08-23 10:25:06.000436,13.000064,8.000064
3,M5M6,1.000004,3.000061,True,2.000057,0 days 00:02:19.000680,2023-08-23 10:25:52.000680,1.00002,3.00002
