,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times,mouse_L_reward_time,mouse_R_reward_time
0,M7M8,10.0001,5.0,True,5.0001,0 days 00:00:00.000700,2023-07-12 16:16:38.000700,10.0002,5.0001
1,M7M8,20.0,,False,,0 days 00:00:21,2023-07-12 16:16:59.000000,20.001,
2,M7M8,,13.0,False,,0 days 00:01:12.000200,2023-07-12 16:17:50.000200,,13.0001
3,M7M8,,,False,,0 days 00:01:53.000400,2023-07-12 16:18:31.000400,,
4,M7M8,11.0001,3.0,True,8.0001,0 days 00:02:54.000600,2023-07-12 16:19:32.000600,11.0002,3.0001
5,M7M8,,,False,,0 days 00:03:15.000900,2023-07-12 16:19:53.000900,,
6,M7M8,1.001,12.001,True,11.0,0 days 00:04:17,2023-07-12 16:20:55.000000,1.001,12.0002
7,M7M8,,26.0,False,,0 days 00:04:39.000300,2023-07-12 16:21:17.000300,,26.0001
8,M7M8,,1.0001,False,,0 days 00:05:20.000500,2023-07-12 16:21:58.000500,,1.0001
9,M7M8,,,False,,0 days 00:06:01.000800,2023-07-12 16:22:39.000800,,
10,M7M8,,30.0,False,,0 days 00:07:03,2023-07-12 16:23:41.000000,,30.001
11,M7M8,,3.0,False,,0 days 00:07:44.000200,2023-07-12 16:24:22.000200,,3.0001
12,M7M8,,,False,,0 days 00:08:25.000400,2023-07-12 16:25:03.000400,,
13,M7M8,1.0,5.0001,True,4.0001,0 days 00:09:26.000600,2023-07-12 16:26:04.000600,1.0001,5.0002
14,M7M8,,8.0,False,,0 days 00:09:41.000900,2023-07-12 16:26:19.000900,,8.9991
15,M7M8,5.0,,False,,0 days 00:10:23.000100,2023-07-12 16:27:01.000100,4.9992,
16,M7M8,,17.0,False,,0 days 00:11:14.000400,2023-07-12 16:27:52.000400,,17.0
17,M7M8,,2.0,False,,0 days 00:11:55.000600,2023-07-12 16:28:33.000600,,2.0
18,M7M8,,,False,,0 days 00:12:36.000800,2023-07-12 16:29:14.000800,,
19,M7M8,,,False,,0 days 00:13:38,2023-07-12 16:30:16.000000,,
20,M7M8,,11.0,False,,0 days 00:14:39.000200,2023-07-12 16:31:17.000200,,11.0001
21,M7M8,,28.0,False,,0 days 00:15:20.000400,2023-07-12 16:31:58.000400,,28.0001
22,M7M8,,27.0,False,,0 days 00:16:01.000600,2023-07-12 16:32:39.000600,,27.0001
23,M7M8,,,False,,0 days 00:16:42.000800,2023-07-12 16:33:20.000800,,
24,M7M8,,,False,,0 days 00:17:44,2023-07-12 16:34:22.000000,,
25,M7M8,,13.0,False,,0 days 00:18:45.000200,2023-07-12 16:35:23.000200,,13.0001
26,M7M8,,,False,,0 days 00:19:26.000400,2023-07-12 16:36:04.000400,,
27,M7M8,,,False,,0 days 00:20:27.000600,2023-07-12 16:37:05.000600,,
28,M7M8,,,False,,0 days 00:21:28.000700,2023-07-12 16:38:06.000700,,
29,M7M8,,,False,,0 days 00:22:29.000900,2023-07-12 16:39:07.000900,,
30,M7M8,,,False,,0 days 00:23:31.000100,2023-07-12 16:40:09.000100,,
