,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times,mouse_L_reward_time,mouse_R_reward_time
0,M7M8,3.000007,,False,,0 days 00:00:00.000115,2023-07-21 16:18:26.000115,3.000885,
1,M7M8,7.00001,,False,,0 days 00:00:21.000292,2023-07-21 16:18:47.000292,7.000008,
2,M7M8,,6.00001,False,,0 days 00:00:42.000461,2023-07-21 16:19:08.000461,,6.000039
3,M7M8,,8.000012,False,,0 days 00:00:58.000615,2023-07-21 16:19:24.000615,,7.999985
4,M7M8,,,False,,0 days 00:01:14.000790,2023-07-21 16:19:40.000790,,
5,M7M8,,,False,,0 days 00:01:40.000953,2023-07-21 16:20:06.000953,,
6,M7M8,,1.000003,False,,0 days 00:02:07.000160,2023-07-21 16:20:33.000160,,1.00084
7,M7M8,7.000013,,False,,0 days 00:02:23.000335,2023-07-21 16:20:49.000335,6.999965,
8,M7M8,,,False,,0 days 00:02:44.000509,2023-07-21 16:21:10.000509,,
9,M7M8,1.000004,,False,,0 days 00:03:10.000666,2023-07-21 16:21:36.000666,1.000034,
10,M7M8,2.000006,2.000049,True,4.300000000023729e-05,0 days 00:03:31.000862,2023-07-21 16:21:57.000862,2.000038,2.000038
11,M7M8,1.000029,1.000376,True,0.0003469999999998752,0 days 00:03:39.000583,2023-07-21 16:22:05.000583,0.999417,1.000417
12,M7M8,1.000006,,False,,0 days 00:03:45.000239,2023-07-21 16:22:11.000239,0.999961,
13,M7M8,,7.00001,False,,0 days 00:04:06.000430,2023-07-21 16:22:32.000430,,6.99997
14,M7M8,,,False,,0 days 00:04:22.000600,2023-07-21 16:22:48.000600,,
15,M7M8,2.000006,,False,,0 days 00:04:48.000753,2023-07-21 16:23:14.000753,1.999947,
16,M7M8,5.00005,1.000006,True,4.000044,0 days 00:05:09.000941,2023-07-21 16:23:35.000941,5.999059,0.999959
17,M7M8,3.000006,,False,,0 days 00:05:20.000149,2023-07-21 16:23:46.000149,3.000851,
18,M7M8,,,False,,0 days 00:05:41.000336,2023-07-21 16:24:07.000336,,
19,M7M8,,,False,,0 days 00:06:07.000492,2023-07-21 16:24:33.000492,,
20,M7M8,1.000003,,False,,0 days 00:06:33.000641,2023-07-21 16:24:59.000641,0.999959,
21,M7M8,,1.000004,False,,0 days 00:06:54.000813,2023-07-21 16:25:20.000813,,0.999987
22,M7M8,1.000003,,False,,0 days 00:07:10.000984,2023-07-21 16:25:36.000984,1.999016,
23,M7M8,,1.000003,False,,0 days 00:07:32.000171,2023-07-21 16:25:58.000171,,1.000029
24,M7M8,1.000003,,False,,0 days 00:07:48.000349,2023-07-21 16:26:14.000349,0.999951,
25,M7M8,1.000005,1.000042,True,3.700000000006476e-05,0 days 00:08:09.000527,2023-07-21 16:26:35.000527,0.999973,1.000073
26,M7M8,8.000046,1.000004,True,7.000042,0 days 00:08:15.000705,2023-07-21 16:26:41.000705,7.999995,0.999995
27,M7M8,1.000004,,False,,0 days 00:08:28.000895,2023-07-21 16:26:54.000895,1.000005,
28,M7M8,8.000128,,False,,0 days 00:08:50.000776,2023-07-21 16:27:16.000776,8.000224,
29,M7M8,1.000003,,False,,0 days 00:09:11.000250,2023-07-21 16:27:37.000250,0.99995,
30,M7M8,3.000006,,False,,0 days 00:09:32.000435,2023-07-21 16:27:58.000435,2.999965,
31,M7M8,2.000004,,False,,0 days 00:09:53.000606,2023-07-21 16:28:19.000606,1.999994,
32,M7M8,,,False,,0 days 00:10:14.000796,2023-07-21 16:28:40.000796,,
33,M7M8,,4.000007,False,,0 days 00:10:40.000947,2023-07-21 16:29:06.000947,,3.999953
34,M7M8,1.000003,,False,,0 days 00:10:57.000124,2023-07-21 16:29:23.000124,1.000876,
35,M7M8,1.000004,1.000037,True,3.300000000017178e-05,0 days 00:11:18.000299,2023-07-21 16:29:44.000299,1.000001,1.000001
