,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times,mouse_L_reward_time,mouse_R_reward_time
0,M5M6,1.000003,1.000058,True,5.499999999991623e-05,0 days 00:00:00.000654,2023-08-10 17:10:31.000654,1.000046,1.000046
1,M5M6,,1.000004,False,,0 days 00:00:11.000842,2023-08-10 17:10:42.000842,,0.999958
2,M5M6,,,False,,0 days 00:00:33.000143,2023-08-10 17:11:04.000143,,
3,M5M6,,,False,,0 days 00:01:14.000175,2023-08-10 17:11:45.000175,,
4,M5M6,,1.000004,False,,0 days 00:01:55.000332,2023-08-10 17:12:26.000332,,0.999968
5,M5M6,,,False,,0 days 00:02:16.000490,2023-08-10 17:12:47.000490,,
6,M5M6,,7.00001,False,,0 days 00:02:57.000638,2023-08-10 17:13:28.000638,,6.999962
7,M5M6,,1.000004,False,,0 days 00:03:18.000808,2023-08-10 17:13:49.000808,,0.999992
8,M5M6,,,False,,0 days 00:03:39.000966,2023-08-10 17:14:10.000966,,
9,M5M6,,,False,,0 days 00:04:21.000999,2023-08-10 17:14:52.000999,,
10,M5M6,,,False,,0 days 00:05:02.000258,2023-08-10 17:15:33.000258,,
11,M5M6,,,False,,0 days 00:05:43.000415,2023-08-10 17:16:14.000415,,
