,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times,mouse_L_reward_time,mouse_R_reward_time
0,M5M6,,,False,,0 days 00:00:00.000400,2023-07-14 16:15:45.000400,,
1,M5M6,5.0,,False,,0 days 00:00:31.000800,2023-07-14 16:16:16.000800,5.0001,
2,M5M6,1.0,,False,,0 days 00:00:58,2023-07-14 16:16:43.000000,1.001,
3,M5M6,8.0,,False,,0 days 00:01:24.000200,2023-07-14 16:17:09.000200,8.0001,
4,M5M6,1.0,,False,,0 days 00:01:50.000400,2023-07-14 16:17:35.000400,1.0001,
5,M5M6,3.0,12.0001,True,9.0001,0 days 00:02:16.000600,2023-07-14 16:18:01.000600,3.0001,12.0002
6,M5M6,,6.0,False,,0 days 00:02:33.000900,2023-07-14 16:18:18.000900,,6.0
7,M5M6,5.0,,False,,0 days 00:02:55.000100,2023-07-14 16:18:40.000100,5.0,
8,M5M6,14.0,,False,,0 days 00:03:21.000300,2023-07-14 16:19:06.000300,14.0001,
9,M5M6,1.0,15.0001,True,14.0001,0 days 00:03:47.000500,2023-07-14 16:19:32.000500,1.0001,15.0001
10,M5M6,4.0,10.0001,True,6.0001,0 days 00:04:07.000700,2023-07-14 16:19:52.000700,4.0001,10.0002
11,M5M6,,1.0,False,,0 days 00:04:23,2023-07-14 16:20:08.000000,,1.0
12,M5M6,1.0,,False,,0 days 00:04:44.000200,2023-07-14 16:20:29.000200,1.0,
13,M5M6,1.0,,False,,0 days 00:05:10.000400,2023-07-14 16:20:55.000400,1.0,
14,M5M6,,,False,,0 days 00:05:36.000600,2023-07-14 16:21:21.000600,,
15,M5M6,1.0,,False,,0 days 00:06:07.000700,2023-07-14 16:21:52.000700,1.0001,
16,M5M6,11.0,,False,,0 days 00:06:33.000900,2023-07-14 16:22:18.000900,11.9991,
17,M5M6,1.0,1.0001,True,9.999999999998899e-05,0 days 00:07:00.000200,2023-07-14 16:22:45.000200,1.0001,1.0001
18,M5M6,1.0001,,False,,0 days 00:07:06.000400,2023-07-14 16:22:51.000400,1.0001,
19,M5M6,5.0001,,False,,0 days 00:07:32.000600,2023-07-14 16:23:17.000600,5.0001,
20,M5M6,1.0,,False,,0 days 00:07:58.000900,2023-07-14 16:23:43.000900,1.0,
21,M5M6,,,False,,0 days 00:08:25,2023-07-14 16:24:10.000000,,
22,M5M6,1.0,,False,,0 days 00:08:56.000200,2023-07-14 16:24:41.000200,1.0001,
23,M5M6,5.0,,False,,0 days 00:09:22.000400,2023-07-14 16:25:07.000400,5.0001,
24,M5M6,,1.0,False,,0 days 00:09:48.000600,2023-07-14 16:25:33.000600,,1.0001
25,M5M6,,,False,,0 days 00:10:09.000800,2023-07-14 16:25:54.000800,,
26,M5M6,1.0,,False,,0 days 00:10:40.000900,2023-07-14 16:26:25.000900,1.9991,
27,M5M6,,,False,,0 days 00:11:07.000100,2023-07-14 16:26:52.000100,,
28,M5M6,9.0,9.0001,True,9.999999999976694e-05,0 days 00:11:38.000300,2023-07-14 16:27:23.000300,9.0001,9.0001
29,M5M6,2.0,3.0001,True,1.0001000000000002,0 days 00:11:52.000500,2023-07-14 16:27:37.000500,2.0001,3.0002
30,M5M6,1.0,,False,,0 days 00:12:00.000800,2023-07-14 16:27:45.000800,1.0,
31,M5M6,1.0,,False,,0 days 00:12:27,2023-07-14 16:28:12.000000,1.0,
32,M5M6,,,False,,0 days 00:12:53.000200,2023-07-14 16:28:38.000200,,
33,M5M6,10.0,,False,,0 days 00:13:24.000300,2023-07-14 16:29:09.000300,10.0001,
34,M5M6,,,False,,0 days 00:13:50.000500,2023-07-14 16:29:35.000500,,
35,M5M6,1.0,,False,,0 days 00:14:21.000700,2023-07-14 16:30:06.000700,1.0,
36,M5M6,11.0,,False,,0 days 00:14:47.000900,2023-07-14 16:30:32.000900,11.0,
37,M5M6,1.0,0.9992,True,0.0008000000000000229,0 days 00:15:14.000100,2023-07-14 16:30:59.000100,0.9992,0.9992
38,M5M6,1.0,4.0001,True,3.0000999999999998,0 days 00:15:20.000300,2023-07-14 16:31:05.000300,1.0001,4.0001
39,M5M6,1.0001,1.0001,True,0.0,0 days 00:15:29.000500,2023-07-14 16:31:14.000500,1.0001,1.0002
40,M5M6,3.0,,False,,0 days 00:15:35.000800,2023-07-14 16:31:20.000800,3.0,
41,M5M6,1.0,,False,,0 days 00:16:02,2023-07-14 16:31:47.000000,1.0,
42,M5M6,9.0,,False,,0 days 00:16:28.000200,2023-07-14 16:32:13.000200,9.0,
43,M5M6,1.0,,False,,0 days 00:16:54.000400,2023-07-14 16:32:39.000400,1.0,
44,M5M6,12.0,,False,,0 days 00:17:20.000600,2023-07-14 16:33:05.000600,12.0001,
45,M5M6,1.0,,False,,0 days 00:17:46.000800,2023-07-14 16:33:31.000800,1.0001,
46,M5M6,,,False,,0 days 00:18:13,2023-07-14 16:33:58.000000,,
47,M5M6,1.0,1.0,True,0.0,0 days 00:18:44.000200,2023-07-14 16:34:29.000200,1.0,1.0001
48,M5M6,1.0,,False,,0 days 00:18:50.000400,2023-07-14 16:34:35.000400,1.0001,
49,M5M6,1.0,,False,,0 days 00:19:16.000600,2023-07-14 16:35:01.000600,1.0001,
