,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times,mouse_L_reward_time,mouse_R_reward_time
0,M5M6,8.000011,10.999361,True,2.9993499999999997,0 days 00:00:00.000987,2023-07-20 10:47:01.000987,8.999013,10.999013
1,M5M6,,,False,,0 days 00:00:16.000172,2023-07-20 10:47:17.000172,,
2,M5M6,,8.000012,False,,0 days 00:00:42.000324,2023-07-20 10:47:43.000324,,7.999976
3,M5M6,,7.00001,False,,0 days 00:00:58.000482,2023-07-20 10:47:59.000482,,7.000018
4,M5M6,,2.000005,False,,0 days 00:01:14.000647,2023-07-20 10:48:15.000647,,1.999953
5,M5M6,,1.000003,False,,0 days 00:01:30.000798,2023-07-20 10:48:31.000798,,1.000002
6,M5M6,5.999569,2.000006,True,3.999563,0 days 00:01:46.000960,2023-07-20 10:48:47.000960,5.99904,2.99904
7,M5M6,1.000006,3.000046,True,2.0000400000000003,0 days 00:01:57.000158,2023-07-20 10:48:58.000158,1.000042,3.000042
8,M5M6,3.000039,1.000003,True,2.000036,0 days 00:02:05.000340,2023-07-20 10:49:06.000340,3.00006,0.99996
9,M5M6,1.000006,1.000043,True,3.700000000006476e-05,0 days 00:02:13.000524,2023-07-20 10:49:14.000524,0.999976,1.000076
10,M5M6,8.000011,,False,,0 days 00:02:19.000689,2023-07-20 10:49:20.000689,8.000011,
11,M5M6,,,False,,0 days 00:02:40.000863,2023-07-20 10:49:41.000863,,
12,M5M6,,3.000056,False,,0 days 00:03:07.000205,2023-07-20 10:50:08.000205,,2.999795
13,M5M6,,,False,,0 days 00:03:23.000181,2023-07-20 10:50:24.000181,,
14,M5M6,,,False,,0 days 00:03:49.000325,2023-07-20 10:50:50.000325,,
15,M5M6,,3.000009,False,,0 days 00:04:15.000481,2023-07-20 10:51:16.000481,,3.000019
16,M5M6,9.000013,,False,,0 days 00:04:31.000649,2023-07-20 10:51:32.000649,8.999951,
17,M5M6,1.000003,,False,,0 days 00:04:52.000825,2023-07-20 10:51:53.000825,0.999975,
18,M5M6,,1.000003,False,,0 days 00:05:13.000992,2023-07-20 10:52:14.000992,,1.999008
19,M5M6,,,False,,0 days 00:05:30.000149,2023-07-20 10:52:31.000149,,
20,M5M6,,4.000009,False,,0 days 00:05:56.000291,2023-07-20 10:52:57.000291,,4.000009
21,M5M6,3.000039,2.000004,True,1.000035,0 days 00:06:12.000470,2023-07-20 10:53:13.000470,3.00003,2.00003
22,M5M6,1.000004,,False,,0 days 00:06:20.000647,2023-07-20 10:53:21.000647,0.999953,
23,M5M6,2.000039,1.000004,True,1.0000350000000002,0 days 00:06:41.000814,2023-07-20 10:53:42.000814,1.999986,0.999986
24,M5M6,,,False,,0 days 00:06:48.000969,2023-07-20 10:53:49.000969,,
25,M5M6,4.000041,3.000006,True,1.0000350000000005,0 days 00:07:15.000113,2023-07-20 10:54:16.000113,4.000887,3.000887
26,M5M6,,10.000014,False,,0 days 00:07:24.000290,2023-07-20 10:54:25.000290,,10.00001
27,M5M6,3.000006,,False,,0 days 00:07:40.000450,2023-07-20 10:54:41.000450,2.99995,
28,M5M6,,3.000005,False,,0 days 00:08:01.000618,2023-07-20 10:55:02.000618,,2.999982
29,M5M6,,7.000011,False,,0 days 00:08:17.000794,2023-07-20 10:55:18.000794,,7.000006
30,M5M6,,8.00001,False,,0 days 00:08:33.000958,2023-07-20 10:55:34.000958,,8.999042
31,M5M6,,,False,,0 days 00:08:50.000124,2023-07-20 10:55:51.000124,,
32,M5M6,2.000006,,False,,0 days 00:09:16.000267,2023-07-20 10:56:17.000267,2.000033,
33,M5M6,,7.000013,False,,0 days 00:09:37.000455,2023-07-20 10:56:38.000455,,7.000045
34,M5M6,,,False,,0 days 00:09:53.000624,2023-07-20 10:56:54.000624,,
