,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times,mouse_L_reward_time,mouse_R_reward_time
0,M3M4,2.000005,4.000063,True,2.000058,0 days 00:00:00.000498,2023-08-22 13:28:40.000498,2.000002,4.000102
1,M3M4,4.000007,6.000064,True,2.000057,0 days 00:00:14.000835,2023-08-22 13:28:54.000835,3.999965,6.000065
2,M3M4,,,False,,0 days 00:00:31.000460,2023-08-22 13:29:11.000460,,
3,M3M4,6.000064,4.000006,True,2.000058,0 days 00:01:12.000204,2023-08-22 13:29:52.000204,6.000096,3.999996
4,M3M4,6.000065,4.000007,True,2.000058,0 days 00:01:28.000432,2023-08-22 13:30:08.000432,6.000068,3.999968
