,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times,mouse_L_reward_time,mouse_R_reward_time
0,M5M6,,,False,,0 days 00:00:00.000719,2023-08-25 11:08:13.000719,,
1,M5M6,,,False,,0 days 00:00:46.000867,2023-08-25 11:08:59.000867,,
2,M5M6,,,False,,0 days 00:01:33.000268,2023-08-25 11:09:46.000268,,
3,M5M6,,,False,,0 days 00:02:19.000153,2023-08-25 11:10:32.000153,,
4,M5M6,1.000004,,False,,0 days 00:03:05.000289,2023-08-25 11:11:18.000289,1.000011,
5,M5M6,,,False,,0 days 00:03:51.000500,2023-08-25 11:12:04.000500,,
6,M5M6,,,False,,0 days 00:04:37.000633,2023-08-25 11:12:50.000633,,
7,M5M6,,,False,,0 days 00:05:23.000786,2023-08-25 11:13:36.000786,,
8,M5M6,12.000016,,False,,0 days 00:06:09.000933,2023-08-25 11:14:22.000933,12.999067,
9,M5M6,,4.000006,False,,0 days 00:06:56.000136,2023-08-25 11:15:09.000136,,4.000864
10,M5M6,11.000015,,False,,0 days 00:07:42.000340,2023-08-25 11:15:55.000340,11.00006,
11,M5M6,1.000006,5.000068,True,4.000062,0 days 00:08:28.000552,2023-08-25 11:16:41.000552,1.000048,5.000048
12,M5M6,,1.000003,False,,0 days 00:09:14.000818,2023-08-25 11:17:27.000818,,0.999982
13,M5M6,,,False,,0 days 00:10:01.000296,2023-08-25 11:18:14.000296,,
14,M5M6,,,False,,0 days 00:10:47.000188,2023-08-25 11:19:00.000188,,
15,M5M6,,,False,,0 days 00:11:33.000334,2023-08-25 11:19:46.000334,,
16,M5M6,,,False,,0 days 00:12:19.000473,2023-08-25 11:20:32.000473,,
17,M5M6,,8.000012,False,,0 days 00:13:05.000637,2023-08-25 11:21:18.000637,,8.000063
18,M5M6,2.000005,13.000071,True,11.000066,0 days 00:13:51.000855,2023-08-25 11:22:04.000855,2.000045,13.000045
19,M5M6,,3.000007,False,,0 days 00:14:38.000126,2023-08-25 11:22:51.000126,,3.000874
20,M5M6,,,False,,0 days 00:15:24.000339,2023-08-25 11:23:37.000339,,
21,M5M6,,,False,,0 days 00:16:10.000476,2023-08-25 11:24:23.000476,,
22,M5M6,,,False,,0 days 00:16:56.000624,2023-08-25 11:25:09.000624,,
23,M5M6,,9.000012,False,,0 days 00:17:42.000773,2023-08-25 11:25:55.000773,,9.000027
24,M5M6,,,False,,0 days 00:18:28.000979,2023-08-25 11:26:41.000979,,
25,M5M6,,,False,,0 days 00:19:15.000134,2023-08-25 11:27:28.000134,,
26,M5M6,,13.000017,False,,0 days 00:20:01.000265,2023-08-25 11:28:14.000265,,13.000035
27,M5M6,,,False,,0 days 00:20:47.000467,2023-08-25 11:29:00.000467,,
28,M5M6,,,False,,0 days 00:21:33.000611,2023-08-25 11:29:46.000611,,
29,M5M6,,7.00001,False,,0 days 00:22:19.000746,2023-08-25 11:30:32.000746,,7.000054
30,M5M6,,,False,,0 days 00:23:05.000950,2023-08-25 11:31:18.000950,,
31,M5M6,,,False,,0 days 00:23:52.000953,2023-08-25 11:32:05.000953,,
