,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times,mouse_L_reward_time,mouse_R_reward_time
0,M1M2,2.000005,,False,,0 days 00:00:00.000222,2023-07-18 15:40:37.000222,1.999978,
1,M1M2,,,False,,0 days 00:00:26.000392,2023-07-18 15:41:03.000392,,
2,M1M2,,,False,,0 days 00:00:57.000547,2023-07-18 15:41:34.000547,,
3,M1M2,,,False,,0 days 00:01:28.000698,2023-07-18 15:42:05.000698,,
4,M1M2,,,False,,0 days 00:01:59.000859,2023-07-18 15:42:36.000859,,
5,M1M2,,,False,,0 days 00:02:31.000447,2023-07-18 15:43:08.000447,,
6,M1M2,,,False,,0 days 00:03:02.000202,2023-07-18 15:43:39.000202,,
7,M1M2,,,False,,0 days 00:03:33.000390,2023-07-18 15:44:10.000390,,
8,M1M2,1.000004,,False,,0 days 00:04:04.000688,2023-07-18 15:44:41.000688,1.000012,
9,M1M2,,,False,,0 days 00:04:30.000861,2023-07-18 15:45:07.000861,,
10,M1M2,,,False,,0 days 00:05:02.000435,2023-07-18 15:45:39.000435,,
11,M1M2,,,False,,0 days 00:05:33.000199,2023-07-18 15:46:10.000199,,
12,M1M2,,,False,,0 days 00:06:04.000364,2023-07-18 15:46:41.000364,,
13,M1M2,,,False,,0 days 00:06:35.000517,2023-07-18 15:47:12.000517,,
14,M1M2,,5.000007,False,,0 days 00:07:06.000677,2023-07-18 15:47:43.000677,,5.000023
15,M1M2,,,False,,0 days 00:07:27.000846,2023-07-18 15:48:04.000846,,
16,M1M2,,,False,,0 days 00:07:59.000328,2023-07-18 15:48:36.000328,,
17,M1M2,10.000013,,False,,0 days 00:08:30.000159,2023-07-18 15:49:07.000159,10.000841,
18,M1M2,,,False,,0 days 00:08:56.000338,2023-07-18 15:49:33.000338,,
19,M1M2,,,False,,0 days 00:09:27.000497,2023-07-18 15:50:04.000497,,
20,M1M2,,,False,,0 days 00:09:58.000653,2023-07-18 15:50:35.000653,,
21,M1M2,,,False,,0 days 00:10:29.000815,2023-07-18 15:51:06.000815,,
22,M1M2,,,False,,0 days 00:11:00.000965,2023-07-18 15:51:37.000965,,
23,M1M2,4.000007,,False,,0 days 00:11:32.000129,2023-07-18 15:52:09.000129,4.000871,
24,M1M2,,,False,,0 days 00:11:58.000295,2023-07-18 15:52:35.000295,,
25,M1M2,,,False,,0 days 00:12:29.000447,2023-07-18 15:53:06.000447,,
26,M1M2,,,False,,0 days 00:13:00.000608,2023-07-18 15:53:37.000608,,
27,M1M2,,,False,,0 days 00:13:31.000772,2023-07-18 15:54:08.000772,,
