,names,L,R,successful_trials,time_between_breaks,time_since_start,cue_times,mouse_L_reward_time,mouse_R_reward_time
0,ToyM6,1.000004,1.000069,True,6.500000000020378e-05,0 days 00:00:05.000429,2023-09-26 08:05:07.000429,0.999971,1.000071
1,ToyM6,1.000003,1.000066,True,6.299999999992423e-05,0 days 00:00:56.000724,2023-09-26 08:05:58.000724,0.999976,1.000076
2,ToyM6,1.000004,1.999494,True,0.9994900000000002,0 days 00:01:47.000978,2023-09-26 08:06:49.000978,1.999022,2.000022
3,ToyM6,1.000003,,False,,0 days 00:02:39.000246,2023-09-26 08:07:41.000246,1.000054,
4,ToyM6,1.000004,7.000076,True,6.000072,0 days 00:03:30.000466,2023-09-26 08:08:32.000466,1.000034,7.000134
5,ToyM6,1.000003,1.000067,True,6.4000000000064e-05,0 days 00:04:21.000731,2023-09-26 08:09:23.000731,0.999969,1.000069
6,ToyM6,1.000033,,False,,0 days 00:05:13.000256,2023-09-26 08:10:15.000256,0.999744,
7,ToyM6,1.000004,,False,,0 days 00:06:04.000231,2023-09-26 08:11:06.000231,0.999969,
8,ToyM6,1.000005,4.000075,True,3.00007,0 days 00:06:55.000437,2023-09-26 08:11:57.000437,1.000063,4.000063
9,ToyM6,1.000003,1.000067,True,6.4000000000064e-05,0 days 00:07:46.000722,2023-09-26 08:12:48.000722,0.999978,1.000078
10,ToyM6,1.000004,,False,,0 days 00:08:37.000994,2023-09-26 08:13:39.000994,1.999006,
11,ToyM6,1.000003,,False,,0 days 00:09:29.000218,2023-09-26 08:14:31.000218,0.999982,
12,ToyM6,1.000004,,False,,0 days 00:10:20.000433,2023-09-26 08:15:22.000433,1.000067,
13,ToyM6,1.000003,,False,,0 days 00:11:11.000653,2023-09-26 08:16:13.000653,1.000047,
14,ToyM6,1.000003,,False,,0 days 00:12:02.000870,2023-09-26 08:17:04.000870,1.00003,
15,ToyM6,1.000034,,False,,0 days 00:12:54.000547,2023-09-26 08:17:56.000547,1.000453,
16,ToyM6,1.000004,,False,,0 days 00:13:45.000280,2023-09-26 08:18:47.000280,1.00002,
17,ToyM6,1.000005,5.000076,True,4.000071,0 days 00:14:36.000503,2023-09-26 08:19:38.000503,0.999997,5.000097
18,ToyM6,1.000005,,False,,0 days 00:15:27.000785,2023-09-26 08:20:29.000785,1.000015,
19,ToyM6,0.99973,6.000062,True,5.000332,0 days 00:16:19.000665,2023-09-26 08:21:21.000665,0.999335,6.000335
20,ToyM6,1.000006,,False,,0 days 00:17:10.000264,2023-09-26 08:22:12.000264,1.000036,
21,ToyM6,1.000004,,False,,0 days 00:18:01.000494,2023-09-26 08:23:03.000494,1.000006,
22,ToyM6,1.000003,,False,,0 days 00:18:52.000721,2023-09-26 08:23:54.000721,0.999979,
23,ToyM6,1.000003,,False,,0 days 00:19:43.000934,2023-09-26 08:24:45.000934,1.999066,
24,ToyM6,1.000003,,False,,0 days 00:20:35.000153,2023-09-26 08:25:37.000153,1.000047,
25,ToyM6,1.000004,7.000075,True,6.000071,0 days 00:21:26.000376,2023-09-26 08:26:28.000376,1.000024,7.000124
26,ToyM6,1.000004,,False,,0 days 00:22:17.000654,2023-09-26 08:27:19.000654,1.000046,
27,ToyM6,1.000003,,False,,0 days 00:23:08.000871,2023-09-26 08:28:10.000871,1.000029,
28,ToyM6,0.999128,13.999207,True,13.000079,0 days 00:24:00.000972,2023-09-26 08:29:02.000972,1.000028,13.999228
29,ToyM6,1.000004,,False,,0 days 00:24:51.000397,2023-09-26 08:29:53.000397,1.000003,
30,ToyM6,1.000004,2.000069,True,1.000065,0 days 00:25:42.000619,2023-09-26 08:30:44.000619,0.999981,2.000081
31,ToyM6,1.000003,5.000071,True,4.000068000000001,0 days 00:26:33.000899,2023-09-26 08:31:35.000899,1.000001,5.999101
32,ToyM6,1.000003,,False,,0 days 00:27:25.000183,2023-09-26 08:32:27.000183,1.000017,
33,ToyM6,1.000003,,False,,0 days 00:28:16.000407,2023-09-26 08:33:18.000407,0.999993,
34,ToyM6,1.000003,,False,,0 days 00:29:07.000633,2023-09-26 08:34:09.000633,0.999967,
35,ToyM6,1.000003,,False,,0 days 00:29:58.000840,2023-09-26 08:35:00.000840,1.00006,
36,ToyM6,1.000037,0.999544,True,0.0004930000000000767,0 days 00:30:50.000583,2023-09-26 08:35:52.000583,1.000417,1.000417
37,ToyM6,1.000003,,False,,0 days 00:31:41.000350,2023-09-26 08:36:43.000350,1.00005,
38,ToyM6,1.000003,,False,,0 days 00:32:32.000585,2023-09-26 08:37:34.000585,1.000015,
39,ToyM6,1.000003,,False,,0 days 00:33:23.000820,2023-09-26 08:38:25.000820,0.99998,
40,ToyM6,1.000035,,False,,0 days 00:34:15.000386,2023-09-26 08:39:17.000386,1.000614,
41,ToyM6,1.000003,,False,,0 days 00:35:06.000268,2023-09-26 08:40:08.000268,1.000032,
42,ToyM6,1.000004,,False,,0 days 00:35:57.000473,2023-09-26 08:40:59.000473,1.000027,
43,ToyM6,1.000003,,False,,0 days 00:36:48.000678,2023-09-26 08:41:50.000678,1.000022,
44,ToyM6,1.000003,,False,,0 days 00:37:39.000912,2023-09-26 08:42:41.000912,0.999988,
45,ToyM6,1.000004,,False,,0 days 00:38:31.000132,2023-09-26 08:43:33.000132,1.000868,
46,ToyM6,1.000004,,False,,0 days 00:39:22.000330,2023-09-26 08:44:24.000330,0.99997,
47,ToyM6,1.000004,,False,,0 days 00:40:13.000566,2023-09-26 08:45:15.000566,1.000034,
48,ToyM6,1.000003,,False,,0 days 00:41:04.000784,2023-09-26 08:46:06.000784,1.000016,
49,ToyM6,1.999148,4.999722,True,3.0005740000000003,0 days 00:41:55.000997,2023-09-26 08:46:57.000997,1.999003,5.000003
50,ToyM6,1.000003,,False,,0 days 00:42:47.000288,2023-09-26 08:47:49.000288,1.000012,
51,ToyM6,1.000004,,False,,0 days 00:43:38.000514,2023-09-26 08:48:40.000514,0.999986,
52,ToyM6,1.000004,,False,,0 days 00:44:29.000717,2023-09-26 08:49:31.000717,0.999983,
53,ToyM6,1.000003,5.999204,True,4.999200999999999,0 days 00:45:20.000944,2023-09-26 08:50:22.000944,1.999056,5.999056
54,ToyM6,1.000005,,False,,0 days 00:46:12.000218,2023-09-26 08:51:14.000218,0.999982,
55,ToyM6,1.000003,,False,,0 days 00:47:03.000441,2023-09-26 08:52:05.000441,1.000059,
56,ToyM6,1.000004,,False,,0 days 00:47:54.000651,2023-09-26 08:52:56.000651,1.000049,
57,ToyM6,1.000003,12.00008,True,11.000077000000001,0 days 00:48:45.000876,2023-09-26 08:53:47.000876,1.000024,12.999124
58,ToyM6,1.000002,1.000066,True,6.399999999984196e-05,0 days 00:49:37.000162,2023-09-26 08:54:39.000162,1.000038,1.000038
59,ToyM6,1.000004,,False,,0 days 00:50:28.000434,2023-09-26 08:55:30.000434,1.000066,
60,ToyM6,1.000004,,False,,0 days 00:51:19.000656,2023-09-26 08:56:21.000656,1.000044,
61,ToyM6,1.000003,7.000074,True,6.000071,0 days 00:52:10.000889,2023-09-26 08:57:12.000889,1.000011,7.999111
62,ToyM6,1.000004,4.000071,True,3.0000670000000005,0 days 00:53:02.000167,2023-09-26 08:58:04.000167,1.000033,4.000133
63,ToyM6,1.000005,3.000076,True,2.000071,0 days 00:53:53.000423,2023-09-26 08:58:55.000423,0.999977,3.000077
64,ToyM6,1.000004,10.000078,True,9.000074,0 days 00:54:44.000728,2023-09-26 08:59:46.000728,0.999972,10.000072
65,ToyM6,1.000003,15.99976,True,14.999757,0 days 00:55:35.000992,2023-09-26 09:00:37.000992,1.999008,16.000008
66,ToyM6,1.000004,5.000072,True,4.000068000000001,0 days 00:56:27.000272,2023-09-26 09:01:29.000272,1.000028,5.000128
67,ToyM6,1.000006,1.000073,True,6.700000000003925e-05,0 days 00:57:18.000549,2023-09-26 09:02:20.000549,1.000051,1.000051
68,ToyM6,1.000003,15.000081,True,14.000078,0 days 00:58:09.000839,2023-09-26 09:03:11.000839,1.000061,15.000061
69,ToyM6,1.000003,,False,,0 days 00:59:01.000133,2023-09-26 09:04:03.000133,1.000867,
70,ToyM6,1.000003,,False,,0 days 00:59:52.000331,2023-09-26 09:04:54.000331,0.999969,
71,ToyM6,1.000005,,False,,0 days 01:00:43.000554,2023-09-26 09:05:45.000554,1.000046,
72,ToyM6,1.000003,1.000068,True,6.499999999998174e-05,0 days 01:01:34.000777,2023-09-26 09:06:36.000777,1.000023,1.000123
73,ToyM6,1.000034,8.999634,True,7.9996,0 days 01:02:26.000492,2023-09-26 09:07:28.000492,1.000508,9.000508
74,ToyM6,1.000003,15.000083,True,14.00008,0 days 01:03:17.000344,2023-09-26 09:08:19.000344,1.000056,15.000056
75,ToyM6,1.000003,3.00007,True,2.000067,0 days 01:04:08.000624,2023-09-26 09:09:10.000624,0.999976,3.000076
76,ToyM6,1.000003,,False,,0 days 01:04:59.000918,2023-09-26 09:10:01.000918,0.999982,
77,ToyM6,1.000003,,False,,0 days 01:05:51.000149,2023-09-26 09:10:53.000149,1.000051,
78,ToyM6,1.000003,2.000069,True,1.000066,0 days 01:06:42.000372,2023-09-26 09:11:44.000372,1.000028,2.000128
79,ToyM6,1.000004,,False,,0 days 01:07:33.000651,2023-09-26 09:12:35.000651,1.000049,
80,ToyM6,1.000004,11.000081,True,10.000077,0 days 01:08:24.000868,2023-09-26 09:13:26.000868,1.000032,11.999132
81,ToyM6,1.000003,,False,,0 days 01:09:16.000149,2023-09-26 09:14:18.000149,1.000051,
82,ToyM6,1.000003,,False,,0 days 01:10:07.000373,2023-09-26 09:15:09.000373,1.000027,
83,ToyM6,1.000003,,False,,0 days 01:10:58.000620,2023-09-26 09:16:00.000620,0.99998,
84,ToyM6,1.000003,,False,,0 days 01:11:49.000844,2023-09-26 09:16:51.000844,1.000056,
85,ToyM6,1.000048,,False,,0 days 01:12:41.000654,2023-09-26 09:17:43.000654,1.000346,
86,ToyM6,1.000003,,False,,0 days 01:13:32.000319,2023-09-26 09:18:34.000319,0.999981,
87,ToyM6,1.000004,8.000079,True,7.000075,0 days 01:14:23.000550,2023-09-26 09:19:25.000550,1.00005,8.00005
